Site,COND,SAL,WQ_CAR_PH,WQ_DIAG_PHY_TCHLA,WQ_DIAG_TOT_INORG_TSS,WQ_DIAG_TOT_ORG_TSS,WQ_DIAG_TOT_TDS,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TSS,WQ_DIAG_TOT_TURBIDITY,WQ_OXY_OXY,WQ_OXY_SAT,
Policeman_Point_Boat_Ramp_1, , , ,x,x,x, , , ,x, , , ,
Policeman_Point_Boat_Ramp_2,x,x,x,x,x,x,x, , ,x,x,x,x,
Villa_dei_Yumpa,x,x,x,x,x,x,x,x,x,x,x,x,x,
