Variable,Site
H,A4261133
SAL,EPA2014_Lake_Alexandrina_Middle
TEMP,EPA2014_Lake_Alexandrina_Middle
TRACE_1,No Site
WQ_NCS_SS1,EPA_Alex_Middle
WQ_TRC_RET,No Site
WQ_OXY_OXY,EPA2014_Lake_Alexandrina_Middle
WQ_SIL_RSI,EPA_Alex_Middle
WQ_NIT_AMM,EPA_Alex_Middle
WQ_NIT_NIT,EPA_Alex_Middle
WQ_PHS_FRP,EPA_Alex_Middle
WQ_PHS_FRP_ADS,EPA_Alex_Middle
WQ_OGM_DOC,EPA_Alex_Middle
WQ_OGM_POC,EPA_Alex_Middle
WQ_OGM_DON,EPA2014_Lake_Albert_Narrung
WQ_OGM_PON,SAW_Tailem_Bend
WQ_OGM_DOP,EPA_Alex_Middle
WQ_OGM_POP,EPA_Alex_Middle
WQ_PHY_GRN,EPA_Alex_Middle
