CPS,Indicator,System,Start Time,End Time,Var,Trigger,Area (Ha),Total Area (Ha)
Waterbirds (Shorebirds),Water depth,System-Wide,01-09-2020,01-04-2021,D,0.1000,3200.3356,21352.29102
Waterbirds (Shorebirds),Water depth,System-Wide,01-09-2020,01-04-2021,D,0.2000,4062.3166,21352.29102
Trophic status (threat: eutrophication),Dissolved oxygen,CNL,01-04-2020,01-10-2020,WQ_OXY_OXY,6.5000,6215.7709,8360.11035
Trophic status (threat: eutrophication),Dissolved oxygen,CNL,01-10-2020,01-04-2021,WQ_OXY_OXY,6.5000,2127.9281,8360.11035
Trophic status (threat: eutrophication),Dissolved oxygen,ME,01-04-2020,01-10-2020,WQ_OXY_OXY,6.5000,1892.0387,1975.27563
Trophic status (threat: eutrophication),Dissolved oxygen,ME,01-10-2020,01-04-2021,WQ_OXY_OXY,6.5000,1579.1552,1975.27563
Trophic status (threat: eutrophication),Dissolved oxygen,CSL,01-04-2020,01-10-2020,WQ_OXY_OXY,4.0000,9859.3211,11029.88184
Trophic status (threat: eutrophication),Dissolved oxygen,CSL,01-10-2020,01-04-2021,WQ_OXY_OXY,4.0000,4504.8366,11029.88184
