X,Y,ID,Z
300553.006600,6062545.118400,1,-17.1700
300685.821600,6062469.221100,2,-18.1323
300819.198900,6062393.010000,3,-18.8533
300953.221700,6062316.478000,4,-18.6040
301087.485500,6062239.609100,5,-18.9400
301221.767700,6062162.716600,6,-19.1780
301356.035900,6062085.846500,7,-19.3556
301490.185100,6062008.780200,8,-19.5322
301624.368000,6061931.598600,9,-19.8540
301758.525900,6061854.474200,10,-20.2220
301892.711900,6061777.314700,11,-20.7380
302026.894300,6061700.213300,12,-21.3000
302161.102200,6061623.118600,13,-21.8690
302295.277000,6061546.022100,14,-22.4850
302429.461500,6061468.876000,15,-22.9400
302563.622700,6061391.735700,16,-23.1130
302697.808300,6061314.579200,17,-23.5900
302831.996600,6061237.471500,18,-24.2260
302966.183200,6061160.347400,19,-24.8850
303100.388900,6061083.252800,20,-25.4550
303234.632100,6061006.236700,21,-25.6630
303368.827800,6060929.195400,22,-25.6740
303503.038500,6060852.094700,23,-26.0069
303637.292500,6060775.103200,24,-26.3819
303771.519100,6060698.112600,25,-26.3630
303905.680500,6060620.973000,26,-26.2850
304039.904000,6060543.855700,27,-26.0890
304174.073200,6060466.772100,28,-26.3360
304308.195100,6060389.505100,29,-26.5119
304445.212700,6060311.149000,30,-26.6490
304582.805900,6060231.541300,31,-26.8423
304717.737200,6060153.547800,32,-27.0314
304851.088500,6060076.768700,33,-27.2203
304983.987700,6060000.418700,34,-27.4097
305116.863700,6059924.075600,35,-27.5511
305236.857000,6059905.340000,36,-27.6130
305312.209000,6059811.947800,37,-27.7558
305445.088500,6059735.604300,38,-27.9042
305577.967400,6059659.261100,39,-28.0635
305710.845900,6059582.913200,40,-28.2236
305843.724400,6059506.565400,41,-28.3669
305976.602600,6059430.219600,42,-28.4661
306109.479700,6059353.875500,43,-28.6070
306242.356500,6059277.528600,44,-28.6950
306375.233100,6059201.181800,45,-28.7547
306508.109400,6059124.836900,46,-28.7828
306640.985100,6059048.493900,47,-28.8003
306773.860500,6058972.147900,48,-28.8023
306891.370700,6058956.300000,49,-28.7480
306969.212100,6058860.025000,50,-28.7518
307102.090600,6058783.678700,51,-28.7801
307234.983700,6058707.326700,52,-28.9744
307368.468900,6058630.945200,53,-29.2031
307503.682700,6058554.090800,54,-29.4566
307641.571200,6058476.085300,55,-29.7171
307778.930000,6058397.261000,56,-29.9140
307914.790400,6058319.157500,57,-30.0000
308050.651000,6058241.056000,58,-29.9670
308186.511300,6058162.952500,59,-29.8030
308322.371600,6058084.851000,60,-29.5180
308458.232100,6058006.751000,61,-29.2510
308594.092600,6057928.647700,62,-29.0410
308729.953100,6057850.546000,63,-28.9370
308865.813600,6057772.442700,64,-28.8920
309001.674000,6057694.341000,65,-28.8780
309137.534500,6057616.241000,66,-28.8640
309273.395100,6057538.137700,67,-28.8550
309409.255500,6057460.036000,68,-28.8700
309545.116100,6057381.934400,69,-28.8850
309680.976500,6057303.836000,70,-28.9000
309816.836800,6057225.736100,71,-28.9160
309952.697200,6057147.632600,72,-28.9310
310088.557500,6057069.531100,73,-28.9470
310224.418000,6056991.427700,74,-28.9610
310360.278400,6056913.326100,75,-28.9330
310496.138900,6056835.226100,76,-28.9000
310631.999400,6056757.122800,77,-28.8380
310767.859900,6056679.021100,78,-28.8060
310903.720400,6056600.921100,79,-28.7620
311039.580900,6056522.817800,80,-28.6120
311175.441400,6056444.716100,81,-28.4470
311311.301900,6056366.612800,82,-28.3130
311447.162300,6056288.511100,83,-28.0899
311583.022300,6056210.411100,84,-27.5769
311718.882800,6056132.307800,85,-27.0580
311854.743300,6056054.206100,86,-27.0010
311990.603800,6055976.102800,87,-27.0000
312126.464300,6055898.001200,88,-27.0000
312262.324800,6055819.901200,89,-27.0000
312398.185300,6055741.797800,90,-27.0000
312534.045800,6055663.696200,91,-27.0000
312669.906300,6055585.592900,92,-27.0150
312805.766700,6055507.491200,93,-27.5830
312941.627200,6055429.391200,94,-27.7960
313077.487400,6055351.287800,95,-27.8470
313213.348000,6055273.186300,96,-27.8630
313349.208400,6055195.082800,97,-27.8610
313485.069000,6055116.981300,98,-27.8590
300649.054300,6062709.296600,99,-16.0304
300779.567200,6062636.840400,100,-16.8404
300911.843300,6062563.476600,101,-17.3574
301045.950400,6062489.121300,102,-17.5032
301180.982500,6062414.045400,103,-17.7222
301316.029700,6062338.922800,104,-17.9342
301451.068600,6062263.839500,105,-18.1512
301585.811500,6062188.136800,106,-18.3942
301720.540600,6062112.181700,107,-18.7683
301855.269800,6062036.342400,108,-19.1722
301990.021200,6061960.452400,109,-19.6713
302124.803800,6061884.692700,110,-20.1043
302259.630400,6061808.976400,111,-20.5994
302394.404800,6061733.223500,112,-21.2012
302529.164600,6061657.358500,113,-21.6171
302663.892400,6061581.470500,114,-21.7183
302798.649900,6061505.580200,115,-22.2743
302933.443500,6061429.815800,116,-22.8443
303068.224400,6061354.005100,117,-23.4533
303203.052400,6061278.286900,118,-23.9811
303337.983100,6061202.805500,119,-24.1931
303472.825500,6061127.207800,120,-24.3332
303607.657900,6061051.472100,121,-24.7132
303742.621000,6060976.068300,122,-25.0781
303877.542700,6060900.626400,123,-25.1670
304012.279100,6060824.746000,124,-25.1529
304147.121800,6060748.990800,125,-24.9962
304281.902100,6060673.253500,126,-25.3421
304416.500500,6060597.015200,127,-25.5050
304554.559000,6060520.128500,128,-25.6570
304691.197500,6060443.975400,129,-26.0855
304820.308500,6060371.374100,130,-26.5509
304944.331500,6060300.953400,131,-26.9363
305066.443600,6060231.474500,132,-27.1111
305188.407700,6060162.007700,133,-27.2422
305300.025300,6060145.433300,134,-27.2990
305367.967800,6060059.833200,135,-27.4373
305489.934500,6059990.364400,136,-27.5734
305611.901200,6059920.896000,137,-27.7164
305733.866900,6059851.427500,138,-27.8586
305855.832400,6059781.959200,139,-27.9897
305977.797900,6059712.489400,140,-28.0930
306099.763300,6059643.024900,141,-28.1602
306221.727800,6059573.555600,142,-28.2347
306343.692200,6059504.086400,143,-28.3296
306465.656500,6059434.619000,144,-28.3876
306587.620200,6059365.153400,145,-28.4086
306709.583500,6059295.688100,146,-28.4256
306831.547300,6059226.219800,147,-28.4474
306953.509600,6059156.755700,148,-28.4392
307061.054000,6059143.980000,149,-28.2170
307133.078900,6059054.575500,150,-28.4074
307255.044800,6058985.107200,151,-28.4295
307377.087100,6058915.596500,152,-28.5550
307500.936700,6058845.483300,153,-28.7663
307629.321000,6058772.980200,154,-29.0003
307764.853900,6058696.900300,155,-29.2771
307902.512600,6058618.597300,156,-29.5520
308038.567500,6058540.712400,157,-29.6720
308174.621900,6058462.828900,158,-29.5829
308310.676400,6058384.947400,159,-29.3569
308446.730900,6058307.062400,160,-29.0609
308582.785600,6058229.177300,161,-28.8100
308718.840400,6058151.292400,162,-28.5870
308854.895100,6058073.407300,163,-28.4460
308990.949900,6057995.522400,164,-28.3870
309127.004600,6057917.639100,165,-28.3610
309263.059000,6057839.757300,166,-28.3350
309399.113500,6057761.872400,167,-28.3120
309535.168300,6057683.987500,168,-28.3310
309671.222900,6057606.105700,169,-28.3510
309807.277800,6057528.222500,170,-28.3710
309943.332500,6057450.337400,171,-28.3910
310079.387300,6057372.452500,172,-28.4110
310215.441500,6057294.569100,173,-28.4310
310351.495900,6057216.687400,174,-28.4520
310487.550700,6057138.802500,175,-28.4120
310623.605400,6057060.917400,176,-28.3600
