Variable,Site
H,A4261159
SAL,SAW_Tailem_Bend
TEMP,SAW_Tailem_Bend
TRACE_1,No Site
WQ_NCS_SS1,SAW_Tailem_Bend
WQ_TRC_RET,No Site
WQ_OXY_OXY,SAW_Tailem_Bend
WQ_SIL_RSI,SAW_Tailem_Bend
WQ_NIT_AMM,EPA2014_LMRIA_Plume_Jervois_Woods_Point
WQ_NIT_NIT,SAW_Tailem_Bend
WQ_PHS_FRP,SAW_Tailem_Bend
WQ_PHS_FRP_ADS,SAW_Tailem_Bend
WQ_OGM_DOC,SAW_Tailem_Bend
WQ_OGM_POC,SAW_Tailem_Bend
WQ_OGM_DON,SAW_Tailem_Bend
WQ_OGM_PON,SAW_Tailem_Bend
WQ_OGM_DOP,SAW_Tailem_Bend
WQ_OGM_POP,SAW_Tailem_Bend
WQ_PHY_GRN,SAW_Tailem_Bend
