Site,Conductivity,ON,OP,SAL,TEMP,WQ_CAR_DIC,WQ_CAR_PH,WQ_DIAG_PHY_TCHLA,WQ_DIAG_TOT_TAL,WQ_DIAG_TOT_TFE,WQ_DIAG_TOT_TKN,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TOC,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TSS,WQ_DIAG_TOT_TURBIDITY,WQ_GEO_AL,WQ_GEO_CA,WQ_GEO_CALCITE,WQ_GEO_CL,WQ_GEO_FEII,WQ_GEO_K,WQ_GEO_MG,WQ_GEO_MN,WQ_GEO_NA,WQ_GEO_SO4,WQ_NCS_SS1,WQ_NIT_AMM,WQ_NIT_NIT,WQ_OGM_DOC,WQ_OGM_DON,WQ_OGM_DOP,WQ_OGM_POC,WQ_OGM_PON,WQ_OGM_POP,WQ_OXY_OXY,WQ_PHS_FRP,WQ_PHS_FRP_ADS,WQ_PHY_GRN,WQ_SIL_RSI,WQ_TRC_SS1,pH,
EPA2014_Lake_Alexandrina_Off_Point_McLeay,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,
EPA2014_Tauwitchere_Mud_Island_1,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , ,
EPA2014_Lake_Alexandrina_off_Rat_Island,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x, ,x, , ,x, , ,x, , ,x, ,x, ,
EPA2014_Lake_Alexandrina_Goolwa_Barrage_Upstream,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,
EPA_Goolwa, ,x,x, , , , ,x, , ,x, , ,x,x,x, , , , , , , , , , ,x,x,x,x, ,x,x, ,x, ,x,x,x,x,x,x,
EPA_Alex_Middle, ,x,x, , , , ,x, , ,x, , ,x,x,x, , , , , , , , , , ,x,x,x,x, ,x,x, ,x, ,x,x,x,x,x,x,
