X,Y
303466.604,6066003.043
303918.199,6065788.424
304369.795,6065573.804
304756.120,6065390.204
305119.817,6065047.094
305432.798,6064751.829
305864.687,6064499.894
306198.847,6064304.967
306679.020,6064165.562
307159.193,6064026.157
307386.224,6063960.245
307759.193,6063627.237
308132.162,6063294.229
308458.693,6063002.683
308954.895,6062941.170
309451.097,6062879.658
309947.299,6062818.145
310003.560,6062811.170
310376.180,6062477.773
310731.307,6062160.028
311197.980,6061980.539
311561.194,6061840.841
312042.226,6061977.253
312416.616,6062083.423
312862.886,6062308.907
313309.156,6062534.391
313629.528,6062696.263
314102.073,6062532.859
314574.619,6062369.456
314995.649,6062223.866
315427.903,6061972.556
315860.156,6061721.245
316093.653,6061585.491
316549.089,6061379.145
317004.524,6061172.799
317459.959,6060966.453
317915.395,6060760.107
318066.231,6060691.767
318477.568,6060407.510
318888.904,6060123.252
319300.241,6059838.995
319636.633,6059606.530
320053.189,6059329.978
320469.745,6059053.426
320886.301,6058776.874
321175.115,6058585.130
321572.025,6058281.054
321968.935,6057976.977
322365.845,6057672.901
322762.755,6057368.824
323159.665,6057064.748
323556.575,6056760.671
323849.905,6056535.948
324232.757,6056214.352
324615.610,6055892.756
324998.462,6055571.160
325381.315,6055249.564
325445.841,6055195.361
325821.388,6054865.263
326196.934,6054535.165
326572.481,6054205.067
326948.028,6053874.969
327323.574,6053544.870
327450.338,6053433.447
327826.626,6053104.195
328202.914,6052774.943
328267.457,6052718.468
328672.450,6052425.243
329077.442,6052132.018
329482.435,6051838.792
329887.428,6051545.567
330233.651,6051294.892
330469.762,6050854.152
330616.676,6050579.913
331093.324,6050428.896
331569.973,6050277.878
331906.193,6050171.353
332275.435,6049834.218
332644.678,6049497.084
332787.149,6049367.001
332978.463,6048905.050
333169.776,6048443.098
333310.617,6048103.019
333718.905,6047814.402
334051.131,6047579.552
334491.153,6047342.106
334931.175,6047104.660
335371.197,6046867.215
335742.824,6046666.677
336140.905,6046364.135
336538.986,6046061.593
336937.067,6045759.052
337019.573,6045696.347
337394.071,6045365.060
337768.570,6045033.773
338015.437,6044815.390
338396.960,6044492.218
338778.483,6044169.046
339160.006,6043845.873
339541.529,6043522.701
339923.052,6043199.529
340185.911,6042976.871
340549.205,6042633.334
340912.498,6042289.797
341275.791,6041946.259
341639.085,6041602.722
342002.378,6041259.185
342298.931,6040978.759
342619.899,6040595.380
342940.868,6040212.001
343218.191,6039880.754
343563.942,6039519.568
343909.694,6039158.381
344255.445,6038797.194
344601.196,6038436.007
344648.150,6038386.958
345043.016,6038080.232
345437.881,6037773.506
345832.747,6037466.779
346078.109,6037276.186
346458.594,6036951.792
346839.078,6036627.399
347219.563,6036303.005
347600.048,6035978.611
347980.533,6035654.218
348361.018,6035329.824
348676.293,6035061.026
348955.594,6034646.308
349234.894,6034231.589
349514.194,6033816.871
349793.494,6033402.152
349940.275,6033184.205
350248.357,6032790.396
350556.439,6032396.587
350674.406,6032245.794
350979.660,6031849.789
351146.803,6031632.955
351610.173,6031445.102
351619.200,6031441.442
351819.610,6030983.364
351887.318,6030828.603
352355.808,6030653.911
352640.600,6030547.718
352817.713,6030080.138
352959.787,6029705.063
353315.503,6029353.686
353671.219,6029002.308
354006.721,6028670.896
354072.326,6028175.219
354121.629,6027802.707
354378.556,6027373.768
354498.270,6027173.908
354887.240,6026859.739
355162.179,6026637.673
355377.146,6026186.243
355417.529,6026101.439
355210.058,6025909.926
355203.674,6025734.373
355411.146,6025603.506
355898.305,6025490.919
356129.317,6025437.529
356570.928,6025203.051
356644.804,6025163.826
356936.957,6024758.059
356989.527,6024685.045
357485.398,6024620.924
357730.041,6024589.289
357994.967,6024467.998
358160.944,6024270.101
358578.092,6023994.442
358706.754,6023909.420
359014.310,6023515.199
359171.172,6023314.135
359457.543,6022904.267
359681.872,6022583.197
359970.766,6022175.103
360259.660,6021767.010
360548.554,6021358.917
360631.454,6021241.812
360995.812,6020899.404
361360.169,6020556.995
361724.527,6020214.587
362088.884,6019872.178
362453.242,6019529.770
362750.858,6019250.083
363146.438,6018944.280
363542.019,6018638.476
363937.600,6018332.672
364333.181,6018026.869
364551.074,6017858.426
364852.736,6017459.678
365154.397,6017060.930
365456.059,6016662.182
365757.721,6016263.433
366059.383,6015864.685
366361.044,6015465.937
366662.706,6015067.189
366772.618,6014921.903
366982.147,6014467.924
367191.676,6014013.944
367401.205,6013559.964
367610.734,6013105.985
367691.877,6012930.175
368036.915,6012568.306
368381.952,6012206.437
368726.990,6011844.568
368738.811,6011832.170
368959.371,6011383.446
369179.930,6010934.722
369400.490,6010485.997
369479.326,6010325.606
369734.427,6009895.579
369989.528,6009465.551
370244.629,6009035.524
370373.050,6008819.042
370641.829,6008397.428
370910.608,6007975.815
371179.386,6007554.201
371448.165,6007132.588
371675.335,6006776.243
371945.431,6006355.473
372215.528,6005934.702
372485.625,6005513.932
372755.721,6005093.161
373025.818,6004672.391
373220.201,6004369.571
373532.549,6003979.137
373844.896,6003588.702
374157.244,6003198.268
374445.880,6002837.472
374699.955,6002406.837
374954.029,6001976.203
375208.104,6001545.568
375462.178,6001114.933
375716.253,6000684.299
375952.444,6000283.974
376187.318,5999842.573
376422.192,5999401.173
376657.065,5998959.772
376891.939,5998518.372
377126.813,5998076.971
377361.686,5997635.571
377433.474,5997500.660
377660.567,5997055.207
377887.661,5996609.754
378114.755,5996164.301
378341.848,5995718.848
