X,Y
301437.216,6066428.013
301928.169,6066333.598
302413.848,6066215.005
302893.065,6066072.525
303369.918,6065922.364
303837.447,6065745.324
304295.97,6065546.027
304740.562,6065317.63
305127.169,6065003.101
305426.825,6064603.756
305814.322,6064293.262
306297.026,6064174.69
306795.941,6064194.122
307281.245,6064086.706
307680.312,6063793.374
307968.846,6063386.233
308401.336,6063172.354
308835.343,6062934.02
309330.346,6062895.777
309816.13,6062841.694
310199.84,6062523.543
310551.346,6062169.823
310979.281,6061913.635
311456.461,6061768.518
311946.543,6061806.488
312392.071,6062029.645
312763.255,6062363.136
313186.957,6062623.449
313675.359,6062716.993
314168.534,6062644.09
314631.348,6062458.075
315047.332,6062183.358
315494.733,6061960.148
315937.261,6061727.426
316374.713,6061485.298
316806.89,6061233.875
317251.53,6061006.375
317708.633,6060808.588
317921.78,6060379.802
318220.306,6060024.449
318713.521,6059956.676
319182.179,6059784.874
319625.683,6059554.023
320066.371,6059317.82
320504.537,6059076.97
320940.13,6058831.498
321373.102,6058581.433
321803.406,6058326.803
322230.992,6058067.635
322655.813,6057803.96
323074.549,6057531.048
323471.076,6057226.513
323856.833,6056908.446
324231.359,6056577.228
324594.206,6056233.256
324944.939,6055876.94
325283.14,6055508.707
325614.898,6055134.672
325958.129,6054771.109
326310.76,6054416.656
326672.55,6054071.557
327043.251,6053736.047
327422.608,6053410.357
327804.825,6053088.058
328199.369,6052781.038
328611.495,6052498.057
329039.739,6052240.117
329474.984,6051994.611
329865.536,6051683.474
330190.294,6051304.912
330523.429,6050934.17
330944.715,6050667.813
331419.993,6050515.109
331885.108,6050332.672
332321.232,6050088.926
332720.328,6049788.363
333081.47,6049443.872
333335.979,6049015.646
333453.408,6048531.536
333541.193,6048052.161
334001.29,6047938.578
334468.91,6047788.097
334783.032,6047402.981
335110.382,6047028.194
335522.612,6046745.369
335951.197,6046487.999
336392.612,6046253.222
336817.422,6045989.947
337212.775,6045684.213
337574.444,6045339.289
337898.562,6044958.862
338233.636,6044593.489
338702.699,6044436.967
339194.027,6044509.335
339610.04,6044278.882
339641.723,6043791.307
339705.553,6043298.203
339941.498,6042860.532
340318.355,6042536.178
340761.054,6042304.444
341169.884,6042017.342
341533.359,6041674.624
341822.769,6041267.659
342052.231,6040823.854
342352.984,6040430.239
342766.411,6040152.302
343177.148,6039879.871
343334.757,6039413.529
343576.159,6038984.696
344018.331,6038763.418
344470.02,6038551.036
344869.14,6038251.315
345277.806,6037980.484
345730.212,6037767.708
346171.098,6037531.986
346599.301,6037273.942
347013.693,6036994.255
347413.179,6036693.663
347796.708,6036372.959
348163.266,6036032.989
348511.888,6035674.648
348841.654,6035298.883
349151.694,6034906.684
349441.191,6034499.085
349709.382,6034077.162
349955.558,6033642.028
350179.071,6033194.829
350379.331,6032736.745
350555.81,6032268.984
350831.032,6031885.282
351288.645,6031700.966
351549.991,6031284.923
351823.05,6030869.803
352231.929,6030587.386
352650.918,6030324.702
352906.439,6029897.518
353211.211,6029503.076
353545.995,6029133.142
353818.084,6028714.163
354027.817,6028260.745
354170.932,6027782.107
354455.987,6027417.079
354909.852,6027389.795
355073.793,6026917.691
355284.514,6026464.518
355364.036,6026018.78
355288.56,6025649.86
355775.336,6025540.012
356229.679,6025333.444
356628.527,6025034.728
357008.344,6024716.589
357490.814,6024603.912
357954.594,6024512.598
358328.173,6024186.196
358732.738,6023893.431
359085.218,6023539.553
359377.105,6023134.246
359640.683,6022709.802
359917.697,6022293.588
360252.316,6021922.067
360590.078,6021553.4
360930.958,6021187.614
361274.932,6020824.736
361621.975,6020464.792
361972.062,6020107.808
362325.168,6019753.81
362681.267,6019402.822
363040.333,6019054.871
363402.931,6018710.608
363761.686,6018362.352
364111.682,6018005.295
364452.705,6017639.658
364784.543,6017265.665
365106.993,6016883.548
365419.854,6016493.542
365722.935,6016095.888
366016.048,6015690.83
366299.013,6015278.619
366571.655,6014859.508
366833.806,6014433.757
367085.14,6014001.535
367340.512,6013571.701
367611.52,6013151.551
367897.797,6012741.652
368198.956,6012342.559
368514.589,6011954.812
368847.196,6011581.777
369187.347,6011215.6
369488.943,6010817.067
369748.925,6010390.221
369964.657,6009939.39
370150.919,6009475.412
370360.698,6009021.63
370597.266,6008581.221
370859.776,6008155.763
371147.285,6007746.784
371470.927,6007366.426
371775.39,6006970.216
372028.571,6006539.426
372226.588,6006080.657
372395.509,6005610.675
372624.255,6005166.342
372899.648,6004749.311
373218.465,6004364.458
373535.886,6003979.939
373827.281,6003573.628
374105.923,6003159.126
374354.207,6002725.128
374602.492,6002291.129
374850.776,6001857.13
375099.06,6001423.131
375347.344,6000989.132
375595.628,6000555.134
375843.913,6000121.135
376092.197,5999687.136
376340.481,5999253.137
376588.765,5998819.138
376837.049,5998385.14
377085.334,5997951.141
377333.618,5997517.142
377581.902,5997083.143
377830.186,5996649.144
378078.47,5996215.146
378326.755,5995781.147
378575.039,5995347.148
378823.323,5994913.149
379071.607,5994479.15
379319.891,5994045.152
379568.176,5993611.153
379816.46,5993177.154
380064.744,5992743.155
380313.028,5992309.156
380561.312,5991875.158
380809.597,5991441.159
381057.881,5991007.16
381306.165,5990573.161
381554.449,5990139.162
381802.733,5989705.164
382051.018,5989271.165
382299.302,5988837.166
382547.586,5988403.167
382795.87,5987969.168
383044.155,5987535.17
