Site,X,Y,Num. Vars,Start Date,End Date,Total Samples at Site
Tauwitchere,320218.0000,6059692.0000,46,07-01-1998,13-06-2019,1691
North_Jacks_Pt,369342.0000,6010972.0000,47,07-01-1998,16-12-2019,1736
South_Policemans_Pt,372453.0000,6005680.0000,44,07-01-1998,16-12-2019,1274
South_Salt_Creek,377463.0000,6000594.0000,44,07-01-1998,05-01-2016,1170
Mark_Pt,325762.0000,6054914.0000,44,07-01-1998,05-01-2016,978
Long_Point,333756.0000,6048260.0000,46,07-01-1998,16-12-2019,1890
Noonameena,342849.0000,6041481.0000,41,07-01-1998,08-03-2005,780
Bonneys,347969.0000,6037304.0000,41,07-01-1998,14-06-2011,1107
McGrath_Flat_Nth,354600.0000,6029390.0000,44,07-01-1998,16-12-2019,1470
Parnka_Pt,355237.0000,6025730.0000,44,07-01-1998,16-12-2019,1744
Villa_de_Yumpa,359175.0000,6022894.0000,47,07-01-1998,16-12-2019,1546
Stony_Well,365104.0000,6017790.0000,44,07-01-1998,16-12-2019,1479
Salt_Creek_1p8km_west,375882.0000,6000470.0000,21,21-07-2014,16-12-2019,712
Salt_Creek_3p2km_west,377570.0000,5997290.0000,21,21-07-2014,16-12-2019,757
Murray_Mouth,308015.0000,6063155.0000,15,12-09-2012,05-01-2016,94
Snipe_Point,374406.0000,6002900.0000,21,21-07-2014,16-12-2019,699
