ID,X,Y
1,308620.303,6061273.2
1,308502.679,6061033.67
1,308235.566,6061164.55
1,307968.439,6061295.4
1,307701.34,6061425.37
1,307426.971,6061568.09
1,307088.15,6061743.44
1,306798.201,6061893.34
1,306554.84,6062026.34
1,306311.201,6062158.8
1,306424.688,6062404.35
1,306527.797,6062579.96
1,306625.386,6062746.05
1,306718.535,6062904.75
1,306783.286,6063044.53
1,306848.037,6063184.32
1,306912.788,6063324.1
1,307098.832,6063236.41
1,307242.941,6063168.48
1,307354.567,6063115.86
1,307457.468,6063205.9
1,307544.063,6063165.16
1,307608.101,6063277.26
1,307635.988,6063411.18
1,307635,6063496
1,307561,6063656
1,307510.975,6063843.36
1,307321.647,6063930.58
1,307408.254,6064077.17
1,307598.527,6063971.87
1,307751.224,6063818.22
1,307886,6063774
1,308006.265,6063733.52
1,308107.893,6063642.41
1,308225.002,6063608.97
1,308322.269,6063549.22
1,308430.167,6063484.68
1,308595.715,6063426.19
1,308757.234,6063428.4
1,308805,6063303
1,308998.2,6063273.6
1,309152.1,6063158.2
1,309326.3,6063124.2
1,309297.668,6063020.17
1,309373.867,6062824.71
1,309074,6062730
1,308773.699,6062887.58
1,308697.9,6062768.21
1,308674.463,6062634.06
1,308676.643,6062492.67
1,308902.17,6062386.36
1,308841.105,6062240.25
1,308780.039,6062094.13
1,308718.321,6061946.58
1,308659.379,6061749.44
1,308597.214,6061541.24
1,308620.303,6061273.2
