Bathy_Control,Bathy_File
7.000007788,'.\dem\hindcast_bathymetry\ZB_20130514_MURRAY_COMP_000_20130507_20131015_extras_MGA_z54_trimmed.asc'
38.00001251,'.\dem\hindcast_bathymetry\ZB_20130614_MURRAY_COMP_000_20130507_20131015_extras_MGA_z54_trimmed.asc'
68.00008288,'.\dem\hindcast_bathymetry\ZB_20130714_MURRAY_COMP_000_20130507_20131015_extras_MGA_z54_trimmed.asc'
99.00001095,'.\dem\hindcast_bathymetry\ZB_20130814_MURRAY_COMP_000_20130507_20131015_extras_MGA_z54_trimmed.asc'
130.0000708,'.\dem\hindcast_bathymetry\ZB_20130914_MURRAY_COMP_000_20130507_20131015_extras_MGA_z54_trimmed.asc'
160.0000709,'.\dem\hindcast_bathymetry\ZB_20131014_MURRAY_COMP_000_20130507_20131015_extras_MGA_z54_trimmed.asc'
191.0000052,'.\dem\hindcast_bathymetry\ZB_20131114_MURRAY_COMP_000_20131015_20131203_extras_MGA_z54_trimmed.asc'
221.0000412,'.\dem\hindcast_bathymetry\ZB_20131214_MURRAY_COMP_000_20131203_20140123_extras_MGA_z54_trimmed.asc'
252.000036,'.\dem\hindcast_bathymetry\ZB_20140114_MURRAY_COMP_000_20131203_20140123_extras_MGA_z54_trimmed.asc'
283.0000062,'.\dem\hindcast_bathymetry\ZB_20140214_MURRAY_COMP_000_20140123_20140304_extras_MGA_z54_trimmed.asc'
311.0000202,'.\dem\hindcast_bathymetry\ZB_20140314_MURRAY_COMP_000_20140304_20140520_extras_MGA_z54_trimmed.asc'
342.0000591,'.\dem\hindcast_bathymetry\ZB_20140414_MURRAY_COMP_000_20140304_20140520_extras_MGA_z54_trimmed.asc'
372.0000755,'.\dem\hindcast_bathymetry\ZB_20140514_MURRAY_COMP_000_20140304_20140520_extras_MGA_z54_trimmed.asc'
403.0000529,'.\dem\hindcast_bathymetry\ZB_20140614_MURRAY_COMP_000_20140520_20140701_extras_MGA_z54_trimmed.asc'
433.0000519,'.\dem\hindcast_bathymetry\ZB_20140714_MURRAY_COMP_000_20140701_20140903_extras_MGA_z54_trimmed.asc'
464.0000109,'.\dem\hindcast_bathymetry\ZB_20140814_MURRAY_COMP_000_20140701_20140903_extras_MGA_z54_trimmed.asc'
495.0000484,'.\dem\hindcast_bathymetry\ZB_20140914_MURRAY_COMP_000_20140903_20141118_extras_MGA_z54_trimmed.asc'
525.0000351,'.\dem\hindcast_bathymetry\ZB_20141014_MURRAY_COMP_000_20140903_20141118_extras_MGA_z54_trimmed.asc'
556.0000576,'.\dem\hindcast_bathymetry\ZB_20141114_MURRAY_COMP_000_20140903_20141118_extras_MGA_z54_trimmed.asc'
586.0000585,'.\dem\hindcast_bathymetry\ZB_20141214_MURRAY_COMP_000_20141118_20150114_extras_MGA_z54_trimmed.asc'
617,'.\dem\hindcast_bathymetry\ZB_20150114_MURRAY_COMP_000_20150114_20150303_extras_MGA_z54_trimmed.asc'
648.0000806,'.\dem\hindcast_bathymetry\ZB_20150214_MURRAY_COMP_000_20150114_20150303_extras_MGA_z54_trimmed.asc'
676.0000923,'.\dem\hindcast_bathymetry\ZB_20150314_MURRAY_COMP_000_20150303_20150514_extras_MGA_z54_trimmed.asc'
707.0000285,'.\dem\hindcast_bathymetry\ZB_20150414_MURRAY_COMP_000_20150303_20150514_extras_MGA_z54_trimmed.asc'
737,'.\dem\hindcast_bathymetry\ZB_20150514_MURRAY_COMP_000_20150514_20150723_extras_MGA_z54_trimmed.asc'
768.000094,'.\dem\hindcast_bathymetry\ZB_20150614_MURRAY_COMP_000_20150514_20150723_extras_MGA_z54_trimmed.asc'
798.0000202,'.\dem\hindcast_bathymetry\ZB_20150714_MURRAY_COMP_000_20150514_20150723_extras_MGA_z54_trimmed.asc'
829.0000244,'.\dem\hindcast_bathymetry\ZB_20150814_MURRAY_COMP_000_20150723_20150908_extras_MGA_z54_trimmed.asc'
