X,Y,Label,Description,Name
321234,6058552,A4261134,The Coorong at Pelican Point,Pelican Pt
345913,6038164,A4260572,The Coorong at Robs Point,Robs Pt
355214,6025721,A4260633,Coorong at Parnka Point,Parnka Pt
312929,6062353,A4261043,Coorong Channel near Beacon 1 (Ewe Island Shacks),Beacon 1
333682,6048236,A4261135,The Coorong at Long Point,Long Pt
367468,6013904,A4261209,Coorong near Woods Well,Woods Well
374735,6003080,A4261165,The Coorong NW Snipe Island,Snipe Is
