Site,X,Y,Num. Vars,Start Date,End Date,Total Samples at Site
A2390568,378834.7000,6001351.5000,6,01-01-2010,01-10-2021,1216244
A2391061,380212.1000,6001343.4000,5,01-01-2010,24-05-2018,623602
A4260524,316281.9430,6079772.2370,5,01-01-2010,01-10-2021,1015120
A4260525,301284.0000,6066129.0000,5,01-01-2010,01-10-2021,206014
A4260527,318956.0000,6060474.0000,5,01-01-2010,01-10-2021,212924
A4260574,340441.0000,6087014.0000,5,14-05-2008,01-10-2021,1020423
A4260575,350272.0000,6075546.0000,5,01-01-2010,01-10-2021,1026944
A4260603m,321239.0000,6058914.0000,2,01-01-2010,01-10-2021,409740
A4260630,349821.0000,6050128.0000,5,01-01-2010,01-10-2021,986870
A4260633m,355214.0000,6025721.0000,6,10-10-2020,01-10-2021,90862
A4260633,355214.0000,6025721.0000,5,01-01-2010,01-10-2021,991690
A4260633s,355214.0000,6025721.0000,8,31-03-2021,01-10-2021,70264
A4261034,301263.0000,6066134.0000,5,01-01-2010,01-10-2021,340388
A4261036,303699.0000,6065669.0000,6,01-01-2010,01-10-2021,1067172
A4261039,309703.3000,6062973.0000,5,01-01-2010,01-10-2021,1030036
A4261041,310050.0000,6064943.0000,5,01-01-2010,01-10-2021,206012
A4261042,310054.0000,6064947.0000,5,01-01-2010,01-10-2021,206012
A4261043,312929.0000,6062353.0000,6,01-01-2010,01-10-2021,1061790
A4261044,313895.0000,6063625.0000,5,01-01-2010,01-10-2021,309018
A4261045,313897.0000,6063629.0000,5,01-01-2010,01-10-2021,309018
A4261046,315502.0000,6062566.0000,5,01-01-2010,01-10-2021,206014
A4261047,315507.0000,6062574.0000,5,01-01-2010,01-10-2021,206014
A4261048,319060.0000,6060458.0000,5,01-01-2010,01-10-2021,206012
A4261099,296255.0000,6074321.0000,6,01-01-2010,04-06-2021,1146972
A4261122,301134.0000,6066594.0000,4,01-01-2010,01-10-2021,818402
A4261123,299235.0000,6068389.0000,6,01-01-2010,01-10-2021,1067834
A4261123m,299235.0000,6068389.0000,2,01-01-2010,01-10-2021,379156
A4261123s,299235.0000,6068389.0000,4,01-01-2010,18-02-2010,9240
A4261124,310088.0000,6069921.0000,6,01-01-2010,01-10-2021,1079394
A4261124m,310088.0000,6069921.0000,2,01-01-2010,01-10-2021,398146
A4261124s,310088.0000,6069921.0000,4,01-01-2010,20-06-2012,173008
A4261128,307998.0000,6064740.0000,5,01-01-2010,01-10-2021,1017540
A4261133,331095.0000,6071418.0000,6,28-03-2008,01-10-2021,1084278
A4261133m,331095.0000,6071418.0000,2,28-01-2010,24-07-2013,45154
A4261133s,331095.0000,6071418.0000,4,28-03-2008,10-02-2012,136920
A4261134,321234.0000,6058552.0000,7,01-01-2010,01-10-2021,1052892
A4261134s,321234.0000,6058552.0000,8,01-04-2021,01-10-2021,70592
A4261135,333682.0000,6048236.0000,5,01-01-2010,01-10-2021,1018928
A4261135s,333682.0000,6048236.0000,8,31-03-2021,01-10-2021,60916
A4261153,349308.0000,6058801.0000,6,29-04-2008,01-10-2021,1088734
A4261153m,349308.0000,6058801.0000,2,01-01-2010,19-04-2015,139362
A4261153s,349308.0000,6058801.0000,4,29-04-2008,16-10-2014,115894
A4261155,341651.0000,6050496.0000,6,20-02-2008,01-10-2021,1081906
A4261155m,341651.0000,6050496.0000,2,01-01-2010,01-11-2012,99366
A4261155s,341651.0000,6050496.0000,4,06-08-2008,24-08-2011,114937
A4261156,324507.0000,6068128.0000,6,01-01-2010,01-10-2021,1022092
A4261156s,324507.0000,6068128.0000,4,01-01-2010,05-02-2011,76896
A4261158,342837.0000,6077906.0000,5,01-01-2010,01-10-2021,991180
A4261158m,342837.0000,6077906.0000,2,01-01-2010,08-01-2012,70774
A4261158s,342837.0000,6077906.0000,4,01-01-2010,14-04-2011,79966
A4261159,353476.0000,6087172.0000,10,01-01-2010,01-10-2021,1339966
A4261159m,353476.0000,6087172.0000,2,01-01-2010,08-06-2014,21642
A4261159s,353476.0000,6087172.0000,4,01-01-2010,02-02-2012,129616
A4261165,374735.0000,6003080.0000,5,01-01-2010,01-10-2021,1030070
A4261165s,374735.0000,6003080.0000,8,31-03-2021,01-10-2021,70884
A4261204,310500.0000,6065700.0000,4,02-09-2010,01-10-2021,761492
A4261205,314700.0000,6064000.0000,4,29-03-2010,01-10-2021,770114
A4261206,316700.0000,6063300.0000,4,10-03-2010,01-10-2021,766722
A4261207,320500.0000,6060500.0000,4,06-02-2010,01-10-2021,798626
A4261209,367468.0000,6013904.0000,5,01-01-2010,01-10-2021,1036912
A4261209s,367468.0000,6013904.0000,10,17-12-2019,13-02-2021,203520
A4261219,322894.2000,6084474.0000,6,01-12-2010,01-10-2021,819096
A4261220,318441.1400,6084597.6000,6,29-10-2010,01-10-2021,667892
SAW_Goolwa_US,300736.1481,6067071.1500,10,03-01-2008,01-07-2021,13638
SAW_Milang,321246.0000,6076714.0000,8,07-01-2008,25-06-2021,12880
SAW_Murray_Bridge_SP,344103.3166,6114649.1354,22,01-01-2008,29-06-2021,29728
SAW_Wall_Flat,344641.3882,6129464.0946,2,03-01-2008,23-01-2008,16
SAW_Cowirra_Surface,345448.0327,6133472.9896,21,01-01-2008,29-06-2021,11368
