CPS,Indicator,System,Start Time,End Time,Var,Trigger,Extent (km)
Fish diversity (species richness/biodisparity,Salinity,Transect,01-04-2020,01-10-2020,SAL,30.0000,0.0000
Fish diversity (species richness/biodisparity,Salinity,Transect,01-10-2020,01-03-2021,SAL,30.0000,0.0000
Fish diversity (species richness/biodisparity,Salinity,Transect,01-04-2020,01-10-2020,SAL,60.0000,68.6488
Fish diversity (species richness/biodisparity,Salinity,Transect,01-10-2020,01-03-2021,SAL,60.0000,60.4165
Fish diversity (species richness/biodisparity,Salinity,Transect,01-04-2020,01-10-2020,SAL,100.0000,95.8655
Fish diversity (species richness/biodisparity,Salinity,Transect,01-10-2020,01-03-2021,SAL,100.0000,93.1055
Waterbirds (Shorebirds),Salinity,Transect,01-09-2020,01-05-2021,SAL,140.0000,108.0019
Waterbirds (Piscivores),Salinity,Transect,01-09-2020,01-05-2021,SAL,45.0000,36.3080
Waterbirds (Piscivores),Salinity,Transect,01-09-2020,01-05-2021,SAL,100.0000,97.1346
Waterbirds (Piscivores),Salinity,Transect,01-01-2020,01-01-2021,SAL,60.0000,63.0996
