Site,X,Y,Num. Vars,Start Date,End Date,Total Samples at Site
A2390568,378834.7000,6001351.5000,6,01-01-2010,18-08-2021,611706
A2391061,380212.1000,6001343.4000,5,01-01-2010,24-05-2018,367805
A4260524,316281.9430,6079772.2370,5,01-01-2010,18-08-2021,509755
A4260525,301284.0000,6066129.0000,5,01-01-2010,18-08-2021,101951
A4260527,318956.0000,6060474.0000,5,01-01-2010,18-08-2021,105407
A4260574,340441.0000,6087014.0000,5,01-01-2010,18-08-2021,509755
A4260575,350272.0000,6075546.0000,5,01-01-2010,18-08-2021,509755
A4260603,321239.0000,6058914.0000,2,01-01-2010,18-08-2021,203900
A4260630,349821.0000,6050128.0000,5,01-01-2010,18-08-2021,509755
A4260633,355214.0000,6025721.0000,11,01-01-2010,18-08-2021,743670
A4260633s,355214.0000,6025721.0000,5,31-03-2021,18-08-2021,16900
A4261034,301263.0000,6066134.0000,5,01-01-2010,18-08-2021,169139
A4261036,303699.0000,6065669.0000,6,01-01-2010,18-08-2021,532576
A4261039,309703.3000,6062973.0000,5,01-01-2010,18-08-2021,505654
A4261041,310050.0000,6064943.0000,5,01-01-2010,18-08-2021,101951
A4261042,310054.0000,6064947.0000,5,01-01-2010,18-08-2021,101951
A4261043,312929.0000,6062353.0000,6,01-01-2010,18-08-2021,526507
A4261044,313895.0000,6063625.0000,5,01-01-2010,18-08-2021,101951
A4261045,313897.0000,6063629.0000,5,01-01-2010,18-08-2021,101951
A4261046,315502.0000,6062566.0000,5,01-01-2010,18-08-2021,101951
A4261047,315507.0000,6062574.0000,5,01-01-2010,18-08-2021,101951
A4261048,319060.0000,6060458.0000,5,01-01-2010,18-08-2021,101951
A4261099,296255.0000,6074321.0000,6,01-01-2010,04-06-2021,600780
A4261122,301134.0000,6066594.0000,4,01-01-2010,18-08-2021,407804
A4261123,299235.0000,6068389.0000,8,01-01-2010,18-08-2021,746507
A4261123s,299235.0000,6068389.0000,1,01-01-2010,04-10-2013,32929
A4261124,310088.0000,6069921.0000,8,01-01-2010,18-08-2021,749420
A4261124s,310088.0000,6069921.0000,1,01-01-2010,20-06-2012,21627
A4261128,307998.0000,6064740.0000,5,01-01-2010,18-08-2021,509755
A4261133,331095.0000,6071418.0000,8,01-01-2010,18-08-2021,630517
A4261133s,331095.0000,6071418.0000,1,01-01-2010,10-02-2012,18501
A4261134,321234.0000,6058552.0000,7,01-01-2010,18-08-2021,524101
A4261134s,321234.0000,6058552.0000,5,01-04-2021,18-08-2021,16790
A4261135,333682.0000,6048236.0000,5,01-01-2010,18-08-2021,509755
A4261135s,333682.0000,6048236.0000,5,31-03-2021,18-08-2021,16810
A4261153,349308.0000,6058801.0000,8,01-01-2010,18-08-2021,648445
A4261153s,349308.0000,6058801.0000,1,01-01-2010,08-03-2012,19129
A4261155,341651.0000,6050496.0000,8,01-01-2010,18-08-2021,632373
A4261155s,341651.0000,6050496.0000,1,01-01-2010,08-03-2012,19131
A4261156,324507.0000,6068128.0000,6,01-01-2010,18-08-2021,554419
A4261156s,324507.0000,6068128.0000,1,01-01-2010,15-06-2011,12739
A4261158,342837.0000,6077906.0000,7,01-01-2010,18-08-2021,548058
A4261158s,342837.0000,6077906.0000,1,01-01-2010,08-03-2012,19149
A4261159,353476.0000,6087172.0000,8,01-01-2010,18-08-2021,543597
A4261159s,353476.0000,6087172.0000,1,01-01-2010,20-01-2015,44304
A4261165,374735.0000,6003080.0000,5,01-01-2010,18-08-2021,509755
A4261165s,374735.0000,6003080.0000,5,31-03-2021,18-08-2021,16885
A4261204,310500.0000,6065700.0000,4,02-09-2010,18-08-2021,384376
A4261205,314700.0000,6064000.0000,4,29-03-2010,18-08-2021,399360
A4261206,316700.0000,6063300.0000,4,10-03-2010,18-08-2021,401192
A4261207,320500.0000,6060500.0000,4,06-02-2010,18-08-2021,404344
A4261209,367468.0000,6013904.0000,5,01-01-2010,18-08-2021,509750
A4261209s,367468.0000,6013904.0000,7,17-12-2019,13-02-2021,71246
A4261219,322894.2000,6084474.0000,6,01-12-2010,18-08-2021,563484
A4261220,318441.1400,6084597.6000,6,29-10-2010,18-08-2021,470620
