AIRPRESSURE
AIRTEMP
COND
FLOW
LEVEL
RELHUM
SOLRAD
TEMP
TEMP_Master
TEMP_SONDE
Velocity
WIND_DIR
WIND_SPEED
WQ_CAR_PH
WQ_CAR_PH_SONDE
WQ_DIAG_TOT_TCHLA_SONDE
WQ_DIAG_TOT_TDS
WQ_DIAG_TOT_TURBIDITY_SONDE
WQ_OXY_OXY_SAT_SONDE
WQ_OXY_OXY_SONDE
WQ_PHY_BGA_SONDE
