Date,T_Max,T_Min,Tav,Rain,Evap,Radn,VP,RHAv,RHmaxT,RHminT,Mlake
01/01/2014 00:00,24,16,20,0,7,25,14.7,65.1,49.3,80.9,5.9
02/01/2014 00:00,22.2,14.6,18.4,0,6.5,23.8,11.2,54.65,41.9,67.4,5.3
03/01/2014 00:00,22.2,13.4,17.8,0,5.4,22.3,10.4,53.3,38.9,67.7,4.9
04/01/2014 00:00,28.8,9.4,19.1,0,7.8,31.9,12,65.15,30.3,100,7.4
05/01/2014 00:00,25.1,11,18.05,0,7.7,30,14.8,73.25,46.5,100,6.9
06/01/2014 00:00,25.7,10.8,18.25,0,7.7,31.3,13.8,70.9,41.8,100,7.2
07/01/2014 00:00,31.6,9.6,20.6,0,8.6,32,12.3,63.25,26.5,100,7.6
08/01/2014 00:00,39,14.8,26.9,0,10.4,27.4,10.2,37.6,14.6,60.6,7
09/01/2014 00:00,35.5,17.3,26.4,0,9.5,31.5,10.9,37.05,18.9,55.2,8
10/01/2014 00:00,42,16.8,29.4,0,8.2,31,14.3,46.1,17.4,74.8,8.5
11/01/2014 00:00,40.9,23.7,32.3,0,13.5,22.2,12.8,30.1,16.5,43.7,6.6
12/01/2014 00:00,21.1,20.3,20.7,6.4,5,9.4,22.9,93.9,91.6,96.2,2.6
13/01/2014 00:00,22.9,14.4,18.65,8.2,5.9,25.5,12.5,60.5,44.8,76.2,5.7
14/01/2014 00:00,23.2,10.1,16.65,0.2,7,29.7,11.4,66.2,40.1,92.3,6.5
15/01/2014 00:00,28.9,10.4,19.65,0,6.9,28.6,12,62.65,30.1,95.2,6.6
16/01/2014 00:00,24,12.5,18.25,0,6.6,22.8,15,75.15,50.3,100,5.2
17/01/2014 00:00,21.6,13.3,17.45,0.2,5.8,24.3,13.4,69.9,52,87.8,5.4
18/01/2014 00:00,20.8,12.8,16.8,0.1,6.9,20.7,10.7,58,43.6,72.4,4.4
19/01/2014 00:00,23.9,11.8,17.85,0,5.6,26.1,11.2,59.4,37.8,81,5.7
20/01/2014 00:00,26,12.3,19.15,0,6.8,29.3,16.1,73.95,47.9,100,6.9
21/01/2014 00:00,32.7,14.5,23.6,0,5.7,23.8,16.9,67.1,34.2,100,6.1
22/01/2014 00:00,33.3,19.1,26.2,0,8,21.6,14.7,47.6,28.7,66.5,5.7
23/01/2014 00:00,23.9,16.4,20.15,0,5.9,23.1,15.2,66.4,51.3,81.5,5.4
24/01/2014 00:00,24.5,9.7,17.1,0,6,28.8,11.3,65.4,36.8,94,6.3
25/01/2014 00:00,28.3,10.2,19.25,0,6.3,29.3,12.2,64.9,31.7,98.1,6.7
26/01/2014 00:00,25.4,14.1,19.75,0,6.7,27,16.7,75.75,51.5,100,6.4
27/01/2014 00:00,25,12.2,18.6,0,7.2,25.7,13,66.3,41.1,91.5,5.8
28/01/2014 00:00,25.5,11.2,18.35,0.5,9.1,28.3,11.5,60.85,35.2,86.5,6.3
