X,Y,Z,ID
301938.608,6064998.608,-3.337,1
301914.764,6064956.263,-3.692,2
301889.638,6064911.635,-4.061,3
302035.243,6064966.598,-3.347,4
302012.082,6064923.603,-3.687,5
301959.067,6065034.998,-3.008,6
301835.257,6064815.048,-4.842,7
301805.851,6064762.825,-5.260,8
301863.160,6064864.605,-4.439,9
301987.673,6064878.293,-4.071,10
302150.302,6064924.930,-3.331,11
302127.526,6064881.485,-3.681,12
302055.179,6065003.770,-3.023,13
301976.767,6065066.540,-2.743,14
302012.163,6065129.605,-2.224,15
301994.466,6065098.075,-2.486,16
301774.863,6064707.790,-5.701,17
301934.837,6064780.215,-4.824,18
301906.264,6064727.180,-5.256,19
301961.949,6064830.540,-4.428,20
302103.522,6064835.697,-4.064,21
302283.401,6064872.617,-3.410,22
302260.726,6064828.938,-3.713,23
302169.973,6064962.752,-3.006,24
302072.495,6065036.242,-2.752,25
302107.117,6065101.145,-2.227,26
302089.808,6065068.700,-2.493,27
302029.858,6065161.132,-1.920,28
301707.793,6064588.673,-6.647,29
301671.525,6064524.262,-7.240,30
301742.208,6064649.792,-6.162,31
301876.149,6064671.282,-5.714,32
302051.549,6064736.563,-4.802,33
302023.436,6064682.942,-5.229,34
302078.219,6064787.435,-4.424,35
302236.823,6064782.890,-4.025,36
302426.752,6064814.010,-3.386,37
302404.016,6064770.220,-3.672,38
302303.065,6064910.938,-3.200,39
302187.138,6064996.085,-2.728,40
302221.455,6065062.692,-2.187,41
302204.299,6065029.398,-2.460,42
302124.420,6065133.580,-1.912,43
302047.553,6065192.650,-1.524,44
301633.304,6064456.385,-8.018,45
301810.956,6064550.280,-6.705,46
301775.696,6064484.835,-7.330,47
301844.409,6064612.372,-6.190,48
301993.801,6064626.418,-5.700,49
302185.051,6064683.162,-4.733,50
302157.038,6064629.200,-5.114,51
302211.621,6064734.345,-4.388,52
302380.042,6064724.043,-3.976,53
302569.994,6064755.112,-3.345,54
302547.202,6064711.218,-3.630,55
302446.555,6064852.740,-3.151,56
302320.316,6064945.040,-2.882,57
302354.802,6065013.192,-2.167,58
302337.561,6064979.125,-2.539,59
302238.601,6065095.973,-1.853,60
302141.721,6065165.997,-1.493,61
302065.248,6065224.162,-1.103,62
301421.595,6066716.485,-1.692,63
301550.575,6064309.465,-9.602,64
301505.839,6064230.013,-10.480,65
301593.025,6064384.853,-8.845,66
301738.531,6064415.857,-8.111,67
301929.629,6064504.025,-6.728,68
301894.913,6064437.810,-7.361,69
301962.561,6064566.835,-6.200,70
302127.501,6064572.303,-5.622,71
302328.099,6064623.990,-4.699,72
