X,Y,Z,ID
301421.595,6066716.485,-1.692,1
301517.928,6066729.385,0.501,2
301415.808,6066671.808,-5.084,3
301707.05,6066790.425,0.005,4
301530.699,6066695.293,0.029,5
301508.561,6066664.375,-0.675,6
301410.593,6066631.62,-3.863,7
301405.904,6066595.555,-3.058,8
301401.687,6066563.16,-4.497,9
301692.461,6066729.263,0,10
301396.853,6066530.875,-3.914,11
301391.181,6066496.985,-5.522,12
301385.509,6066463.095,-7.711,13
301379.836,6066429.205,-5.35,14
302118.034,6065315.173,-0.077,15
301927.638,6066886.335,0.438,16
301679.354,6066673.95,0,17
301503.585,6066625.86,-1.008,18
301499.077,6066591.112,-1.578,19
301510.79,6066561.837,-1.854,20
301492.513,6066545.418,-2.397,21
301905.931,6066793.565,-0.502,22
301487.758,6066513.813,-2.633,23
301481.911,6066479.13,-3.348,24
301462.325,6066454.677,-3.7,25
301472.963,6066425.623,-4.082,26
301374.164,6066395.315,-6.364,27
301343.764,6066222.03,-9.026,28
301333.007,6066161.93,-6.424,29
301368.492,6066361.425,-5.617,30
302202.398,6065292.64,0.113,31
302107.535,6065297.675,-0.28,32
302146.284,6066944.72,-0.044,33
301886.69,6066710.693,-0.849,34
301667.56,6066623.88,-0.163,35
301656.93,6066578.513,-0.47,36
301647.337,6066537.36,-0.746,37
301638.667,6066500.002,-1.149,38
302120.949,6066828.183,-0.644,39
301631.654,6066466.893,-2.048,40
301625.863,6066436.23,-2.421,41
301620.072,6066405.568,-2.626,42
301467.116,6066390.94,-4.052,43
301361.702,6066322.353,-4.307,44
301353.28,6066275.238,-6.678,45
301437.544,6066223.737,-1.292,46
301426.937,6066164.967,-1.628,47
301461.269,6066356.26,-4.081,48
302302.142,6065264.26,0.391,49
302195.426,6065274.377,-0.084,50
302097.036,6065280.177,-0.437,51
302413.641,6066955.502,-0.062,52
302098.782,6066725.178,-0.88,53
301869.602,6066636.552,-0.796,54
301854.397,6066570.122,-0.901,55
301840.841,6066510.508,-1.053,56
301828.734,6066456.935,-1.542,57
302379.496,6066833.09,-0.87,58
301821.071,6066416.592,-1.834,59
301817.177,6066386.638,-2.069,60
301813.284,6066356.683,-2.246,61
301614.281,6066374.907,-2.84,62
301454.661,6066318.527,-2.161,63
301446.72,6066274.562,-1.713,64
301572.407,6066143.648,0.881,65
301583.753,6066207.008,0.128,66
301608.49,6066344.25,-1.968,67
302431.388,6065220.585,0.338,68
302300.726,6065243.477,0.327,69
302188.454,6065256.115,-0.278,70
302087.318,6065263.473,-0.653,71
302669.131,6066874.32,0.206,72
302349.598,6066725.242,-0.808,73
302079.358,6066634.002,-0.885,74
302062.31,6066553.18,-0.991,75
302047.324,6066481.427,-1.212,76
302034.13,6066417.635,-1.754,77
302625.789,6066761.86,-0.49,78
302587.856,6066663.048,-0.88,79
302026.24,6066372.16,-1.908,80
302022.82,6066341.28,-2.117,81
302019.4,6066310.4,-2.266,82
301809.39,6066326.73,-2.535,83
301601.749,6066307.503,-1.378,84
301593.46,6066261.202,-0.585,85
301767.651,6066092.505,0.321,86
301779.906,6066157.185,-0.118,87
301805.497,6066296.777,-2.06,88
302576.414,6065168.12,0.356,89
302431.763,6065198.853,0.265,90
302299.31,6065222.695,0.17,91
302180.608,6065238.827,-0.509,92
302078.381,6065247.56,-0.814,93
302861.981,6066682.028,0.439,94
302309.877,6066588.685,-0.894,95
302367.167,6066646.6,-0.862,96
302554.621,6066576.117,-0.88,97
302288.454,6066509.325,-1.001,98
302269.615,6066439.08,-1.127,99
302253.023,6066376.817,-1.715,100
302818.321,6066591.982,-0.576,101
302780.398,6066513.67,-0.88,102
302242.25,6066331.255,-2.056,103
302236.25,6066298.665,-2.271,104
302230.25,6066266.075,-2.37,105
302015.98,6066279.52,-2.3,106
301799.349,6066259.785,-1.665,107
301790.406,6066212.555,-0.427,108
301967.013,6066054.08,0.167,109
301981.956,6066115.223,-0.291,110
302012.56,6066248.64,-2.054,111
302722.339,6065117.435,0.192,112
302576.842,6065146.258,0.302,113
302432.137,6065177.12,0.283,114
302294.292,6065203.963,-0.475,115
302171.888,6065222.51,-0.765,116
302069.444,6065231.647,-1.009,117
303003.35,6066515.588,0.149,118
302747.432,6066445.48,-0.88,119
302525.469,6066499.537,-0.891,120
302499.867,6066431.97,-0.933,121
302477.355,6066372.273,-0.97,122
302457.534,6066319.455,-1.795,123
302970.188,6066444.425,-0.387,124
302941.567,6066383.042,-0.584,125
302443.53,6066278.64,-2.189,126
302434.09,6066246.62,-2.671,127
302424.65,6066214.6,-2.608,128
302224.25,6066233.485,-2.136,129
302005.666,6066212.217,-1.596,130
301994.776,6066167.607,-0.507,131
302160.688,6066003.04,0.707,132
302179.264,6066064.932,-0.063,133
302218.25,6066200.895,-2.027,134
302868.238,6065063.09,0.176,135
302722.418,6065094.605,0.088,136
302577.27,6065124.393,0.258,137
302428.006,6065157.748,-0.102,138
302285.672,6065187.275,-0.703,139
302163.168,6065206.19,-0.96,140
302060.507,6065215.735,-1.222,141
303142.984,6066461.367,0.4,142
302916.853,6066330.06,-0.738,143
302718.747,6066386.025,-0.895,144
302693.763,6066334.105,-0.912,145
302671.979,6066288.697,-1.027,146
302652.965,6066248.927,-1.569,147
303120.541,6066387.892,-0.109,148
303101.244,6066324.81,-0.35,149
302638.525,6066215.335,-2.294,150
302627.375,6066185.305,-2.714,151
302616.225,6066155.275,-2.674,152
302415.21,6066182.58,-2.282,153
302208.742,6066163.13,-1.278,154
302195.218,6066118.023,-0.369,155
302352.153,6065958.303,0.483,156
302368.781,6066018.308,0.005,157
302405.77,6066150.56,-2.118,158
303015.519,6065003.84,0.271,159
302868.015,6065040.867,0.056,160
302722.497,6065071.773,0.247,161
302573.122,6065104.803,0.001,162
302419.367,6065140.732,-0.459,163
302277.05,6065170.582,-0.898,164
302154.446,6065189.867,-1.176,165
302051.567,6065199.82,-1.44,166
303297.796,6066456.025,0.589,167
303084.655,6066270.66,-0.576,168
302895.504,6066284.297,-0.879,169
302877.052,6066244.737,-0.898,170
302861.096,6066210.508,-0.924,171
302847.289,6066180.867,-1.13,172
303281.103,6066375.627,-0.03,173
303266.68,6066306.325,-0.385,174
302835.37,6066152.067,-2.204,175
302824.344,6066121.985,-2.902,176
302813.317,6066091.905,-2.761,177
302605.075,6066125.245,-2.425,178
302395.172,6066113.53,-1.28,179
302383.079,6066069.848,-0.372,180
302515.827,6065933.413,0.598,181
302560.772,6065974.12,-0.137,182
302593.925,6066095.215,-2.204,183
303164.528,6064942.375,0.231,184
303013.258,6064981.317,0.182,185
302867.791,6065018.645,0.283,186
302718.131,6065051.548,0.035,187
302564.397,6065087.487,-0.37,188
302410.727,6065123.713,-0.751,189
302268.428,6065153.885,-1.107,190
302145.716,6065173.543,-1.401,191
302042.62,6065183.88,-1.658,192
303476.775,6066400.393,0.715,193
303254.226,6066246.61,-0.656,194
303070.395,6066224.19,-0.775,195
303058.14,6066184.32,-0.928,196
303047.612,6066150.118,-1.065,197
303038.567,6066120.787,-1.493,198
303460.78,6066322.838,-0.179,199
303446.942,6066255.84,-0.596,200
303434.974,6066197.975,-0.949,201
303028.788,6066091.625,-2.144,202
303017.588,6066060.38,-2.581,203
303006.389,6066029.138,-2.734,204
302802.291,6066061.823,-2.5,205
302552.723,6066077.397,-1.644,206
302576.75,6066035.002,-0.426,207
302757.056,6065926.605,0.253,208
302791.265,6066031.74,-2.328,209
303308.989,6064881.035,0.36,210
303159.184,6064919.525,0.239,211
303010.997,6064958.798,0.142,212
302863.231,6064998.575,0.08,213
302709.32,6065033.93,-0.276,214
302555.671,6065070.165,-0.684,215
302402.086,6065106.685,-1.021,216
302259.789,6065137.19,-1.331,217
302136.962,6065157.14,-1.629,218
302033.666,6065167.918,-1.864,219
303664.799,6066335.063,0.103,220
303239.311,6066172.285,-0.982,221
303275.166,6066199.847,-0.914,222
303424.628,6066148.01,-1.341,223
303230.591,6066131.082,-1.214,224
303223.083,6066095.648,-1.553,225
303216.62,6066065.19,-1.749,226
303644.905,6066259.922,-0.467,227
303627.701,6066195.143,-0.927,228
303612.845,6066139.325,-1.298,229
303208.605,6066034.67,-2.202,230
303198.551,6066001.782,-2.586,231
303188.497,6065968.895,-2.579,232
302995.189,6065997.89,-2.515,233
302777.257,6065990.023,-1.59,234
302948.201,6065857.407,0.754,235
302983.989,6065966.645,-2.388,236
303449.722,6064824.27,0.388,237
303302.568,6064858.208,0.254,238
303153.841,6064896.677,0.131,239
303005.383,6064938.447,0.005,240
302854.334,6064980.652,-0.232,241
302700.508,6065016.305,-0.602,242
302546.943,6065052.835,-0.957,243
302393.42,6065089.662,-1.256,244
302251.107,6065120.355,-1.559,245
302128.188,6065140.657,-1.851,246
302024.71,6065151.952,-2.042,247
303845.765,6066325.57,0.7,248
303415.688,6066104.875,-1.169,249
303605.566,6066089.83,-0.904,250
303407.965,6066067.645,-1.213,251
303401.297,6066035.52,-1.339,252
303395.542,6066007.81,-1.765,253
303815.342,6066233.48,-0.514,254
303769.591,6066176.763,-1.111,255
303780.537,6066125.978,-1.364,256
303388.422,6065977.715,-2.21,257
303379.513,6065943.185,-2.819,258
303370.604,6065908.652,-2.63,259
303178.442,6065936.005,-2.433,260
302969.221,6065923.345,-1.418,261
303124.49,6065776.592,0.482,262
303168.388,6065903.117,-2.363,263
303594.466,6064763.68,0.467,264
