Variable,Site
SAL,EPA2014_Lake_Albert_Opening
TEMP,EPA2014_Lake_Albert_Opening
TRACE_1,No Site
WQ_NCS_SS1,EPA_Albert_Opening
WQ_TRC_RET,No Site
WQ_OXY_OXY,EPA2014_Lake_Albert_Opening
WQ_SIL_RSI,EPA_Albert_Opening
WQ_NIT_AMM,EPA_Albert_Opening
WQ_NIT_NIT,EPA_Albert_Opening
WQ_PHS_FRP,EPA_Albert_Opening
WQ_PHS_FRP_ADS,EPA_Albert_Opening
WQ_OGM_DOC,EPA_Albert_Opening
WQ_OGM_POC,EPA_Albert_Opening
WQ_OGM_DON,EPA2014_Lake_Albert_Narrows_16
WQ_OGM_PON,SAW_Tailem_Bend
WQ_OGM_DOP,EPA_Albert_Opening
WQ_OGM_POP,EPA_Albert_Opening
WQ_PHY_GRN,EPA_Albert_Opening
