Variable,Site
H,A4261039
SAL,A4261039
TEMP,A4261039
TRACE_1,No Site
TRACE_2,No Site
TRACE_3,No Site
TRACE_4,No Site
TRACE_5,No Site
WQ_NCS_SS1,Murray_Mouth
WQ_TRC_RET,No Site
WQ_OXY_OXY,A4261204s
WQ_SIL_RSI,Murray_Mouth
WQ_NIT_AMM,Murray_Mouth
WQ_NIT_NIT,Murray_Mouth
WQ_PHS_FRP,Murray_Mouth
WQ_PHS_FRP_ADS,Murray_Mouth
WQ_OGM_DOC,ALS_Murray_Mouth
WQ_OGM_POC,ALS_Murray_Mouth
WQ_OGM_DON,Murray_Mouth
WQ_OGM_PON,Murray_Mouth
WQ_OGM_DOP,Murray_Mouth
WQ_OGM_POP,Murray_Mouth
WQ_PHY_GRN,Murray_Mouth
mag_ulva,No Site
mag_ulva_in,No Site
mag_ulva_ip,No Site
WQ_DIAG_TOT_TN,Murray_Mouth
WQ_DIAG_TOT_TP,Murray_Mouth
WQ_DIAG_TOT_TOC,ALS_Murray_Mouth
