ISOTime,Wx,Wy
01/12/2020 17:49:00,6.5743,2.3152
01/12/2020 17:55:00,13.1310,4.6499
01/12/2020 18:00:00,12.3221,4.2669
01/12/2020 18:05:00,12.3801,4.5796
01/12/2020 18:10:00,11.0318,4.1027
01/12/2020 18:15:00,11.9820,4.1491
01/12/2020 18:20:00,10.9617,5.5131
01/12/2020 18:25:00,10.6441,4.3005
01/12/2020 18:30:00,11.2868,5.5783
01/12/2020 18:40:00,11.7203,5.1205
01/12/2020 18:45:00,11.2146,4.4628
01/12/2020 18:50:00,11.2465,5.3402
01/12/2020 18:55:00,11.5746,5.1534
01/12/2020 19:00:00,10.3483,6.1933
01/12/2020 19:05:00,9.7597,4.3862
01/12/2020 19:10:00,10.3047,4.8052
01/12/2020 19:15:00,11.4248,4.0457
01/12/2020 19:20:00,12.8731,3.8621
01/12/2020 19:25:00,11.2693,4.8533
01/12/2020 19:30:00,11.2200,5.2558
01/12/2020 19:35:00,11.0154,4.8354
01/12/2020 19:40:00,10.8305,4.7092
01/12/2020 19:45:00,11.0890,4.2345
01/12/2020 19:50:00,10.5905,4.7818
01/12/2020 19:55:00,10.9804,4.0400
01/12/2020 20:00:00,10.7717,4.0274
01/12/2020 20:05:00,9.9839,4.8049
01/12/2020 20:10:00,9.7539,5.3401
01/12/2020 20:15:00,9.8059,5.3908
01/12/2020 20:20:00,9.3051,4.8646
01/12/2020 20:25:00,10.9423,4.4432
01/12/2020 20:30:00,9.8663,4.3928
01/12/2020 20:40:00,10.3372,4.7109
01/12/2020 20:45:00,9.7476,4.9667
01/12/2020 20:50:00,9.4999,4.9453
01/12/2020 20:55:00,9.5430,4.2090
01/12/2020 21:00:00,9.5146,5.5599
01/12/2020 21:05:00,8.9948,5.3195
01/12/2020 21:10:00,9.8451,5.2127
01/12/2020 21:15:00,10.0180,4.7569
01/12/2020 21:20:00,10.5340,6.7109
01/12/2020 21:25:00,9.4697,6.9562
01/12/2020 21:30:00,9.2178,5.1728
01/12/2020 21:40:00,10.2281,6.1214
01/12/2020 21:45:00,11.0188,5.3981
01/12/2020 21:50:00,10.6822,5.8726
01/12/2020 21:55:00,10.5568,4.4594
01/12/2020 22:00:00,9.3676,5.6509
01/12/2020 22:05:00,10.0359,6.3199
01/12/2020 22:10:00,9.1233,5.5907
01/12/2020 22:15:00,8.6649,5.6056
01/12/2020 22:20:00,9.1561,5.1803
01/12/2020 22:25:00,9.8383,5.8183
01/12/2020 22:30:00,9.2151,5.2989
01/12/2020 22:40:00,8.4958,5.6446
01/12/2020 22:45:00,9.0291,4.6802
01/12/2020 22:50:00,8.3694,5.7953
01/12/2020 22:55:00,8.0275,5.8110
01/12/2020 23:00:00,8.5792,5.8963
01/12/2020 23:05:00,8.5670,6.0882
01/12/2020 23:10:00,7.7616,6.3528
01/12/2020 23:15:00,8.1009,6.4900
01/12/2020 23:20:00,9.1002,5.3177
01/12/2020 23:25:00,8.6392,5.2321
01/12/2020 23:30:00,7.7327,5.9550
01/12/2020 23:35:00,7.2949,4.9576
01/12/2020 23:40:00,8.0832,4.9147
01/12/2020 23:45:00,7.4590,5.1073
01/12/2020 23:50:00,7.5727,4.9554
01/12/2020 23:55:00,7.4211,4.6733
02/12/2020 00:00:00,7.0588,5.5348
02/12/2020 00:05:00,6.6722,5.5987
02/12/2020 00:10:00,6.6387,6.0620
02/12/2020 00:15:00,7.8671,4.4329
02/12/2020 00:20:00,7.1210,5.4051
02/12/2020 00:25:00,7.5697,5.8716
02/12/2020 00:30:00,7.2358,6.6537
02/12/2020 00:40:00,6.4064,5.4330
02/12/2020 00:45:00,7.7018,5.1949
