Site,X,Y,Num. Vars,Start Date,End Date,Total Samples at Site
A2390568,378834.7000,6001351.5000,6,01-01-2016,17-08-2021,3534227
A2391061,380212.1000,6001343.4000,5,01-01-2016,23-05-2018,1257772
A4260525,301284.0000,6066129.0000,5,01-01-2016,17-08-2021,591033
A4260527,318956.0000,6060474.0000,5,01-01-2016,17-08-2021,589191
A4260603,321239.0000,6058914.0000,2,01-01-2016,17-08-2021,587466
A4260633,355214.0000,6025721.0000,11,01-01-2016,17-08-2021,3102694
A4260633s,355214.0000,6025721.0000,5,30-03-2021,17-08-2021,201390
A4261034,301263.0000,6066134.0000,5,01-01-2016,17-08-2021,591329
A4261036,303699.0000,6065669.0000,6,01-01-2016,17-08-2021,2816588
A4261039,309703.3000,6062973.0000,5,01-01-2016,17-08-2021,2826489
A4261041,310050.0000,6064943.0000,5,01-01-2016,17-08-2021,591983
A4261042,310054.0000,6064947.0000,5,01-01-2016,17-08-2021,591987
A4261043,312929.0000,6062353.0000,6,01-01-2016,17-08-2021,2886909
A4261044,313895.0000,6063625.0000,5,01-01-2016,17-08-2021,589180
A4261045,313897.0000,6063629.0000,5,01-01-2016,17-08-2021,591984
A4261046,315502.0000,6062566.0000,5,01-01-2016,17-08-2021,591120
A4261047,315507.0000,6062574.0000,5,01-01-2016,17-08-2021,592000
A4261048,319060.0000,6060458.0000,5,01-01-2016,17-08-2021,590465
A4261122,301134.0000,6066594.0000,4,01-01-2016,17-08-2021,2246592
A4261123,299235.0000,6068389.0000,8,01-01-2016,17-08-2021,3345459
A4261123s,299235.0000,6068389.0000,1,,,0
A4261128,307998.0000,6064740.0000,5,01-01-2016,17-08-2021,2862525
A4261134,321234.0000,6058552.0000,7,01-01-2016,17-08-2021,2917722
A4261134s,321234.0000,6058552.0000,5,31-03-2021,17-08-2021,200205
A4261135,333682.0000,6048236.0000,5,01-01-2016,17-08-2021,2802678
A4261135s,333682.0000,6048236.0000,5,31-03-2021,17-08-2021,163305
A4261165,374735.0000,6003080.0000,5,01-01-2016,17-08-2021,2806736
A4261165s,374735.0000,6003080.0000,5,30-03-2021,17-08-2021,201350
A4261204,310500.0000,6065700.0000,4,01-01-2016,17-08-2021,2240679
A4261205,314700.0000,6064000.0000,4,01-01-2016,17-08-2021,2226768
A4261206,316700.0000,6063300.0000,4,01-01-2016,17-08-2021,2153231
A4261207,320500.0000,6060500.0000,4,01-01-2016,17-08-2021,2213590
A4261209,367468.0000,6013904.0000,5,01-01-2016,17-08-2021,2820486
A4261209s,367468.0000,6013904.0000,7,16-12-2019,12-02-2021,825859
