"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS MELB","20-54272"," 6781626","1.8km West of Salt Creek",18/11/2020 0:00:00,"BACILLARIOPHYCEAE","Centrales",98.00,"0.0196"
"ALS MELB","20-54272"," 6781626","1.8km West of Salt Creek",18/11/2020 0:00:00,"BACILLARIOPHYCEAE","Naviculales",49.00,"0.0686"
"ALS MELB","20-54272"," 6781626","1.8km West of Salt Creek",18/11/2020 0:00:00,"BACILLARIOPHYCEAE","Nitzschia",49.00,"0.0196"
"ALS MELB","20-54272"," 6781626","1.8km West of Salt Creek",18/11/2020 0:00:00,"BACILLARIOPHYCEAE","Pennales",2.00,"0.0005"
"ALS MELB","20-54272"," 6781626","1.8km West of Salt Creek",18/11/2020 0:00:00,"BACILLARIOPHYCEAE","Pennales (small <20um)",245.00,"0.0615"
"ALS MELB","20-54272"," 6781626","1.8km West of Salt Creek",18/11/2020 0:00:00,"CHLOROPHYCEAE","Ankistrodesmoideae",36278.00,"4.7887"
"ALS MELB","20-54272"," 6781626","1.8km West of Salt Creek",18/11/2020 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",60300.00,"3.6180"
"ALS MELB","20-54272"," 6781626","1.8km West of Salt Creek",18/11/2020 0:00:00,"CHRYSOPHYCEAE","Other Chrysophyceae",490.00,"0.1715"
"ALS MELB","20-54272"," 6781626","1.8km West of Salt Creek",18/11/2020 0:00:00,"CRYPTOPHYCEAE","Cryptomonads",2.00,"0.0006"
"ALS MELB","20-54272"," 6781626","1.8km West of Salt Creek",18/11/2020 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",707913.00,"3.7165"
"ALS MELB","20-54272"," 6781626","1.8km West of Salt Creek",18/11/2020 0:00:00,"DINOPHYCEAE","Gymnodiniales",147.00,"0.2941"
"ALS MELB","20-54272"," 6781626","1.8km West of Salt Creek",18/11/2020 0:00:00,"DINOPHYCEAE","Gymnodiniales (small)",686.00,"0.3431"
"ALS MELB","20-54272"," 6781626","1.8km West of Salt Creek",18/11/2020 0:00:00,"DINOPHYCEAE","Peridiniales",49.00,"0.2451"
"ALS MELB","20-54272"," 6781626","1.8km West of Salt Creek",18/11/2020 0:00:00,"OTHER PHYTOPLANKTON","Other small flagellates",147.00,"0.0117"
"ALS MELB","20-54272"," 6781626","1.8km West of Salt Creek",,"TOTAL_ALGAE",,806455.00,"13.359"
"ALS MELB","20-54272"," 6781626","1.8km West of Salt Creek",,"TOTAL_POTENTIALLY_TOXIC_BGA",,0.00,"0.0000"
"ALS MELB","20-54272"," 6781626","1.8km West of Salt Creek",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
