X,Y,Zorig,ID,pc0,pc10,pc25,pc33,pc37,pc50,pc50_parpc25,pc50_parpc37,Z,Parnka
300608.8612,6066204.28,-5.0274,1,-5.0274,-5.0274,-5.0274,-5.0274,-5.0274,-5.0274,-5.0274,-5.0274,-5.0274,0
299969.5835,6066034.168,-5.028,2,-5.028,-5.028,-5.028,-5.028,-5.028,-5.028,-5.028,-5.028,-5.028,0
300650.9167,6066579.168,-5.006,3,-5.006,-5.006,-5.006,-5.006,-5.006,-5.006,-5.006,-5.006,-5.006,0
299330.3055,6065864.055,-5.0381,4,-5.0381,-5.0381,-5.0381,-5.0381,-5.0381,-5.0381,-5.0381,-5.0381,-5.0381,0
300029.7503,6066745.5,-5,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
300692.9722,6066954.055,-4.9561,6,-4.9561,-4.9561,-4.9561,-4.9561,-4.9561,-4.9561,-4.9561,-4.9561,-4.9561,0
299408.5835,6066911.832,-5,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
300089.9167,6067456.832,-4.963,8,-4.963,-4.963,-4.963,-4.963,-4.963,-4.963,-4.963,-4.963,-4.963,0
299486.8612,6067959.61,-4.9725,9,-4.9725,-4.9725,-4.9725,-4.9725,-4.9725,-4.9725,-4.9725,-4.9725,-4.9725,0
310854.375,6065350.207,-4.9578,10,-4.9578,-4.9578,-4.9578,-4.9578,-4.9578,-4.9578,-4.9578,-4.9578,-4.9578,0
310473.1667,6065143.777,-4.907,11,-4.907,-4.907,-4.907,-4.907,-4.907,-4.907,-4.907,-4.907,-4.907,0
310638.1667,6065564.777,-5,12,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
310339.625,6065655.375,-5,13,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
310241.125,6065195.75,-4.9039,14,-4.9039,-4.9039,-4.9039,-4.9039,-4.9039,-4.9039,-4.9039,-4.9039,-4.9039,0
310014.375,6065848.293,-4.9369,15,-4.9369,-4.9369,-4.9369,-4.9369,-4.9369,-4.9369,-4.9369,-4.9369,-4.9369,0
310073.5,6065382.223,-4.8505,16,-4.8505,-4.8505,-4.8505,-4.8505,-4.8505,-4.8505,-4.8505,-4.8505,-4.8505,0
314926.028,6064730.305,-4.9233,17,-4.9233,-4.9233,-4.9233,-4.9233,-4.9233,-4.9233,-4.9233,-4.9233,-4.9233,0
316315.4167,6064114.918,-5,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
315129.4167,6063952.582,-4.853,19,-4.853,-4.853,-4.853,-4.853,-4.853,-4.853,-4.853,-4.853,-4.853,0
317704.8055,6063499.53,-5,20,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
316148.25,6063489.75,-5,21,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
315332.8055,6063174.86,-4.5764,22,-4.5764,-4.5764,-4.5764,-4.5764,-4.5764,-4.5764,-4.5764,-4.5764,-4.5764,0
317167.0833,6063026.918,-4.9707,23,-4.9707,-4.9707,-4.9707,-4.9707,-4.9707,-4.9707,-4.9707,-4.9707,-4.9707,0
315981.0833,6062864.582,-4.7681,24,-4.7681,-4.7681,-4.7681,-4.7681,-4.7681,-4.7681,-4.7681,-4.7681,-4.7681,0
316629.361,6062554.305,-4.6222,25,-4.6222,-4.6222,-4.6222,-4.6222,-4.6222,-4.6222,-4.6222,-4.6222,-4.6222,0
319513.5558,6062402.503,-5,26,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
321041.6667,6061418.835,-5,27,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
319371,6061746.835,-4.8955,28,-4.8955,-4.8955,-4.8955,-4.8955,-4.8955,-4.8955,-4.8955,-4.8955,-4.8955,0
322569.7778,6060435.168,-4.9371,29,-4.9371,-4.9371,-4.9371,-4.9371,-4.9371,-4.9371,-4.9371,-4.9371,-4.9371,0
320496,6061010.503,-5,30,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
319228.4443,6061091.168,-4.6436,31,-4.6436,-4.6436,-4.6436,-4.6436,-4.6436,-4.6436,-4.6436,-4.6436,-4.6436,0
321621,6060274.168,-4.9249,32,-4.9249,-4.9249,-4.9249,-4.9249,-4.9249,-4.9249,-4.9249,-4.9249,-4.9249,0
319950.3333,6060602.168,-4.7286,33,-4.7286,-4.7286,-4.7286,-4.7286,-4.7286,-4.7286,-4.7286,-4.7286,-4.7286,0
320672.2222,6060113.165,-4.5868,34,-4.5868,-4.5868,-4.5868,-4.5868,-4.5868,-4.5868,-4.5868,-4.5868,-4.5868,0
300756.291,6062565.195,-17.6857,35,-17.6857,-17.6857,-17.6857,-17.6857,-17.6857,-17.6857,-17.6857,-17.6857,-17.6857,0
300968.5185,6062924.235,-15.5463,36,-15.5463,-15.5463,-15.5463,-15.5463,-15.5463,-15.5463,-15.5463,-15.5463,-15.5463,0
301181.343,6062325.54,-19.0738,37,-19.0738,-19.0738,-19.0738,-19.0738,-19.0738,-19.0738,-19.0738,-19.0738,-19.0738,0
302051.3357,6064820.07,-4.4295,38,-4.4295,-4.4295,-4.4295,-4.4295,-4.4295,-4.4295,-4.4295,-4.4295,-4.4295,0
302149.014,6064995.122,-3.4163,39,-3.4163,-3.4163,-3.4163,-3.4163,-3.4163,-3.4163,-3.4163,-3.4163,-3.4163,0
302238.5393,6065159.065,-1.9823,40,-1.9823,-1.9823,-1.9823,-1.9823,-1.9823,-1.9823,-1.9823,-1.9823,-1.9823,0
301379.2388,6063649.032,-13.7107,41,-13.7107,-13.7107,-13.7107,-13.7107,-13.7107,-13.7107,-13.7107,-13.7107,-13.7107,0
301173.95,6063286.68,-14.4428,42,-14.4428,-14.4428,-14.4428,-14.4428,-14.4428,-14.4428,-14.4428,-14.4428,-14.4428,0
301402.9645,6062690.558,-16.7305,43,-16.7305,-16.7305,-16.7305,-16.7305,-16.7305,-16.7305,-16.7305,-16.7305,-16.7305,0
301606.395,6062085.885,-19.6735,44,-19.6735,-19.6735,-19.6735,-19.6735,-19.6735,-19.6735,-19.6735,-19.6735,-19.6735,0
301935.0225,6064615.53,-5.6281,45,-5.6281,-5.6281,-5.6281,-5.6281,-5.6281,-5.6281,-5.6281,-5.6281,-5.6281,0
302477.695,6064634.378,-3.8442,46,-3.8442,-3.8442,-3.8442,-3.8442,-3.8442,-3.8442,-3.8442,-3.8442,-3.8442,0
302574.7975,6064813.975,-3.0473,47,-3.0473,-3.0473,-3.0473,-3.0473,-3.0473,-3.0473,-3.0473,-3.0473,-3.0473,0
302663.5365,6064981.395,-1.9666,48,-1.9666,-1.9666,-1.9666,-1.9666,-1.9666,-1.9666,-1.9666,-1.9666,-1.9666,0
313396.537,6055342.883,-27.4258,49,-27.4258,-27.4258,-27.4258,-27.4258,-27.4258,-27.4258,-27.4258,-27.4258,-27.4258,0
301812.9965,6064401.563,-7.7281,50,-7.7281,-7.7281,-7.7281,-7.7281,-7.7281,-7.7281,-7.7281,-7.7281,-7.7281,0
301555.5645,6063951.468,-12.6162,51,-12.6162,-12.6162,-12.6162,-12.6162,-12.6162,-12.6162,-12.6162,-12.6162,-12.6162,0
301805.0043,6063440.75,-13.7286,52,-13.7286,-13.7286,-13.7286,-13.7286,-13.7286,-13.7286,-13.7286,-13.7286,-13.7286,0
301604.198,6063065.79,-14.725,53,-14.725,-14.725,-14.725,-14.725,-14.725,-14.725,-14.725,-14.725,-14.725,0
301837.4105,6062456.88,-17.5555,54,-17.5555,-17.5555,-17.5555,-17.5555,-17.5555,-17.5555,-17.5555,-17.5555,-17.5555,0
302031.4468,6061846.228,-20.6775,55,-20.6775,-20.6775,-20.6775,-20.6775,-20.6775,-20.6775,-20.6775,-20.6775,-20.6775,0
302361.9868,6064424.133,-5.0782,56,-5.0782,-5.0782,-5.0782,-5.0782,-5.0782,-5.0782,-5.0782,-5.0782,-5.0782,0
301462.1543,6066638.162,-2.108,57,-6.399954319,-4.708222485,-3.110685825,-2.609603405,-2.520406246,-1.897311449,-1.897311449,-1.897311449,-2.108,0
301394.5755,6066245.25,-4.2943,58,-9.356863976,-6.66604805,-4.45227623,-3.56642127,-3.366211653,-2.702917814,-2.702917814,-2.702917814,-4.2943,0
302904.0543,6064448.683,-3.7083,59,-3.7083,-3.7083,-3.7083,-3.7083,-3.7083,-3.7083,-3.7083,-3.7083,-3.7083,0
303000.5807,6064632.827,-2.8637,60,-2.8637,-2.8637,-2.8637,-2.8637,-2.8637,-2.8637,-2.8637,-2.8637,-2.8637,0
303088.5335,6064803.725,-1.3796,61,-1.3796,-1.3796,-1.3796,-1.3796,-1.3796,-1.3796,-1.3796,-1.3796,-1.3796,0
312970.85,6055588.348,-27.4304,62,-27.4304,-27.4304,-27.4304,-27.4304,-27.4304,-27.4304,-27.4304,-27.4304,-27.4304,0
313667.9655,6055815.997,-23.7473,63,-23.7473,-23.7473,-23.7473,-23.7473,-23.7473,-23.7473,-23.7473,-23.7473,-23.7473,0
301690.1435,6064186.765,-10.4665,64,-10.4665,-10.4665,-10.4665,-10.4665,-10.4665,-10.4665,-10.4665,-10.4665,-10.4665,0
