Variable,River,Coorong,Lakes
nWL, 0.3614, 0.3288, 0.3288, 0.4341, 0.3000, 0.4000, 0.4000, 0.4000, 0.4000, 0.1267,-0.0748, 0.4218,
nU, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
nV, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
nSAL,30.0000,34.0000,36.2800,35.0000,32.0000,24.0000,52.0000,80.0000,90.0000,100.0000,100.0000,100.0000,
nTEMP,21.6215,21.0521,20.6200,20.8640,21.3652,21.0391,20.0921,19.1450,20.2237,20.5768,20.9298,20.8299,
nTRACE_1, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
nWQ_NCS_SS1,15.1931,12.9127,10.6324,14.8462,12.7504,13.7908,16.3348,18.8788,21.8523,21.3585,20.8647,15.8942,
nWQ_TRC_RET, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
nWQ_OXY_OXY,249.1116,159.9330,228.3750,206.9847,244.0391,221.9531,207.7343,193.5156,226.0156,193.1641,160.3125,158.5521,
nWQ_SIL_RSI,68.2088,47.4718,26.7349,103.2028,152.9359,152.9359,152.9359,152.9359,128.5714,128.5714,128.5714,128.5714,
nWQ_NIT_AMM, 1.2024, 0.7798, 0.3571, 1.5714, 0.3929, 0.8000, 0.3929, 0.3929, 0.3571, 0.3571, 0.3571, 0.3571,
nWQ_NIT_NIT, 0.2738, 0.2441, 0.2143, 1.2500, 0.2143, 0.2143, 0.2143, 0.2143, 0.2143, 0.2143, 0.2143, 0.2143,
nWQ_PHS_FRP, 0.1828, 0.3092, 0.4355, 0.4355, 0.1452, 0.1452, 0.1452, 0.1452, 0.1613, 0.1613, 0.1613, 0.1613,
nWQ_PHS_FRP_ADS, 0.0183, 0.0309, 0.0435, 0.0435, 0.0145, 0.0145, 0.0145, 0.0145, 0.0161, 0.0161, 0.0161, 0.0161,
nWQ_OGM_DOC,716.6667,716.6667,716.6667,716.6667,716.6667,716.6667,716.6667,716.6667,716.6667,716.6667,716.6667,716.6667,
nWQ_OGM_POC,718.1171,718.1171,718.1171,718.1171,718.1171,718.1171,718.1171,718.1171,718.1171,718.1171,718.1171,718.1171,
nWQ_OGM_DON,50.1797,27.3452,15.7857,35.3750,19.6964,33.0643,33.2679,33.2679,139.0000,137.9286,136.8571,60.2083,
nWQ_OGM_PON,50.1797,27.3452,15.7857,35.3750,19.6964,33.0643,33.2679,33.2679,139.0000,137.9286,136.8571,60.2083,
nWQ_OGM_DOP, 0.8724, 0.6201, 0.3677, 0.9594, 1.1192, 1.1192, 1.1192, 1.1192, 3.8888, 3.8888, 3.8888, 3.8888,
nWQ_OGM_POP, 1.0905, 0.7750, 0.4596, 1.1992, 1.3990, 1.3990, 1.3990, 1.3990, 4.8610, 4.8610, 4.8610, 4.8610,
nWQ_PHY_GRN,24.2292,24.2292,24.2292,58.5730,92.9167,92.9167,92.9167,92.9167,112.6482,112.6482,112.6482,112.6482,
