CPS,Indicator,Start Time,End Time,Zone,Var,Trigger,Percentage Months
Surface water regime,Salinity,01-01-2020,01-01-2021,site_id,SAL,35.0000,100.0000
Surface water regime,Salinity,01-01-2020,01-01-2021,site_id_cnl,SAL,45.0000,100.0000
Surface water regime,Salinity,01-01-2020,01-01-2021,site_id_csl,SAL,60.0000,0.0000
Surface water regime,Salinity,01-01-2020,01-01-2021,site_id_csl,SAL,100.0000,0.0000
