export,basecase,no eWater,no SE, designed, no barrage
CPS TN apr-sep:CNL,  1.75,  1.69,  1.75,  1.91,  1.74
CPS TN apr-sep:CSL,  4.94,  5.09,  4.94,  4.42,  5.20
CPS TN oct-mar:CNL,  2.76,  2.83,  2.76,  2.84,  2.88
CPS TN oct-mar:CSL,  6.63,  7.50,  6.64,  6.44,  7.90
CPS TP apr-sep:CNL,  0.09,  0.09,  0.09,  0.09,  0.09
CPS TP apr-sep:CSL,  0.23,  0.24,  0.23,  0.21,  0.25
CPS TP oct-mar:CNL,  0.14,  0.15,  0.14,  0.14,  0.15
CPS TP oct-mar:CSL,  0.28,  0.32,  0.28,  0.27,  0.33
