Variable,Site
FLOW,Well
SAL,EPA2014_Meningie
TEMP,EPA2014_Meningie
TRACE_1,No Site
WQ_TRC_AGE,No Site
WQ_NCS_SS1,EPA_Meningie
WQ_OXY_OXY,EPA2014_Meningie
WQ_SIL_RSI,EPA_Meningie
WQ_NIT_AMM,EPA_Meningie
WQ_NIT_NIT,EPA_Meningie
WQ_PHS_FRP,EPA_Meningie
WQ_PHS_FRP_ADS,EPA_Meningie
WQ_OGM_DOC,EPA_Meningie
WQ_OGM_POC,EPA_Meningie
WQ_OGM_DON,EPA2014_Meningie
WQ_OGM_PON,EPA2014_Meningie
WQ_OGM_DOP,EPA_Meningie
WQ_OGM_POP,EPA_Meningie
WQ_PHY_GRN,EPA_Meningie
