X,Y,ID,Comment
370430,6008906,1,Policeman Pt pump zone
370196,6009348,1,Policeman Pt pump zone
369754,6009114,1,Policeman Pt pump zone
369988,6008672,1,Policeman Pt pump zone
368625,6005720,2,Dummy offshore - Policeman Pt
368751,6005556,2,Dummy offshore - Policeman Pt
368919,6005666,2,Dummy offshore - Policeman Pt
368793,6005834,2,Dummy offshore - Policeman Pt
362638,6019615,3,Round Is pump zone
362323,6020003,3,Round Is pump zone
361935,6019687,3,Round Is pump zone
362251,6019299,3,Round Is pump zone
358391,6017928,4,Dummy offshore - Round Is
358530,6017776,4,Dummy offshore - Round Is
358685,6017900,4,Dummy offshore - Round Is
358547,6018054,4,Dummy offshore - Round Is
