Site,WQ_DIAG_HAB_BMIi_HSI_IND,WQ_DIAG_NCS_SED_d50,WQ_DIAG_SDG_OPD,WQ_DIAG_SDG_TN,WQ_DIAG_SDG_TOC,WQ_DIAG_SDG_TP,
Hunters_Creek,x,x,x,x,x,x,
Pelican_Point,x,x,x,x,x,x,
Long_Point,x,x,x,x,x,x,
Noonameena,x,x,x,x,x,x,
Hells_Gate,x,x,x,x,x,x,
Jack_Point,x,x,x,x,x,x,
Salt_Creek,x,x,x,x,x,x,
