X,Y,Label,Description,Name,Longitude,Latitude
321234,6058552,A4261134,The Coorong at Pelican Point,Pelican Pt,139.026552860773,-35.6006431279391
345913,6038164,A4260572,The Coorong at Robs Point,Robs Pt,139.295051385907,-35.7861535669673
355214,6025721,A4260633,Coorong at Parnka Point,Parnka Pt,139.39559145578,-35.902100760921
312929,6062353,A4261043,Coorong Channel near Beacon 1 (Ewe Island Shacks),Beacon 1,138.935803226994,-35.5648575109674
333682,6048236,A4261135,The Coorong at Long Point,Long Pt,139.161775016742,-35.6957808650597
367468,6013904,A4261209,Coorong near Woods Well,Woods Well,139.529365616677,-36.010345065785
374735,6003080,A4261165,The Coorong NW Snipe Island,Snipe Is,139.608264317635,-36.1088653656255
