ISOTIME,Goolwa_m3_s,sal,temp,trace_1,trace_2,trace_3,trace_4,trace_5,ss1,ret,oxy,rsi,amm,nit,frp,frp_ads,doc,poc,don,pon,dop,pop,grn,mag_ulva,mag_ulva_in,mag_ulva_ip
01/01/2013 00:00,12.22,0.3622,26.4952,0,0,100,0,0,0.9418,20914130,210.1443,174.8528,2.4012,0,0.0137,0.0009,558.3937,108.8146,52.7987,65.7208,1.4854,2.6969,242.7519,0,0,0
02/01/2013 00:00,12.57,0.3622,26.4952,0,0,100,0,0,0.9418,20914130,210.1443,174.8528,2.4012,0,0.0137,0.0009,558.3937,108.8146,52.7987,65.7208,1.4854,2.6969,242.7519,0,0,0
03/01/2013 00:00,10.43,0.3623,26.3545,0,0,100,0,0,3.1025,20722402,212.0839,172.0617,2.4012,0,0.0116,0.0009,565.8395,106.5313,53.6762,66.0701,1.4864,2.6931,252.9591,0,0,0
04/01/2013 00:00,7.96,0.3474,24.7613,0,0,100,0,0,3.3169,20129708,228.8627,165.2692,2.4012,0,0.0115,0.0009,562.61,104.2301,54.1259,66.9557,1.5026,2.7235,259.0943,0,0,0
05/01/2013 00:00,10.19,0.3362,23.1805,0,0,100,0,0,6.7111,19554120,243.9803,158.6403,2.4012,0,0.01,0.0009,561.9959,101.7382,54.8102,67.8906,1.5232,2.7517,265.2534,0,0,0
06/01/2013 00:00,11.25,0.3326,22.6591,0,0,100,0,0,6.8955,19488838,253.4508,156.8851,2.4012,0,0.0116,0.0009,561.7599,101.539,55.0845,68.4152,1.5366,2.7769,267.7901,0,0,0
07/01/2013 00:00,5.47,0.3335,22.3202,0,0,100,0,0,6.4856,19637606,260.3032,157.345,2.4012,0,0.0109,0.0009,563.2741,102.0642,55.1572,68.627,1.543,2.7923,268.0567,0,0,0
08/01/2013 00:00,6.89,0.3346,24.3147,0,0,100,0,0,6.3365,19791974,251.4709,157.8722,2.4012,0,0.0118,0.0009,564.6268,102.5344,55.1819,68.7508,1.5464,2.8037,268.236,0,0,0
09/01/2013 00:00,11.04,0.3353,23.8842,0,0,100,0,0,5.7789,19921572,241.1374,158.2076,2.4012,0,0.0117,0.0009,565.1329,102.842,55.1081,68.7448,1.5464,2.8097,268.3382,0,0,0
10/01/2013 00:00,8.94,0.3367,25.081,0,0,100,0,0,4.8205,20087400,237.5913,158.8333,2.4012,0,0.0127,0.0009,566.637,103.1887,55.1326,68.7599,1.5466,2.8142,269.2178,0,0,0
11/01/2013 00:00,0,0.3372,24.9283,0,0,100,0,0,4.7625,20205594,238.8625,159.0755,2.4012,0,0.0124,0.0009,566.7319,103.6612,55.0125,68.858,1.5496,2.8284,268.4543,0,0,0
