ISOTIME,Mundoo_m3_s,sal,temp,trace_1,trace_2,trace_3,trace_4,trace_5,ss1,ret,oxy,rsi,amm,nit,frp,frp_ads,doc,poc,don,pon,dop,pop,grn,mag_ulva,mag_ulva_in,mag_ulva_ip
01/01/2013 00:00,11.54,0.7474,16.2558,0,0,100,0,0,0,14235466,197.9788,133.3181,1.8701,0,0.0124,0,420.1095,4.693,40.0919,2.7916,1.0935,0.0212,170.1922,0,0,0
02/01/2013 00:00,12.11,0.7474,16.2558,0,0,100,0,0,0,14235466,197.9788,133.3181,1.8701,0,0.0124,0,420.1095,4.693,40.0919,2.7916,1.0935,0.0212,170.1922,0,0,0
03/01/2013 00:00,10.04,0.7474,16.2558,0,0,100,0,0,0,14235466,197.9788,133.3181,1.8701,0,0.0124,0,420.1095,4.1404,40.0919,2.463,1.0935,0.0174,170.1922,0,0,0
04/01/2013 00:00,7.33,1.7066,13.8917,0,0,100,0,0,7.1293,20349806,493.7767,171.2083,1.8701,0,0.0518,0.0169,570.1833,97.7822,51.759,59.7104,1.4223,2.4118,240.1458,0,0,0
05/01/2013 00:00,9.57,3.6368,14.1155,0,0,100,0,0,6.6287,19750792,497.9449,167.1002,1.8701,0,0.0407,0.0134,598.1516,96.5691,51.4046,60.7194,1.3925,2.4304,245.413,0,0,0
06/01/2013 00:00,10.76,4.4065,14.6043,0,0,100,0,0,10.473,19101952,432.7877,161.4317,1.8701,0,0.0262,0.014,603.9714,94.0315,51.1381,60.901,1.3822,2.4325,245.7012,0,0,0
07/01/2013 00:00,5.5,3.3955,18.3212,0,0,100,0,0,10.8873,20425516,81.4286,170.4896,1.8701,0,0.0276,0.0097,602.6895,99.6951,52.3151,62.2162,1.4224,2.4961,249.9889,0,0,0
08/01/2013 00:00,6.53,3.3082,18.2913,0,0,100,0,0,0.0617,20435848,129.7777,170.4471,1.8701,0,0.0244,0.0072,600.468,88.6224,52.2292,55.21,1.4244,2.0639,248.7942,0,0,0
09/01/2013 00:00,10.92,3.2726,18.2915,0,0,100,0,0,0.0004,20216198,128.386,168.6152,1.8701,0,0.0241,0.0056,594.0141,77.3361,51.6679,48.1789,1.4091,1.6704,246.1201,0,0,0
10/01/2013 00:00,0,3.2546,18.2627,0,0,100,0,0,0,20105078,127.6583,167.7626,1.8701,0,0.024,0.0043,590.9209,67.6753,51.4054,42.1606,1.4019,1.3557,244.7697,0,0,0
11/01/2013 00:00,0,3.2511,18.2626,0,0,100,0,0,0,20083650,127.5222,167.5839,1.8701,0,0.0239,0.0033,590.291,59.6473,51.3506,37.1593,1.4004,1.1083,244.5087,0,0,0
12/01/2013 00:00,0,3.1783,18.204,0,0,100,0,0,0,19633818,124.6248,163.9743,1.8701,0,0.0234,0.0025,577.4026,51.1611,50.2422,31.873,1.3701,0.8816,239.0371,0,0,0
13/01/2013 00:00,0,2.8565,17.8189,0,0,100,0,0,0,17644108,111.7872,148.1662,1.8701,0.0001,0.0207,0.0017,520.7699,39.186,45.385,24.4147,1.2373,0.6258,214.8408,0,0,0
14/01/2013 00:00,0,1.9226,16.2619,0,0,100,0,0,0,11868136,77.2521,101.3843,1.8701,0.0003,0.0134,0.0008,354.3258,20.6778,31.0262,12.8873,0.845,0.3055,144.5711,0,0,0
15/01/2013 00:00,0,1.7063,15.6234,0,0,100,0,0,0,10529931,96.2817,90.3497,1.8701,0.0003,0.012,0.0005,315.3118,15.6621,27.6426,9.7622,0.7526,0.2145,128.2829,0,0,0
