"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS MELB","21-35420"," 7086215","1.8km W of Salt Ck",13/7/2021 0:00:00,"BACILLARIOPHYCEAE","Amphora",2.00,"0.0009"
"ALS MELB","21-35420"," 7086215","1.8km W of Salt Ck",13/7/2021 0:00:00,"BACILLARIOPHYCEAE","Nitzschia",98.00,"0.0390"
"ALS MELB","21-35420"," 7086215","1.8km W of Salt Ck",13/7/2021 0:00:00,"BACILLARIOPHYCEAE","Pennales",49.00,"0.0146"
"ALS MELB","21-35420"," 7086215","1.8km W of Salt Ck",13/7/2021 0:00:00,"BACILLARIOPHYCEAE","Pennales (small <20um)",49.00,"0.0122"
"ALS MELB","21-35420"," 7086215","1.8km W of Salt Ck",13/7/2021 0:00:00,"CHLOROPHYCEAE","Ankistrodesmoideae",2148.00,"0.2835"
"ALS MELB","21-35420"," 7086215","1.8km W of Salt Ck",13/7/2021 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",1465.00,"0.0878"
"ALS MELB","21-35420"," 7086215","1.8km W of Salt Ck",13/7/2021 0:00:00,"CYANOPHYCEAE","Limnothrix/Geitlerinema/Anagnostidinema",76.00,"0.0013"
"ALS MELB","21-35420"," 7086215","1.8km W of Salt Ck",13/7/2021 0:00:00,"CYANOPHYCEAE","Planktolyngbya",244.00,"0.0009"
"ALS MELB","21-35420"," 7086215","1.8km W of Salt Ck",13/7/2021 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",1167741.00,"6.1306"
"ALS MELB","21-35420"," 7086215","1.8km W of Salt Ck",13/7/2021 0:00:00,"DINOPHYCEAE","Gymnodiniales (small)",342.00,"0.1708"
"ALS MELB","21-35420"," 7086215","1.8km W of Salt Ck",13/7/2021 0:00:00,"DINOPHYCEAE","Peridiniales",49.00,"0.2440"
"ALS MELB","21-35420"," 7086215","1.8km W of Salt Ck",13/7/2021 0:00:00,"OTHER PHYTOPLANKTON","Other small flagellates",1465.00,"0.1171"
"ALS MELB","21-35420"," 7086215","1.8km W of Salt Ck",13/7/2021 0:00:00,"OTHER PHYTOPLANKTON","Prasinophytes",244.00,"0.0244"
"ALS MELB","21-35420"," 7086215","1.8km W of Salt Ck",13/7/2021 0:00:00,"OTHER PHYTOPLANKTON","Raphidophytes",2734.00,"19.136"
"ALS MELB","21-35420"," 7086215","1.8km W of Salt Ck",,"TOTAL_ALGAE",,1176706.00,"26.264"
"ALS MELB","21-35420"," 7086215","1.8km W of Salt Ck",,"TOTAL_POTENTIALLY_TOXIC_BGA",,76.00,"0.0013"
"ALS MELB","21-35420"," 7086215","1.8km W of Salt Ck",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
