Variable,Site
H,A4261039
SAL,A4261039
TEMP,A4261039
TRACE_1,No Site
TRACE_2,No Site
TRACE_3,No Site
TRACE_4,No Site
TRACE_5,No Site
WQ_NCS_SS1,EPA2014_Coorong_Murray_Mouth
WQ_TRC_RET,No Site
WQ_OXY_OXY,EPA2014_Coorong_Boundary_Creek_1
WQ_SIL_RSI,EPA2014_Coorong_Murray_Mouth
WQ_NIT_AMM,EPA2014_Coorong_Murray_Mouth
WQ_NIT_NIT,EPA2014_Coorong_Murray_Mouth
WQ_PHS_FRP,EPA2014_Coorong_Murray_Mouth
WQ_PHS_FRP_ADS,EPA2014_Coorong_Murray_Mouth
WQ_OGM_DOC,ALS_Murray_Mouth
WQ_OGM_POC,ALS_Murray_Mouth
WQ_OGM_DON,EPA2014_Coorong_Murray_Mouth
WQ_OGM_PON,EPA2014_Coorong_Murray_Mouth
WQ_OGM_DOP,EPA2014_Coorong_Murray_Mouth
WQ_OGM_POP,EPA2014_Coorong_Murray_Mouth
WQ_PHY_GRN,EPA2014_Coorong_Murray_Mouth
mag_ulva,No Site
mag_ulva_in,No Site
mag_ulva_ip,No Site
WQ_DIAG_TOT_TN,EPA2014_Coorong_Murray_Mouth
WQ_DIAG_TOT_TP,EPA2014_Coorong_Murray_Mouth
WQ_DIAG_TOT_TOC,ALS_Murray_Mouth
