TIME,Goolwa_Flow_m3_s,Mundoo_Flow_m3_s,BoundaryCk_Flow_m3_s,EweIsland_Flow_m3_s,Tauwitchere_Flow_m3_s,Mundoo_Boundary_Flow_m3_s,Goolwa_sal,LakeAlex_sal,temp,trace_1,trace_2,trace_3,trace_4,trace_5
01/01/1990 00:00,34.51388889,0,0,0,34.0625,0,0.308854464,0.3025,22.19,0,0,100,0,0
02/01/1990 00:00,12.73148148,0,0,0,4.421296296,0,0.31191875,0.299277344,22.19,0,0,100,0,0
03/01/1990 00:00,13.58796296,6.69212963,0.136574074,0,0,6.828703704,0.316103292,0.290382813,22.19,0,0,100,0,0
04/01/1990 00:00,0,0,0,0,0,0,0.3245,0.300265625,22.19,0,0,100,0,0
05/01/1990 00:00,0,0,0,0,0,0,0.337775911,0.298460938,22.19,0,0,100,0,0
06/01/1990 00:00,0,0,0,0,0,0,0.36788125,0.299964844,22.19,0,0,100,0,0
07/01/1990 00:00,0,0,0,0,0,0,0.399597917,0.293347656,22.19,0,0,100,0,0
08/01/1990 00:00,16.09953704,7.9625,0.1625,0,0,8.125,0.425657031,0.2976875,22.19,0,0,100,0,0
09/01/1990 00:00,0,0,0,0,0,0,0.43044375,0.302113281,22.19,0,0,100,0,0
10/01/1990 00:00,0,0,0,0,0,0,0.431840234,0.3025,22.19,0,0,100,0,0
11/01/1990 00:00,0,0,0,0,0,0,0.4281475,0.3025,22.19,0,0,100,0,0
12/01/1990 00:00,0,0,0,0,0,0,0.4239675,0.3025,22.19,0,0,100,0,0
13/01/1990 00:00,0,0,0,0,0,0,0.4197875,0.3025,22.19,0,0,100,0,0
14/01/1990 00:00,0,0,0,0,0,0,0.4156075,0.304648438,22.19,0,0,100,0,0
15/01/1990 00:00,0,0,0,0,0,0,0.413747813,0.315949219,22.19,0,0,100,0,0
16/01/1990 00:00,0,0,0,0,0,0,0.4206125,0.321964844,22.19,0,0,100,0,0
17/01/1990 00:00,0,0,0,0,0,0,0.424982422,0.29555625,22.19,0,0,100,0,0
18/01/1990 00:00,0,0,0,0,0,0,0.418925977,0.287155859,22.19,0,0,100,0,0
19/01/1990 00:00,0,0,0,0,0,0,0.419546875,0.28909375,22.19,0,0,100,0,0
20/01/1990 00:00,0,0,0,0,0,0,0.420921875,0.291306641,22.19,0,0,100,0,0
21/01/1990 00:00,0,0,0,0,0,0,0.422296875,0.292574219,22.19,0,0,100,0,0
22/01/1990 00:00,0,0,0,0,0,0,0.427270508,0.296613281,22.19,0,0,100,0,0
23/01/1990 00:00,0,0,0,0,0,0,0.445775,0.297,22.19,0,0,100,0,0
24/01/1990 00:00,0,0,0,0,0,0,0.461976367,0.300222656,22.19,0,0,100,0,0
25/01/1990 00:00,0,0,0,0,0,0,0.464646875,0.312339844,22.19,0,0,100,0,0
26/01/1990 00:00,0,0,0,0,0,0,0.46525918,0.311351563,22.19,0,0,100,0,0
27/01/1990 00:00,0,0,0,0,0,0,0.46300375,0.302199219,22.19,0,0,100,0,0
28/01/1990 00:00,0,0,0,0,0,0,0.46047375,0.299535156,22.19,0,0,100,0,0
29/01/1990 00:00,0,0,0,0,0,0,0.45794375,0.308300781,22.19,0,0,100,0,0
30/01/1990 00:00,0,0,0,0,0,0,0.45541375,0.310964844,22.19,0,0,100,0,0
31/01/1990 00:00,0,0,0,0,0,0,0.464012656,0.305421875,22.19,0,0,100,0,0
01/02/1990 00:00,0,0,0,0,0,0,0.51445625,0.311652344,21.5,0,0,100,0,0
02/02/1990 00:00,0,0,0,0,0,0,0.560026042,0.308386719,21.5,0,0,100,0,0
03/02/1990 00:00,0,0,0,0,0,0,0.57220625,0.308,21.5,0,0,100,0,0
04/02/1990 00:00,0,0,0,0,0,0,0.581189583,0.309074219,21.5,0,0,100,0,0
05/02/1990 00:00,0,0,0,0,0,0,0.588172824,0.313113281,21.5,0,0,100,0,0
06/02/1990 00:00,0,0,0,0,0,0,0.587635714,0.312425781,21.5,0,0,100,0,0
07/02/1990 00:00,0,0,0,0,0,0,0.586378571,0.309460938,21.5,0,0,100,0,0
08/02/1990 00:00,0,0,0,0,0,0,0.585121429,0.313865234,21.5,0,0,100,0,0
09/02/1990 00:00,0,0,0,0,0,0,0.583864286,0.31783125,21.5,0,0,100,0,0
10/02/1990 00:00,0,0,0,0,0,0,0.582607143,0.321573828,21.5,0,0,100,0,0
11/02/1990 00:00,0,0,0,0,0,0,0.58135,0.321045313,21.5,0,0,100,0,0
12/02/1990 00:00,0,0,0,0,0,0,0.581842299,0.308085938,21.5,0,0,100,0,0
13/02/1990 00:00,0,0,0,0,0,0,0.5889125,0.303960938,21.5,0,0,100,0,0
14/02/1990 00:00,0,0,0,0,0,0,0.5966125,0.309761719,21.5,0,0,100,0,0
15/02/1990 00:00,0,0,0,0,0,0,0.6043125,0.317152344,21.5,0,0,100,0,0
16/02/1990 00:00,0,0,0,0,0,0,0.60891875,0.3128125,21.5,0,0,100,0,0
17/02/1990 00:00,0,0,0,0,0,0,0.6018925,0.308386719,21.5,0,0,100,0,0
18/02/1990 00:00,0,0,0,0,0,0,0.5937525,0.310148438,21.5,0,0,100,0,0
19/02/1990 00:00,0,0,0,0,0,0,0.5856125,0.318226563,21.5,0,0,100,0,0
20/02/1990 00:00,0,0,0,0,0,0,0.5774725,0.319429688,21.5,0,0,100,0,0
21/02/1990 00:00,0,0,0,0,0,0,0.570653789,0.320615625,21.5,0,0,100,0,0
22/02/1990 00:00,0,0,0,0,0,0,0.568803125,0.321303125,21.5,0,0,100,0,0
23/02/1990 00:00,0,0,0,0,0,0,0.566729883,0.328796875,21.5,0,0,100,0,0
24/02/1990 00:00,0,0,0,0,0,0,0.56203125,0.326235938,21.5,0,0,100,0,0
25/02/1990 00:00,0,0,0,0,0,0,0.55708125,0.319189063,21.5,0,0,100,0,0
26/02/1990 00:00,41.75925926,0,0,0,0,0,0.552936914,0.317169531,21.5,0,0,100,0,0
27/02/1990 00:00,42.53472222,0,0,0,0,0,0.551821875,0.317070703,21.5,0,0,100,0,0
28/02/1990 00:00,46.01851852,0,0,0,0,0,0.550996875,0.317435938,21.5,0,0,100,0,0
01/03/1990 00:00,43.93518519,0,0,0,0,0,0.550171875,0.326730078,20.08,0,0,100,0,0
02/03/1990 00:00,43.3912037,0,0,0,0,0,0.548777539,0.318699219,20.08,0,0,100,0,0
03/03/1990 00:00,45.75231481,0,0,0,0,0,0.5452425,0.314960938,20.08,0,0,100,0,0
04/03/1990 00:00,46.09953704,0,0,0,0,0,0.5415025,0.318613281,20.08,0,0,100,0,0
05/03/1990 00:00,45.86805556,0,0,0,0,0,0.5377625,0.319107422,20.08,0,0,100,0,0
06/03/1990 00:00,45.3125,0,0,0,0,0,0.5340225,0.321552344,20.08,0,0,100,0,0
