ID,X,Y
1,307698.691070753,6063647.67394209
1,307792.521530679,6063712.35319116
1,307833.515420938,6063637.65321336
1,307909.126374082,6063515.58251792
1,307974.716598496,6063450.90326884
1,308078.567787152,6063399.88864986
1,308180.59702513,6063398.97767452
1,308281.715287768,6063387.13499511
1,308406.518909223,6063327.01062273
1,308458.444503551,6063265.06429967
1,308541.798747078,6063115.66434406
1,308623.178205221,6063063.247161
1,308581.69331119,6062982.25284408
1,308485.773763724,6063024.56681015
1,308327.845269142,6063140.29053563
1,308187.586817895,6063234.12541498
1,308081.300713169,6063248.66674357
1,308017.532439433,6063190.36432187
1,307880.88613857,6063248.66674357
1,307903.660522047,6063306.96916527
1,307873.598335858,6063377.11426638
1,307775.212999236,6063493.71910978
1,307698.691070753,6063647.67394209
