time,Air Temperature_average_ºC,Apparent Temperature_average_ºC,Delta T_average_ºC,Dew Point_average_ºC,Rainfall_raw_mm,Relative Humidity_average_%,Soil Temperature_average_ºC,Solar Radiation_average_W/m^2,Voltage_average_V,Wind Direction_average_º,Wind Speed_average_km/h,Wind Speed_maximum_km/h,Wind Speed_minimum_km/h
2023-01-01 00:00:00,27.4,,7.471081,15.802658,0.0,49.2,27.4,794.0,13.79,307.971604,3.816,9.18,0.0
2023-01-01 00:15:00,28.4,,8.115524,15.764625,0.0,46.3,28.0,837.0,13.77,23.219046,4.14,10.836,0.0
2023-01-01 00:30:00,29.4,,8.543045,16.155711,0.0,44.8,28.4,882.0,13.75,152.943453,4.104,10.008,0.0
2023-01-01 00:45:00,30.0,,8.845492,16.307584,0.0,43.7,28.9,917.0,13.74,216.869898,3.348,10.836,0.0
2023-01-01 01:00:00,30.3,,8.783451,16.793114,0.0,44.3,29.4,951.0,13.72,284.489763,4.896,11.7,0.0
2023-01-01 01:15:00,30.9,,9.325203,16.493681,0.0,42.0,29.9,982.0,13.72,291.482831,4.428,11.7,0.0
2023-01-01 01:30:00,31.7,,9.991176,16.204568,0.0,39.4,30.6,1012.0,13.71,266.194086,6.228,13.356,0.0
2023-01-01 01:45:00,32.4,,10.228862,16.626462,0.0,38.9,31.1,1032.0,13.7,283.856352,5.688,10.836,0.0
2023-01-01 02:00:00,32.9,,10.198224,17.312927,0.0,39.5,31.8,1049.0,13.69,262.096511,7.272,20.916,0.0
2023-01-01 02:15:00,33.3,,10.596638,17.055795,0.0,38.0,32.4,1061.0,13.68,284.662239,5.04,10.836,0.0
2023-01-01 02:30:00,34.4,,11.474248,16.772326,0.0,35.1,32.9,1069.0,13.67,290.318093,5.076,10.008,0.0
2023-01-01 02:45:00,35.3,,12.124833,16.681628,0.0,33.2,33.5,1070.0,13.66,316.905419,3.924,9.18,0.0
2023-01-01 03:00:00,35.8,,12.138476,17.306413,0.0,33.6,34.1,1077.0,13.64,233.415864,8.28,15.876,2.448
2023-01-01 03:15:00,36.1,,12.812346,16.397553,0.0,31.2,34.6,1077.0,13.64,202.777677,8.208,15.876,0.792
2023-01-01 03:30:00,36.8,,14.469621,14.034592,0.0,25.8,35.1,1071.0,13.63,187.344299,10.944,20.088,2.448
2023-01-01 03:45:00,36.9,,14.467847,14.178756,0.0,25.9,35.4,1062.0,13.62,193.24052,12.456,21.78,4.14
2023-01-01 04:00:00,36.3,,13.880203,14.541676,0.0,27.4,35.8,1052.0,13.62,196.677062,15.228,22.608,6.66
2023-01-01 04:15:00,36.3,,13.852401,14.598147,0.0,27.5,36.2,1033.0,13.62,195.865708,16.236,23.436,9.18
2023-01-01 04:30:00,36.6,,14.270779,14.162047,0.0,26.3,36.3,1011.0,13.62,198.980606,17.568,26.784,8.316
2023-01-01 04:45:00,37.3,,15.025415,13.595321,0.0,24.4,36.8,980.0,13.61,201.972633,18.72,26.784,11.7
2023-01-01 05:00:00,36.9,,14.294187,14.533174,0.0,26.5,36.8,947.0,13.6,200.219174,20.844,28.476,10.008
2023-01-01 05:15:00,36.5,,13.303444,15.968672,0.0,29.7,37.1,910.0,13.61,200.542599,20.556,30.132,10.836
2023-01-01 05:30:00,36.6,,13.221172,16.264469,0.0,30.1,37.3,873.0,13.61,200.987847,20.808,31.824,10.836
2023-01-01 05:45:00,36.3,,13.334211,15.638176,0.0,29.4,37.3,831.0,13.6,202.761227,22.14,31.824,13.356
2023-01-01 06:00:00,36.0,,13.71886,14.455096,0.0,27.7,37.3,782.0,13.65,195.882051,22.428,33.48,10.836
2023-01-01 06:15:00,35.1,,11.862173,16.929037,0.0,34.1,37.3,735.0,13.65,194.983195,24.264,34.344,14.22
2023-01-01 06:30:00,34.2,,11.179078,17.083724,0.0,36.2,37.3,681.0,13.65,200.111065,21.816,36.0,12.528
2023-01-01 06:45:00,32.9,,10.32524,17.070805,0.0,38.9,37.3,631.0,13.65,202.142706,23.616,36.864,12.528
2023-01-01 07:00:00,31.3,,9.41564,16.815096,0.0,41.9,37.3,585.0,13.67,194.232269,24.876,36.0,15.048
2023-01-01 07:15:00,31.0,,9.226157,16.806963,0.0,42.6,37.3,535.0,13.67,189.538463,22.896,37.692,14.22
2023-01-01 07:30:00,30.5,,9.254446,16.134607,0.0,42.0,36.9,487.0,13.67,195.174788,23.328,41.04,13.356
2023-01-01 07:45:00,30.4,,9.371847,15.781575,0.0,41.3,36.8,438.0,13.69,199.48447,20.448,32.652,10.836
2023-01-01 08:00:00,30.5,,9.5264,15.603777,0.0,40.6,36.4,387.0,13.68,199.924231,18.648,33.48,10.836
2023-01-01 08:15:00,29.8,,9.225516,15.319232,0.0,41.5,36.2,336.0,13.68,205.134232,19.908,28.476,11.7
2023-01-01 08:30:00,28.0,,8.419832,14.67881,0.0,44.2,35.8,284.0,13.69,207.074334,25.056,36.864,15.048
2023-01-01 08:45:00,27.1,,7.576997,15.23982,0.0,48.3,35.4,225.0,13.68,205.546567,23.688,34.344,13.356
2023-01-01 09:00:00,26.4,,6.625812,16.224353,0.0,53.6,35.1,165.0,13.58,207.02669,21.132,30.96,11.7
2023-01-01 09:15:00,25.6,,6.494653,15.541694,0.0,53.8,34.7,116.0,13.46,203.228714,20.448,32.652,11.7
2023-01-01 09:30:00,25.0,,6.074046,15.638386,0.0,56.1,34.3,75.0,13.33,200.354961,19.188,33.48,10.836
2023-01-01 09:45:00,24.1,,5.47775,15.717022,0.0,59.5,33.9,41.0,13.17,202.628651,20.988,29.304,11.7
2023-01-01 10:00:00,22.8,,4.383643,16.231893,0.0,66.5,33.5,12.0,13.06,199.953799,19.908,30.96,11.7
2023-01-01 10:15:00,22.1,,3.757982,16.548509,0.0,70.8,33.1,0.0,13.03,200.168466,18.288,29.304,9.18
2023-01-01 10:30:00,21.4,,3.168728,16.78304,0.0,75.0,32.7,0.0,13.01,199.014406,15.696,26.784,7.488
2023-01-01 10:45:00,20.9,,2.861945,16.755325,0.0,77.2,32.4,0.0,12.99,193.616809,19.116,29.304,10.836
2023-01-01 11:00:00,20.5,,2.704447,16.590353,0.0,78.3,32.1,0.0,12.99,193.842303,16.308,27.612,9.18
2023-01-01 11:15:00,20.2,,2.566132,16.498702,0.0,79.3,31.8,0.0,12.97,193.785802,13.068,21.78,6.66
2023-01-01 11:30:00,19.9,,2.367523,16.501585,0.0,80.8,31.3,0.0,12.97,190.746681,9.216,17.568,4.14
2023-01-01 11:45:00,19.6,,2.233008,16.402531,0.0,81.8,31.0,0.0,12.97,197.20375,6.372,11.7,3.312
2023-01-01 12:00:00,19.4,,2.18918,16.264851,0.0,82.1,30.8,0.0,12.96,188.984709,5.184,10.008,0.792
2023-01-01 12:15:00,19.4,,2.16466,16.303071,0.0,82.3,30.5,0.0,12.95,209.660478,5.58,9.18,3.312
2023-01-01 12:30:00,19.5,,2.389272,16.053507,0.0,80.5,30.3,0.0,12.95,207.679417,8.604,14.22,4.14
2023-01-01 12:45:00,19.5,,2.401568,16.034018,0.0,80.4,30.1,0.0,12.95,222.637787,7.668,13.356,4.14
2023-01-01 13:00:00,19.6,,2.220694,16.421742,0.0,81.9,29.7,0.0,12.94,224.280844,9.54,13.356,4.968
2023-01-01 13:15:00,19.7,,2.322922,16.364956,0.0,81.1,29.7,0.0,12.93,221.953519,8.532,13.356,4.14
2023-01-01 13:30:00,19.7,,1.952845,16.93715,0.0,84.1,29.4,0.0,12.93,230.063617,8.208,13.356,4.14
2023-01-01 13:45:00,19.6,,1.839187,17.007275,0.0,85.0,29.3,0.0,12.93,231.499346,7.272,11.7,3.312
2023-01-01 14:00:00,19.4,,1.858274,16.774053,0.0,84.8,29.2,0.0,12.93,238.881181,7.632,11.7,4.14
2023-01-01 14:15:00,19.3,,1.806609,16.750209,0.0,85.2,29.0,0.0,12.97,239.563311,8.316,12.528,4.14
2023-01-01 14:30:00,19.4,,1.846022,16.792637,0.0,84.9,29.0,0.0,12.89,240.967716,8.244,14.22,4.14
2023-01-01 14:45:00,19.4,,1.821519,16.829748,0.0,85.1,28.8,0.0,12.91,258.310631,7.632,11.7,3.312
2023-01-01 15:00:00,18.7,,1.283271,16.91916,0.0,89.4,28.6,0.0,12.91,250.704604,9.108,13.356,4.968
2023-01-01 15:15:00,18.4,,1.086043,16.9029,0.0,91.0,28.6,0.0,12.91,260.932296,7.56,11.7,3.312
2023-01-01 15:30:00,18.1,,0.99855,16.727048,0.0,91.7,28.3,0.0,12.87,268.939088,6.84,11.7,4.14
2023-01-01 15:45:00,17.8,,0.983341,16.447333,0.0,91.8,28.2,0.0,12.89,335.031013,5.148,8.316,2.448
2023-01-01 16:00:00,17.4,,0.884593,16.187591,0.0,92.6,28.1,0.0,12.89,5.225927,4.32,7.488,1.62
2023-01-01 16:15:00,17.2,,0.859269,16.023266,0.0,92.8,28.1,0.0,12.88,1.250801,0.792,4.14,0.0
2023-01-01 16:30:00,17.0,,0.775517,15.942749,0.0,93.5,27.9,0.0,12.87,266.613666,2.7,4.968,0.792
2023-01-01 16:45:00,17.4,,0.719228,16.423342,0.0,94.0,27.7,0.0,12.86,259.157324,3.996,7.488,0.792
2023-01-01 17:00:00,17.5,,0.767169,16.455502,0.0,93.6,27.5,0.0,12.85,265.197494,3.384,5.796,0.792
2023-01-01 17:15:00,17.5,,0.767169,16.455502,0.0,93.6,27.4,0.0,12.85,258.690068,2.376,4.968,0.0
2023-01-01 17:30:00,17.1,,0.834933,15.957896,0.0,93.0,27.1,0.0,12.84,290.118296,3.456,6.66,1.62
2023-01-01 17:45:00,16.7,,0.703465,15.745205,0.0,94.1,27.1,0.0,12.83,218.318659,4.536,7.488,2.448
2023-01-01 18:00:00,16.8,,0.704028,15.844472,0.0,94.1,27.1,0.0,12.83,219.487826,4.932,10.836,3.312
2023-01-01 18:15:00,17.5,,0.755332,16.472298,0.0,93.7,26.9,0.0,12.8,209.548616,8.532,12.528,4.968
2023-01-01 18:30:00,18.5,,0.906559,17.260254,0.0,92.5,26.8,0.0,12.8,210.40262,8.712,12.528,5.796
2023-01-01 18:45:00,18.5,,1.075265,17.019107,0.0,91.1,26.8,0.0,12.8,188.308999,9.828,16.74,5.796
2023-01-01 19:00:00,17.9,,0.698296,16.953151,0.0,94.2,26.8,0.0,12.79,188.937032,10.692,18.396,4.14
2023-01-01 19:15:00,17.8,,0.530934,17.086841,0.0,95.6,26.6,0.0,12.78,184.346124,12.42,20.088,7.488
2023-01-01 19:30:00,17.5,,0.506523,16.821437,0.0,95.8,26.4,0.0,12.78,194.673761,13.248,19.26,7.488
2023-01-01 19:45:00,17.2,,0.541333,16.473647,0.0,95.5,26.4,0.0,12.78,200.609693,15.66,24.3,8.316
2023-01-01 20:00:00,17.1,,0.635185,16.242039,0.0,94.7,26.4,6.0,12.76,196.039943,16.632,25.128,9.18
2023-01-01 20:15:00,17.0,,0.716885,16.026333,0.0,94.0,26.4,15.0,12.78,201.102973,17.712,25.956,9.18
2023-01-01 20:30:00,17.1,,0.834933,15.957896,0.0,93.0,26.4,24.0,12.8,206.360971,15.336,24.3,8.316
2023-01-01 20:45:00,17.2,,1.106064,15.664935,0.0,90.7,26.4,45.0,12.89,206.462646,16.2,27.612,9.18
2023-01-01 21:00:00,17.4,,1.309045,15.566671,0.0,89.0,26.3,59.0,13.01,200.783302,15.876,25.956,9.18
2023-01-01 21:15:00,17.5,,1.534871,15.328347,0.0,87.1,26.1,81.0,13.2,205.748054,17.676,27.612,10.836
2023-01-01 21:30:00,18.0,,1.748244,15.511894,0.0,85.4,26.1,97.0,13.49,198.217095,15.336,24.3,8.316
2023-01-01 21:45:00,18.3,,1.947704,15.510541,0.0,83.8,26.1,159.0,13.73,203.138564,14.976,21.78,9.18
2023-01-01 22:00:00,18.6,,2.197789,15.426679,0.0,81.8,26.1,178.0,13.87,204.719094,17.172,25.956,8.316
2023-01-01 22:15:00,18.7,,2.310042,15.351614,0.0,80.9,26.3,230.0,13.94,199.164792,16.992,25.956,8.316
2023-01-01 22:30:00,19.0,,2.455113,15.430172,0.0,79.8,26.4,238.0,13.94,203.046774,15.624,25.128,7.488
2023-01-01 22:45:00,19.1,,2.520132,15.429346,0.0,79.3,26.4,253.0,13.94,197.409303,16.272,28.476,9.18
2023-01-01 23:00:00,19.0,,2.576802,15.233535,0.0,78.8,26.4,260.0,13.93,210.17352,18.072,27.612,7.488
2023-01-01 23:15:00,19.3,,2.749101,15.265451,0.0,77.5,26.7,323.0,13.95,204.710799,16.812,26.784,9.18
2023-01-01 23:30:00,19.5,,2.930986,15.175121,0.0,76.1,26.8,447.0,13.96,201.930989,18.252,28.476,10.836
2023-01-01 23:45:00,20.8,,3.633789,15.368169,0.0,71.1,26.8,892.0,13.93,189.825918,19.08,28.476,7.488
2023-01-02 00:00:00,21.1,,3.808072,15.390127,0.0,69.9,27.1,837.0,13.92,206.461723,19.404,30.132,10.836
2023-01-02 00:15:00,21.6,,4.078065,15.460882,0.0,68.1,27.4,917.0,13.91,204.424637,21.24,34.344,10.008
2023-01-02 00:30:00,21.5,,4.109904,15.296622,0.0,67.8,27.8,790.0,13.91,202.249024,21.744,33.48,10.836
2023-01-02 00:45:00,21.6,,4.275183,15.113702,0.0,66.6,28.2,880.0,13.9,202.85043,22.392,36.0,11.7
2023-01-02 01:00:00,21.6,,4.367428,14.949326,0.0,65.9,28.6,1003.0,13.9,201.029218,23.04,33.48,12.528
