ISOTIME,Boundary_m3_s,sal,temp,trace_1,trace_2,trace_3,trace_4,trace_5,ss1,ret,oxy,rsi,amm,nit,frp,frp_ads,doc,poc,don,pon,dop,pop,grn,mag_ulva,mag_ulva_in,mag_ulva_ip
01/01/2014 00:00,0.0021,NaN,NaN,0,0,100,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
02/01/2014 00:00,0.0021,0.3288,26.5554,0,0,100,0,0,0.5537,19124604,217.972,155.9938,1.6672,0,0.0171,0.0006,575.6525,96.4934,58.1566,67.5121,1.5047,2.6219,303.1459,0,0,0
03/01/2014 00:00,0.0009,0.3156,25.5381,0,0,100,0,0,0.8262,18435096,238.8041,148.6595,1.6959,0,0.0181,0.001,561.9648,95.2435,57.0541,68.0652,1.5111,2.6735,295.4179,0,0,0
04/01/2014 00:00,0.0007,0.3206,21.9388,0,0,100,0,0,0.5804,18815436,260.9504,151.0235,1.6567,0,0.0146,0.0006,570.2438,96.3785,57.7691,68.6051,1.5221,2.6931,301.3145,0,0,0
05/01/2014 00:00,0.0007,0.3246,20.2212,0,0,100,0,0,0.4049,19140042,274.1446,152.9295,1.6546,0,0.0137,0.0004,576.9031,97.1778,58.3428,68.9258,1.5312,2.7029,305.5011,0,0,0
06/01/2014 00:00,0.0009,0.328,19.7358,0,0,100,0,0,0.2785,19424132,275.4547,154.5022,1.6579,0,0.0134,0.0003,582.3501,97.7242,58.801,69.0749,1.5377,2.7051,308.8124,0,0,0
07/01/2014 00:00,0.0019,0.3313,22.0045,0,0,100,0,0,0.2012,19706104,263.352,156.0252,1.6918,0,0.0141,0.0002,587.7535,98.4368,59.251,69.3613,1.547,2.7157,311.6127,0,0,0
08/01/2014 00:00,0.0407,0.3345,26.1465,0,0,100,0,0,0.1522,19987784,238.3847,157.5587,1.7466,0,0.0173,0.0002,592.8075,99.1529,59.6176,69.5886,1.5505,2.7256,314.8848,0,0,0
09/01/2014 00:00,0.0016,0.3368,23.6862,0,0,100,0,0,0.1109,20212084,244.9209,158.6409,1.7228,0,0.0147,0.0001,596.0799,99.5507,59.7933,69.5724,1.5478,2.726,318.1411,0,0,0
10/01/2014 00:00,0.0697,0.3396,25.0941,0,0,100,0,0,0.0799,20465496,239.0043,159.9476,1.7481,0,0.0164,0.0001,600.1821,100.0622,60.0564,69.6368,1.5472,2.7292,321.3279,0,0,0
11/01/2014 00:00,0.0014,0.3428,25.0949,0,0,100,0,0,0.0576,20745584,244.9055,161.4569,1.7541,0,0.0166,0.0001,604.9855,100.6877,60.3769,69.7694,1.5472,2.7352,325.2883,0,0,0
12/01/2014 00:00,0.0016,0.3447,21.7186,0,0,100,0,0,0.0447,20948558,261.1349,162.3482,1.7263,0,0.0131,0,607.7307,100.9632,60.5238,69.6976,1.5459,2.7327,327.7034,0,0,0
13/01/2014 00:00,0.0019,0.344,24.5543,0,0,100,0,0,0.0378,20990602,242.1571,161.9816,1.7549,0,0.0147,0,605.8077,100.5489,60.208,69.1612,1.5345,2.7134,326.8026,0,0,0
14/01/2014 00:00,0.0019,0.3387,22.7985,0,0,100,0,0,0.0286,20751742,227.0598,159.4707,1.7253,0,0.0141,0,595.7516,98.7828,59.0798,67.6789,1.5013,2.6571,322.0732,0,0,0
15/01/2014 00:00,0.0019,0.3382,27.9587,0,0,100,0,0,0.0218,20808886,209.1024,159.2413,1.7729,0,0.0189,0,594.0427,98.4482,58.7521,67.16,1.4864,2.6396,321.8536,0,0,0
16/01/2014 00:00,0.0019,0.3406,30.1462,0,0,100,0,0,0.0178,21043226,194.1913,160.3573,1.8065,0,0.0234,0,597.1376,99.032,58.8457,67.2352,1.4797,2.6482,325.5264,0,0,0
17/01/2014 00:00,0.0014,0.3131,30.7928,0,0,100,0,0,0.2934,19437070,189.8224,145.8454,1.5788,0,0.0359,0.0007,559.745,93.6489,55.6454,65.7086,1.4451,2.6128,301.9769,0,0,0
18/01/2014 00:00,0.0012,0.3128,21.693,0,0,100,0,0,0.3562,19495778,264.7554,145.2223,1.4839,0,0.0142,0.0004,562.1053,94.9891,55.9674,67.1586,1.4796,2.6901,301.6586,0,0,0
