ISOTIME,Boundary_m3_s,sal,temp,trace_1,trace_2,trace_3,trace_4,trace_5,ss1,ret,oxy,rsi,amm,nit,frp,frp_ads,doc,poc,don,pon,dop,pop,grn,mag_ulva,mag_ulva_in,mag_ulva_ip
01/01/2013 00:00,0.24,0.3288,26.5554,0,0,100,0,0,0.5537,19124604,217.972,155.9938,1.6672,0,0.0171,0.0006,575.6525,96.4934,58.1566,67.5121,1.5047,2.6219,303.1459,0,0,0
02/01/2013 00:00,0.25,0.3288,26.5554,0,0,100,0,0,0.5537,19124604,217.972,155.9938,1.6672,0,0.0171,0.0006,575.6525,96.4934,58.1566,67.5121,1.5047,2.6219,303.1459,0,0,0
03/01/2013 00:00,0.2,0.3156,25.5381,0,0,100,0,0,0.8262,19124604,238.8041,155.9938,1.6672,0,0.0181,0.001,575.6525,96.4934,57.0541,68.0652,1.5047,2.6219,295.4179,0,0,0
04/01/2013 00:00,0.15,0.3206,21.9388,0,0,100,0,0,0.5804,19124604,260.9504,155.9938,1.6672,0,0.0146,0.0006,575.6525,96.4934,57.7691,68.6051,1.5047,2.6219,301.3145,0,0,0
05/01/2013 00:00,0.2,0.3246,20.2212,0,0,100,0,0,0.4049,19124604,274.1446,155.9938,1.6672,0,0.0137,0.0004,575.6525,96.4934,58.3428,68.9258,1.5047,2.6219,305.5011,0,0,0
06/01/2013 00:00,0.22,0.328,19.7358,0,0,100,0,0,0.2785,19124604,275.4547,155.9938,1.6672,0,0.0134,0.0003,575.6525,96.4934,58.801,69.0749,1.5047,2.6219,308.8124,0,0,0
07/01/2013 00:00,0.11,0.3313,22.0045,0,0,100,0,0,0.2012,19124604,263.352,155.9938,1.6672,0,0.0141,0.0002,575.6525,96.4934,59.251,69.3613,1.5047,2.6219,311.6127,0,0,0
08/01/2013 00:00,0.13,0.3345,26.1465,0,0,100,0,0,0.1522,19124604,238.3847,155.9938,1.6672,0,0.0173,0.0002,575.6525,96.4934,59.6176,69.5886,1.5047,2.6219,314.8848,0,0,0
09/01/2013 00:00,0.22,0.3368,23.6862,0,0,100,0,0,0.1109,19124604,244.9209,155.9938,1.6672,0,0.0147,0.0001,575.6525,96.4934,59.7933,69.5724,1.5047,2.6219,318.1411,0,0,0
10/01/2013 00:00,0,0.3396,25.0941,0,0,100,0,0,0.0799,19124604,239.0043,155.9938,1.6672,0,0.0164,0.0001,575.6525,96.4934,60.0564,69.6368,1.5047,2.6219,321.3279,0,0,0
