Variable,Site
FLOW,A2390568
SAL,A2390568
TEMP,A2390568
TRACE_1,No Site
TRACE_2,No Site
TRACE_3,No Site
TRACE_4,No Site
TRACE_5,No Site
WQ_NCS_SS1,EPA_Salt_Creek_Flow
WQ_TRC_RET,No Site
WQ_OXY_OXY,EPA2014_Morella_Basin_North_Jack_Point
WQ_SIL_RSI,EPA_Salt_Creek_Flow
WQ_NIT_AMM,EPA_Salt_Creek_Flow
WQ_NIT_NIT,EPA_Salt_Creek_Flow
WQ_PHS_FRP,EPA_Salt_Creek_Flow
WQ_PHS_FRP_ADS,EPA_Salt_Creek_Flow
WQ_OGM_DOC,ALS_Morella_Creek_at_Gauge
WQ_OGM_POC,ALS_Morella_Creek_at_Gauge
WQ_OGM_DON,EPA_Salt_Creek_Flow
WQ_OGM_PON,EPA_Salt_Creek_Flow
WQ_OGM_DOP,EPA_Salt_Creek_Flow
WQ_OGM_POP,EPA_Salt_Creek_Flow
WQ_PHY_GRN,EPA_Salt_Creek_Flow
mag_ulva,No Site
mag_ulva_in,No Site
mag_ulva_ip,No Site
WQ_DIAG_TOT_TN,EPA_Salt_Creek_Flow
WQ_DIAG_TOT_TP,EPA_Salt_Creek_Flow
WQ_DIAG_TOT_TOC,ALS_Morella_Creek_at_Gauge
