X,Y,distance_from_Goolwa
326120.712,6054605.378,29200
326155.989,6054569.945,29250
326191.359,6054534.604,29300
326226.822,6054499.357,29350
326262.376,6054464.202,29400
326298.023,6054429.14,29450
326333.761,6054394.172,29500
326369.591,6054359.297,29550
326405.512,6054324.517,29600
326441.523,6054289.83,29650
326477.626,6054255.238,29700
326513.819,6054220.741,29750
326550.102,6054186.339,29800
326586.475,6054152.031,29850
326622.938,6054117.819,29900
326659.49,6054083.703,29950
326696.132,6054049.682,30000
326732.862,6054015.758,30050
326769.681,6053981.929,30100
326806.589,6053948.198,30150
326843.585,6053914.563,30200
326880.668,6053881.025,30250
326917.84,6053847.584,30300
326955.099,6053814.241,30350
326992.445,6053780.995,30400
327029.878,6053747.847,30450
327067.397,6053714.797,30500
327105.003,6053681.846,30550
327142.695,6053648.993,30600
327180.473,6053616.239,30650
327218.337,6053583.585,30700
327256.286,6053551.029,30750
327294.32,6053518.573,30800
327332.439,6053486.216,30850
327370.643,6053453.96,30900
327408.93,6053421.803,30950
327447.302,6053389.747,31000
327485.758,6053357.792,31050
327524.297,6053325.937,31100
327562.92,6053294.183,31150
327601.201,6053262.031,31200
327638.791,6053229.062,31250
327676.577,6053196.317,31300
327714.557,6053163.797,31350
327752.73,6053131.505,31400
327791.095,6053099.44,31450
327829.65,6053067.605,31500
327868.394,6053036,31550
327907.326,6053004.626,31600
327946.444,6052973.485,31650
327985.747,6052942.578,31700
328025.233,6052911.905,31750
328064.902,6052881.468,31800
328104.751,6052851.268,31850
328144.779,6052821.306,31900
328184.985,6052791.582,31950
328225.367,6052762.099,32000
328265.925,6052732.857,32050
328306.656,6052703.858,32100
328347.559,6052675.101,32150
328388.632,6052646.589,32200
328429.875,6052618.322,32250
328471.285,6052590.301,32300
328512.862,6052562.527,32350
328554.603,6052535.002,32400
328596.508,6052507.725,32450
328638.574,6052480.699,32500
328680.801,6052453.924,32550
328723.187,6052427.401,32600
328765.729,6052401.132,32650
328808.428,6052375.116,32700
328851.281,6052349.354,32750
328894.286,6052323.849,32800
328937.443,6052298.6,32850
328980.749,6052273.609,32900
329024.204,6052248.877,32950
329067.805,6052224.404,33000
329111.551,6052200.19,33050
329155.599,6052176.548,33100
329200.377,6052154.303,33150
329244.751,6052131.262,33200
329288.707,6052107.433,33250
329332.23,6052082.823,33300
329375.308,6052057.44,33350
329417.925,6052031.293,33400
329460.069,6052004.389,33450
329501.726,6051976.737,33500
329542.883,6051948.346,33550
329583.526,6051919.225,33600
329623.644,6051889.383,33650
329663.222,6051858.83,33700
329702.249,6051827.576,33750
329740.712,6051795.629,33800
329778.598,6051763.002,33850
329815.896,6051729.704,33900
329852.594,6051695.745,33950
329888.68,6051661.136,34000
329924.142,6051625.889,34050
329958.97,6051590.015,34100
329993.152,6051553.525,34150
330026.677,6051516.431,34200
330059.535,6051478.744,34250
330091.715,6051440.477,34300
330123.207,6051401.641,34350
330153.356,6051361.803,34400
330180.377,6051319.736,34450
330208.545,6051278.427,34500
330237.838,6051237.908,34550
330268.234,6051198.21,34600
330299.71,6051159.363,34650
330332.243,6051121.396,34700
330365.807,6051084.338,34750
330400.377,6051048.217,34800
330435.927,6051013.06,34850
330472.43,6050978.893,34900
330509.859,6050945.743,34950
330548.186,6050913.635,35000
330587.38,6050882.593,35050
330627.413,6050852.64,35100
330668.255,6050823.799,35150
330709.874,6050796.092,35200
330752.24,6050769.54,35250
330795.319,6050744.163,35300
330839.08,6050719.979,35350
330883.489,6050697.008,35400
330928.513,6050675.267,35450
330974.118,6050654.772,35500
