X,Y
301437.216,6066428.013
301486.514,6066419.666
301535.77,6066411.076
301584.984,6066402.242
301634.153,6066393.164
301683.276,6066383.843
301732.353,6066374.28
301781.382,6066364.473
301830.362,6066354.423
301879.291,6066344.132
301928.169,6066333.598
301976.994,6066322.822
302025.765,6066311.805
302074.481,6066300.547
302123.14,6066289.047
302171.742,6066277.307
302220.286,6066265.327
302268.769,6066253.106
302317.192,6066240.645
302365.552,6066227.945
302413.848,6066215.005
302462.08,6066201.827
302510.246,6066188.41
302558.346,6066174.755
302606.377,6066160.861
302654.338,6066146.731
302702.229,6066132.363
302750.049,6066117.758
302797.795,6066102.916
302845.467,6066087.838
302893.065,6066072.525
302940.818,6066057.734
302988.845,6066043.828
303036.789,6066029.636
303084.647,6066015.161
303132.419,6066000.401
303180.103,6065985.358
303227.696,6065970.033
303275.197,6065954.425
303322.605,6065938.535
303369.918,6065922.364
303417.134,6065905.913
303464.251,6065889.182
303511.269,6065872.171
303558.184,6065854.882
303604.996,6065837.314
303651.703,6065819.469
303698.303,6065801.346
303744.795,6065782.948
303791.177,6065764.274
303837.447,6065745.324
303883.604,6065726.101
303929.646,6065706.604
303975.571,6065686.833
304021.535,6065667.159
304067.621,6065647.764
304113.57,6065628.051
304159.382,6065608.02
304205.054,6065587.671
304250.584,6065567.007
304295.97,6065546.027
304341.209,6065524.733
304386.299,6065503.127
304431.238,6065481.208
304476.025,6065458.978
304520.656,6065436.438
304565.13,6065413.59
304609.445,6065390.434
304653.598,6065366.971
304697.423,6065342.905
304740.562,6065317.63
304782.982,6065291.164
304824.649,6065263.529
304865.532,6065234.747
304905.598,6065204.838
304944.818,6065173.827
304983.159,6065141.737
305020.594,6065108.594
305057.092,6065074.422
305092.626,6065039.249
305127.169,6065003.101
305160.692,6064966.006
305193.171,6064927.994
305224.581,6064889.093
305254.897,6064849.334
305284.095,6064808.747
305312.153,6064767.364
305338.455,6064724.846
305366.259,6064683.293
305395.732,6064642.908
305426.825,6064603.756
305459.488,6064565.903
305493.665,6064529.413
305529.3,6064494.344
305566.334,6064460.757
305604.706,6064428.705
305644.351,6064398.244
305685.204,6064369.422
305727.197,6064342.288
305770.26,6064316.887
305814.322,6064293.262
305859.31,6064271.451
305906.228,6064254.179
305953.717,6064238.542
306001.704,6064224.507
306050.135,6064212.089
306098.955,6064201.303
306148.11,6064192.16
306197.544,6064184.672
306247.201,6064178.847
306297.026,6064174.69
306346.962,6064172.207
306396.953,6064171.401
306446.943,6064172.272
306496.875,6064174.82
306546.695,6064179.041
306596.34,6064184.966
306646.075,6064190.074
306695.968,6064193.305
306745.946,6064194.655
306795.941,6064194.122
306845.879,6064191.706
306895.692,6064187.412
306945.307,6064181.245
306994.655,6064173.214
307043.665,6064163.331
307092.269,6064151.609
307140.396,6064138.065
307187.98,6064122.718
307234.951,6064105.59
307281.245,6064086.706
307326.886,6064066.296
307371.542,6064043.815
307415.072,6064019.226
307457.378,6063992.586
307498.363,6063963.955
307537.934,6063933.398
307575.999,6063900.985
307612.472,6063866.791
307647.269,6063830.893
307680.312,6063793.374
307711.524,6063754.318
307740.835,6063713.816
307767.851,6063671.754
307794.239,6063629.285
307820.697,6063586.859
307847.225,6063544.476
307875.617,6063503.332
307904.414,6063462.458
307934.932,6063422.973
307968.846,6063386.233
308002.76,6063349.493
308049.858,6063335.506
308098.598,6063324.353
308147.339,6063313.201
308196.079,6063302.049
308244.819,6063290.896
308289.975,6063272.851
308327.095,6063239.353
308364.215,6063205.854
308401.334,6063172.356
308438.454,6063138.858
308476.367,6063106.35
308517.866,6063078.466
308560.476,6063052.313
308604.127,6063027.936
308648.744,6063005.376
308694.252,6062984.671
308740.573,6062965.856
308787.629,6062948.963
308835.34,6062934.021
308883.626,6062921.055
308932.405,6062910.087
308981.594,6062901.135
309031.109,6062894.215
309080.867,6062889.339
309130.784,6062886.514
309180.774,6062885.746
309230.754,6062887.036
309280.638,6062890.381
309330.343,6062895.777
309379.783,6062903.213
309428.876,6062912.677
309478.608,6062917.334
309528.594,6062917.705
309578.465,6062914.282
309627.932,6062907.084
309676.71,6062896.153
309724.518,6062881.551
309771.08,6062863.364
309816.127,6062841.695
309859.401,6062816.671
309900.65,6062788.434
309940.257,6062757.919
309979.247,6062726.619
310017.624,6062694.571
310055.376,6062661.787
310092.486,6062628.28
310128.943,6062594.062
310164.731,6062559.146
310199.837,6062523.545
310234.25,6062487.272
310267.955,6062450.341
310300.939,6062412.766
310333.192,6062374.56
310364.7,6062335.738
310399.782,6062300.197
310436.467,6062266.226
310473.97,6062233.16
310512.27,6062201.02
310551.344,6062169.824
310591.167,6062139.593
310631.717,6062110.342
310672.969,6062082.091
310714.899,6062054.855
310757.481,6062028.651
310800.69,6062003.495
310844.501,6061979.401
310888.886,6061956.384
310933.821,6061934.458
310979.278,6061913.636
311025.229,6061893.93
311071.648,6061875.352
311118.507,6061857.913
311165.778,6061841.623
311213.432,6061826.493
311261.442,6061812.53
