"time","Air Temperature_average_ºC","Apparent Temperature_average_ºC","Delta T_average_ºC","Dew Point_average_ºC","Rainfall_raw_mm","Relative Humidity_average_%RH","Soil Temperature_average_ºC","Solar Radiation_average_W/m^2","Voltage_average_V","Wind Direction_average_º","Wind Speed_average_km/h","Wind Speed_maximum_km/h","Wind Speed_minimum_km/h"
2019-12-31 22:30:00,19.6,18.386771,5.204903,11.106884,0,58,25.4,425,12.98,293.362059,8.064,16.74,0
2019-12-31 22:45:00,18.8,17.685967,4.893438,10.816928,0,59.8,25.4,381,13.09,286.174447,7.128,11.7,0.792
2019-12-31 23:00:00,19.9,19.132163,5.522647,10.804421,0,55.8,25.4,709,13.2,262.568592,5.328,17.568,0
2019-12-31 23:15:00,20.8,19.252358,5.990603,10.893909,0,53.1,25.4,861,13.2,274.58353,9.468,20.088,2.448
2019-12-31 23:30:00,20.3,19.376004,5.741013,10.821856,0,54.5,25.4,573,13.2,268.099889,6.156,15.048,0
2019-12-31 23:45:00,20.8,19.668992,6.207705,10.433914,0,51.5,25.4,734,13.31,231.203448,6.66,15.876,0
2020-01-01 00:00:00,20.3,19.231229,6.261741,9.709033,0,50.6,25.4,512,13.2,287.286315,5.328,11.7,0
2020-01-01 00:15:00,21.1,20.263756,6.63572,9.872769,0,48.7,25.8,528,13.31,270.261623,4.356,11.7,0
2020-01-01 00:30:00,21.3,20.630613,6.316206,10.807406,0,51.2,25.8,735,13.31,66.605527,4.824,13.356,0
2020-01-01 00:45:00,20.4,18.986205,5.726667,10.969982,0,54.7,26,470,13.2,46.010997,8.892,17.568,0
2020-01-01 01:00:00,21.3,18.742579,6.441165,10.540748,0,50.3,26.1,1038,13.31,98.615648,14.148,25.956,6.66
2020-01-01 01:15:00,21.8,18.841752,6.93837,10.077193,0,47.3,26.1,1081,13.2,92.121096,15.552,26.784,7.488
2020-01-01 01:30:00,22.3,19.502059,7.517309,9.418414,0,43.9,26.3,1038,13.2,161.816347,13.824,30.132,1.62
2020-01-01 01:45:00,22.8,20.070538,7.970044,9.033793,0,41.5,26.4,1150,13.2,207.121303,12.96,22.608,4.968
2020-01-01 02:00:00,23,20.816682,8.131409,8.924622,0,40.7,26.7,1147,13.2,223.576795,10.008,22.608,0
2020-01-01 02:15:00,23.1,20.335752,8.452603,8.306838,0,38.8,27,1159,13.2,232.704997,12.204,24.3,0.792
2020-01-01 02:30:00,23.1,20.43346,8.30845,8.645685,0,39.7,27.2,1162,13.2,204.688982,12.132,23.436,1.62
2020-01-01 02:45:00,23.5,20.909157,8.611604,8.471789,0,38.3,27.5,1163,13.2,211.865978,11.52,23.436,1.62
2020-01-01 03:00:00,23.9,21.132519,8.94097,8.237309,0,36.8,27.9,1157,13.2,220.442581,12.132,26.784,3.312
2020-01-01 03:15:00,24,21.84921,8.876971,8.525259,0,37.3,28.1,1160,13.2,236.717435,9.324,21.78,0.792
2020-01-01 03:30:00,24.2,21.809962,8.815907,8.939203,0,37.9,28.5,1149,13.2,204.829347,11.088,23.436,4.14
2020-01-01 03:45:00,24.1,21.161237,8.762584,8.928321,0,38.1,28.9,1126,13.2,195.168895,13.896,35.172,3.312
2020-01-01 04:00:00,23.9,20.691989,8.557721,9.13464,0,39.1,29.2,1070,13.2,195.29859,15.552,26.784,4.968
2020-01-01 04:15:00,23.8,20.497066,8.424101,9.309062,0,39.8,29.5,1006,13.2,202.564112,16.272,25.956,4.968
2020-01-01 04:30:00,24.2,20.559011,8.565434,9.516192,0,39.4,29.9,1052,13.2,205.188523,18.288,31.824,10.008
2020-01-01 04:45:00,23.6,19.860463,8.289647,9.352632,0,40.4,30.3,922,13.31,210.477524,18.576,31.824,10.008
2020-01-01 05:00:00,23.3,19.342473,8.107116,9.375299,0,41.2,30.6,893,13.31,206.048887,19.728,29.304,10.008
2020-01-01 05:15:00,23.3,19.29999,8.202323,9.157157,0,40.6,30.9,876,13.31,208.779806,19.656,30.132,9.18
2020-01-01 05:30:00,23,18.865397,8.021547,9.177761,0,41.4,31.3,851,13.31,204.40591,20.376,27.612,11.7
2020-01-01 05:45:00,23,18.335642,8.00591,9.213615,0,41.5,31.8,820,13.31,208.332237,23.148,34.344,10.836
2020-01-01 06:00:00,22.8,17.945011,7.800024,9.422682,0,42.6,32,760,13.31,202.530979,24.408,34.344,14.22
2020-01-01 06:15:00,22.5,18.151586,7.565916,9.56547,0,43.8,32.2,711,13.31,200.905569,21.996,32.652,10.836
2020-01-01 06:30:00,22.2,17.703921,7.455798,9.429244,0,44.2,32.3,683,13.31,202.35518,22.572,31.824,13.356
2020-01-01 06:45:00,22.2,17.564151,7.396293,9.563451,0,44.6,32.6,611,13.31,197.560272,23.472,33.48,13.356
2020-01-01 07:00:00,21.9,17.593362,7.02587,10.009483,0,46.8,32.7,549,13.31,192.652557,22.392,33.48,11.7
2020-01-01 07:15:00,22,17.80136,7.348677,9.41538,0,44.7,33,498,13.42,198.581111,21.024,33.48,11.7
2020-01-01 07:30:00,21.9,17.498658,6.99692,10.073284,0,47,33,469,13.42,185.277406,22.968,33.48,13.356
