"variable","mean","sd","min","max","min.trans","max.trans"
"AvgOfTemp_degC",19.9947287581699,6.96658370168213,-2.85573670109874,9.74728419977699,-2.85573670109874,9.74728419977699
"AvgOfpH",8.25275381263616,0.572602051512919,-3.91677572008414,2.68466762091081,-3.91677572008414,2.68466762091081
"AvgOfEC_us_cm",8.62007756473426,1.46148915811114,-2.55200554572221,1.62067521540773,-2.55200554572221,1.62067521540773
"AvgOfTurbidity_NTU",83.1702988047809,109.482888344587,-0.759664821255082,5.29607603491661,-0.759664821255082,5.29607603491661
"Avg_Basindepth",9.26760057471264,9.92524767711529,-0.93373998072421,4.10391768048311,-0.93373998072421,4.10391768048311
"PropCoverage",0.127083198367511,0.146150746118086,-0.869535063918393,2.92383660694572,-0.869535063918393,2.92383660694572
"Area0to5",6024.79435957697,6685.53370996467,-0.901168795334487,2.82329077367299,-0.901168795334487,2.82329077367299
"Area5to20",3987.42655699177,6638.86023741671,-0.600619144611387,3.90316598276382,-0.600619144611387,3.90316598276382
"AreaGreater20",2186.01645123384,2771.51977755456,-0.78874286553447,3.21627997063451,-0.78874286553447,3.21627997063451
"Area",96490.2129300491,40189.1779914185,-2.04071852165253,1.64906183267113,-2.04071852165253,1.64906183267113
