ISOTIME,Goolwa_m3_s,sal,temp,trace_1,trace_2,trace_3,trace_4,trace_5,ss1,ret,oxy,rsi,amm,nit,frp,frp_ads,doc,poc,don,pon,dop,pop,grn,mag_ulva,mag_ulva_in,mag_ulva_ip
01/01/2014 00:00,25.032916071114,NaN,NaN,0,0,100,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
02/01/2014 00:00,22.2293718482849,0.3622,26.4952,0,0,100,0,0,0.9418,20914130,210.1443,174.8528,2.4012,0,0.0137,0.0009,558.3937,108.8146,52.7987,65.7208,1.4854,2.6969,242.7519,0,0,0
03/01/2014 00:00,3.57623680267077,0.3623,26.3545,0,0,100,0,0,3.1025,20722402,212.0839,172.0617,2.4147,0,0.0116,0.002,565.8395,106.5313,53.6762,66.0701,1.4864,2.6931,252.9591,0,0,0
04/01/2014 00:00,0.0857723369178019,0.3474,24.7613,0,0,100,0,0,3.3169,20129708,228.8627,165.2692,2.3843,0,0.0115,0.0027,562.61,104.2301,54.1259,66.9557,1.5026,2.7235,259.0943,0,0,0
05/01/2014 00:00,0.0857723369178019,0.3362,23.1805,0,0,100,0,0,6.7111,19554120,243.9803,158.6403,2.4032,0,0.01,0.0045,561.9959,101.7382,54.8102,67.8906,1.5232,2.7517,265.2534,0,0,0
06/01/2014 00:00,0.114445510066116,0.3326,22.6591,0,0,100,0,0,6.8955,19488838,253.4508,156.8851,2.4363,0,0.0116,0.0058,561.7599,101.539,55.0845,68.4152,1.5366,2.7769,267.7901,0,0,0
07/01/2014 00:00,5.37844460805318,0.3335,22.3202,0,0,100,0,0,6.4856,19637606,260.3032,157.345,2.4537,0,0.0109,0.0052,563.2741,102.0642,55.1572,68.627,1.543,2.7923,268.0567,0,0,0
08/01/2014 00:00,7.7531271462933,0.3346,24.3147,0,0,100,0,0,6.3365,19791974,251.4709,157.8722,2.478,0,0.0118,0.0053,564.6268,102.5344,55.1819,68.7508,1.5464,2.8037,268.236,0,0,0
09/01/2014 00:00,6.92333540268217,0.3353,23.8842,0,0,100,0,0,5.7789,19921572,241.1374,158.2076,2.4744,0,0.0117,0.0048,565.1329,102.842,55.1081,68.7448,1.5464,2.8097,268.3382,0,0,0
10/01/2014 00:00,6.55157288186265,0.3367,25.081,0,0,100,0,0,4.8205,20087400,237.5913,158.8333,2.4545,0,0.0127,0.0043,566.637,103.1887,55.1326,68.7599,1.5466,2.8142,269.2178,0,0,0
11/01/2014 00:00,6.46555336241771,0.3372,24.9283,0,0,100,0,0,4.7625,20205594,238.8625,159.0755,2.4955,0,0.0124,0.0041,566.7319,103.6612,55.0125,68.858,1.5496,2.8284,268.4543,0,0,0
12/01/2014 00:00,7.12355324966609,0.3378,23.1099,0,0,100,0,0,4.4431,20330896,246.608,159.3661,2.4945,0,0.0113,0.0036,567.1929,103.9978,54.9484,68.8892,1.5514,2.8365,268.3559,0,0,0
13/01/2014 00:00,7.52423612616107,0.3373,25.3467,0,0,100,0,0,3.8748,20384332,227.8379,159.1086,2.4815,0,0.0124,0.0033,565.5215,103.85,54.6646,68.5771,1.5446,2.8289,267.3692,0,0,0
14/01/2014 00:00,7.09512725904492,0.3354,23.2414,0,0,100,0,0,3.5663,20351920,229.8452,158.1855,2.464,0,0.0115,0.003,561.5084,103.3869,54.1597,68.062,1.534,2.8147,265.0313,0,0,0
15/01/2014 00:00,7.26667193288052,0.3364,25.8248,0,0,100,0,0,3.4474,20489520,222.0684,158.589,2.5038,0,0.013,0.0031,562.1508,103.8521,54.0924,68.156,1.5366,2.8271,264.4996,0,0,0
16/01/2014 00:00,7.20957276911103,0.3376,27.338,0,0,100,0,0,2.9957,20652516,213.1877,159.1799,2.4937,0,0.0141,0.0028,563.3213,104.2877,54.0588,68.2118,1.5366,2.8359,265.238,0,0,0
