p_name, 'grn', 'crypt', 'diatom', 'dino'
p_initial,10,10,10,10
p0,0.2,0.2,0.2,0.2
w_p,-0.05,0,-0.1,0
Xcc,50,50,50,50
R_growth,2.4,1.8,3.1,2.1
fT_Method,1,1,1,1
theta_growth,1.08,1.08,1.08,1.08
T_std,18,20,18,18
T_opt,23,26,28,25
T_max,35,38,39,32
lightModel,0,0,0,0
I_K,100,100,100,100
I_S,40,40,40,40
KePHY,0.00408,0.0051,0.00408,0.0048
f_pr,0.025,0.025,0.025,0.025
R_resp,0.04,0.08,0.02,0.095
theta_resp,1.08,1.08,1.08,1.08
k_fres,0.75,0.75,0.75,0.75
k_fdom,0.25,0.25,0.25,0.25
salTol,-1,-1,-2,-3
S_bep,0.1,0.1,0.1,0.1
S_maxsp,28,60,200,90
S_opt,10,20,60,40
simDINUptake,1,1,1,1
simDONUptake,0,0,0,0
simNFixation,0,0,0,0
simINDynamics,0,0,0,0
N_o,0.02,0.071,0.02,0.071
K_N,1.786,2.143,1.786,2.4
X_ncon,0.16,0.151,0.1,0.167
X_nmin,0.069,0.054,0.069,0.069
X_nmax,0.18,0.054,0.18,0.206
R_nuptake,0.069,0.032,0.069,0.206
k_nfix,0.7,0.7,0.7,0.7
R_nfix,0.0006,0.00075,0.0006,0.0006
simDIPUptake,1,1,1,1
simIPDynamics,0,0,0,0
P_0,0.0064,0.0064,0.0064,0.0064
K_P,0.2526,0.3226,0.2426,0.36
X_pcon,0.002976,0.0028086,0.00186,0.0031062
X_pmin,0.0015,0.0015,0.0015,0.0015
X_pmax,0.0096,0.0096,0.0096,0.0096
R_puptake,0.0031,0.0031,0.0031,0.0031
simSiUptake,0,0,0,0
Si_0,0,0,0,0
K_Si,8,8,8,8
X_sicon,0.0171,0.0171,0.0171,0.0171
