CPS,Indicator,Start Time,End Time,Var,Trigger,Days (%)
Smallmouth hardyhead (Foodweb),Water level,01-04-2020,01-10-2020,H,0.4000,57.3770
Smallmouth hardyhead (Foodweb),Water level,01-04-2020,01-10-2020,H,0.8000,0.0000
Smallmouth hardyhead (Foodweb),Water level,01-10-2020,01-04-2021,H,0.4000,1.6484
Smallmouth hardyhead (Foodweb),Water level,01-10-2020,01-04-2021,H,0.8000,0.0000
