Variable,Site
FLOW,Well
SAL,EPA2014_Lake_Albert_South_West
TEMP,EPA2014_Lake_Albert_South_West
TRACE_1,No Site
WQ_TRC_AGE,No Site
WQ_NCS_SS1,EPA2014_Lake_Albert_South_West
WQ_OXY_OXY,EPA2014_Lake_Albert_South_West
WQ_SIL_RSI,EPA2014_Lake_Albert_South_West
WQ_NIT_AMM,EPA2014_Lake_Albert_South_West
WQ_NIT_NIT,EPA2014_Lake_Albert_South_West
WQ_PHS_FRP,EPA2014_Lake_Albert_South_West
WQ_PHS_FRP_ADS,EPA2014_Lake_Albert_South_West
WQ_OGM_DOC,EPA2014_Lake_Albert_South_West
WQ_OGM_POC,EPA2014_Lake_Albert_South_West
WQ_OGM_DON,EPA2014_Lake_Albert_South_West
WQ_OGM_PON,EPA2014_Lake_Albert_South_West
WQ_OGM_DOP,EPA2014_Lake_Albert_South_West
WQ_OGM_POP,EPA2014_Lake_Albert_South_West
WQ_PHY_GRN,EPA2014_Lake_Albert_South_West
