X,Y,Z
350465.86,6032241.53,-1.23
350465.27,6032242.21,-1.24
350463.57,6032249.79,-1.24
350463.73,6032250.53,-1.24
350463.71,6032245.05,-1.24
350463.46,6032245.86,-1.24
350464.29,6032252.19,-1.24
350464.83,6032242.85,-1.25
350464.93,6032253.46,-1.25
350463.99,6032251.38,-1.25
350463.46,6032249.04,-1.25
350463.4,6032248.16,-1.25
350463.39,6032247.3,-1.25
350465.34,6032254.09,-1.26
350464.29,6032243.78,-1.26
350465.82,6032254.7,-1.27
350466.34,6032255.29,-1.28
350470,6032236.71,-1.24
350469.45,6032237.3,-1.24
350467.57,6032239.54,-1.25
350468.06,6032238.93,-1.25
350468.56,6032238.33,-1.25
350466.66,6032240.66,-1.25
350470.04,6032258.62,-1.26
350469.11,6032257.73,-1.27
350468.54,6032257.2,-1.28
350467.23,6032256.13,-1.28
350467.85,6032256.62,-1.29
350472.21,6032260.66,-1.22
350473.83,6032232.04,-1.22
350473.52,6032262,-1.23
350470.62,6032259.16,-1.23
350471.38,6032259.87,-1.23
350472.87,6032261.32,-1.23
350473.33,6032232.66,-1.23
350471.48,6032235.06,-1.24
350470.93,6032235.67,-1.24
350471.98,6032234.45,-1.24
350472.47,6032233.82,-1.24
350474.68,6032263.27,-1.2
350475.24,6032263.86,-1.2
350475.81,6032264.42,-1.2
350476.73,6032265.32,-1.21
350474.05,6032262.59,-1.21
350474.36,6032231.43,-1.23
350476.16,6032228.97,-1.25
350477.45,6032226.88,-1.25
350476.68,6032228.11,-1.25
350474.9,6032230.84,-1.26
350475.37,6032230.19,-1.26
350481.27,6032270.49,-1.17
350479.83,6032268.7,-1.18
350479.07,6032267.81,-1.18
350480.76,6032269.85,-1.19
350478.55,6032267.19,-1.19
350478.01,6032266.6,-1.2
350480.58,6032221.6,-1.23
350480.08,6032222.37,-1.24
350477.93,6032226.11,-1.24
350481.02,6032220.95,-1.24
350478.5,6032225.16,-1.24
350479.21,6032223.89,-1.25
350479.59,6032223.22,-1.25
350484.64,6032275.43,-1.17
350483.72,6032274.09,-1.17
350483.28,6032273.38,-1.17
350484.17,6032274.76,-1.17
350481.84,6032271.24,-1.18
350482.84,6032272.67,-1.2
350482.32,6032271.9,-1.21
350482.74,6032218.33,-1.21
350483.18,6032217.69,-1.21
350483.61,6032217.05,-1.21
350484.15,6032216.23,-1.21
350484.94,6032215.17,-1.21
350481.88,6032219.62,-1.23
350482.3,6032218.98,-1.23
350481.45,6032220.27,-1.24
350486.24,6032277.76,-1.16
350485.78,6032277.08,-1.17
350485.17,6032276.19,-1.18
350486.85,6032278.62,-1.18
350487.56,6032279.52,-1.19
350488.06,6032280.14,-1.2
350487.57,6032212.27,-1.21
350485.88,6032214.08,-1.21
350488.57,6032211.2,-1.21
350486.41,6032213.51,-1.22
350486.95,6032212.92,-1.23
350488.59,6032280.76,-1.24
350492.37,6032207.07,-1.2
350490.84,6032208.69,-1.2
350490.01,6032209.61,-1.21
350491.75,6032207.72,-1.21
350489.48,6032210.19,-1.22
350490.79,6032283.27,-1.24
350489.13,6032281.35,-1.25
350489.67,6032281.96,-1.25
350491.33,6032283.88,-1.25
350490.19,6032282.58,-1.26
350491.88,6032284.49,-1.26
350492.42,6032285.08,-1.27
350493.06,6032206.34,-1.21
350495.78,6032203.12,-1.21
350494.97,6032204.15,-1.22
350493.62,6032205.76,-1.22
350494.43,6032204.83,-1.23
350493.13,6032285.87,-1.27
350494.13,6032286.96,-1.28
350495.21,6032288.14,-1.29
350494.67,6032287.55,-1.3
350495.76,6032288.74,-1.3
350497.86,6032200.66,-1.19
350496.41,6032202.36,-1.19
350497.35,6032201.26,-1.2
350498.83,6032199.54,-1.2
350499.32,6032198.96,-1.21
350497.31,6032290.44,-1.29
350496.38,6032289.42,-1.29
350499.23,6032292.54,-1.3
350498.71,6032291.97,-1.3
350500.1,6032293.46,-1.31
350497.83,6032291.02,-1.31
350503.52,6032193.7,-1.2
350500.16,6032197.9,-1.2
350503.02,6032194.3,-1.2
350502.33,6032195.18,-1.2
350501.48,6032196.24,-1.21
350500.98,6032196.86,-1.21
350502.52,6032296.39,-1.29
350501.58,6032295.19,-1.3
350503.16,6032297.19,-1.3
350500.86,6032294.31,-1.31
350504.65,6032192.3,-1.19
350504.01,6032193.09,-1.19
350505.15,6032191.7,-1.19
350505.74,6032191,-1.2
350506.3,6032190.31,-1.2
350507.39,6032188.89,-1.21
350506.78,6032189.68,-1.22
350506.21,6032301.33,-1.29
350506.64,6032302.16,-1.31
350507.55,6032303.65,-1.32
350507.11,6032302.95,-1.32
350504.1,6032298.31,-1.32
350504.59,6032298.91,-1.32
350505.62,6032300.28,-1.33
350505.1,6032299.54,-1.34
350511.34,6032182.93,-1.15
350510.91,6032183.68,-1.16
350510.57,6032184.35,-1.2
350509.43,6032186.11,-1.21
350508.67,6032187.17,-1.21
350508.19,6032187.82,-1.22
350509.95,6032185.38,-1.23
350508.49,6032305.23,-1.31
350508.89,6032305.93,-1.31
350511.37,6032309.99,-1.32
350510.87,6032309.22,-1.32
350510.44,6032308.55,-1.32
350507.96,6032304.33,-1.32
350509.3,6032306.65,-1.32
350509.83,6032307.54,-1.32
350512.31,6032181.59,-1.14
350513.07,6032180.77,-1.15
350511.77,6032182.3,-1.16
350513.8,6032180.05,-1.17
350514.61,6032179.27,-1.17
350512.01,6032310.92,-1.3
350512.59,6032311.67,-1.32
350513.66,6032312.99,-1.33
350513.1,6032312.29,-1.33
350514.14,6032313.63,-1.33
350514.7,6032314.38,-1.33
350518.4,6032175.9,-1.16
350517.43,6032176.68,-1.16
350516.66,6032177.34,-1.17
350515.76,6032178.2,-1.17
350515.19,6032178.74,-1.18
350518.01,6032318.69,-1.32
350516.25,6032316.41,-1.32
350518.63,6032319.52,-1.32
350515.2,6032315.02,-1.33
350516.81,6032317.13,-1.33
350517.3,6032317.77,-1.33
350515.76,6032315.76,-1.33
350519.15,6032175.37,-1.17
350522.17,6032173.28,-1.18
350520,6032174.79,-1.18
350520.96,6032174.16,-1.19
350521.98,6032324.14,-1.32
350519.81,6032321.1,-1.32
350519.32,6032320.44,-1.32
350522.62,6032325.11,-1.32
350520.3,6032321.74,-1.33
350521.55,6032323.41,-1.34
350520.81,6032322.37,-1.35
350523.08,6032172.62,-1.15
350524.14,6032171.92,-1.17
350526.33,6032170.24,-1.17
350525.53,6032170.89,-1.18
350524.8,6032171.44,-1.19
350525.64,6032328.91,-1.31
350524.53,6032327.62,-1.32
350523.46,6032326.26,-1.32
350526.29,6032329.58,-1.32
350525.12,6032328.32,-1.32
350524.02,6032326.98,-1.33
350527.43,6032169.26,-1.16
350529.84,6032167.07,-1.17
350528.42,6032168.38,-1.17
350529.25,6032167.62,-1.18
350529.89,6032332.9,-1.31
350528.48,6032331.59,-1.34
350526.87,6032330.11,-1.34
350529.07,6032332.12,-1.35
350527.9,6032331.03,-1.35
350531.6,6032165.34,-1.14
350533.55,6032163.31,-1.15
350533.03,6032163.88,-1.15
350532.47,6032164.46,-1.15
350531.05,6032165.89,-1.15
350530.48,6032166.45,-1.16
350530.5,6032333.41,-1.31
350531.17,6032333.82,-1.35
350533.78,6032335.51,-1.37
350532.92,6032334.81,-1.38
350532.19,6032334.32,-1.39
350535.46,6032161.15,-1.12
350534.71,6032161.97,-1.13
350534.13,6032162.64,-1.14
350536.02,6032160.56,-1.15
350537.2,6032159.34,-1.15
350536.58,6032159.98,-1.15
350536.58,6032338.26,-1.37
350537.19,6032339.19,-1.37
350537.62,6032339.84,-1.38
350534.63,6032336.22,-1.38
350536.13,6032337.64,-1.39
350535.37,6032336.83,-1.4
350538.92,6032157.45,-1.14
350540.02,6032156.2,-1.14
350540.9,6032155.36,-1.14
350539.48,6032156.78,-1.15
350538.29,6032158.18,-1.15
350537.75,6032158.77,-1.16
350539.38,6032344.57,-1.36
350539.54,6032345.52,-1.36
350540.46,6032349.11,-1.37
350540.18,6032348.24,-1.38
350539.73,6032346.44,-1.38
350538.13,6032340.7,-1.38
350539.97,6032347.45,-1.39
350539.25,6032343.73,-1.39
350540.75,6032349.84,-1.39
350541.11,6032350.67,-1.39
350538.58,6032341.6,-1.4
350539.06,6032342.92,-1.4
350545.08,6032151.69,-1.15
350542.5,6032153.9,-1.15
350541.73,6032154.58,-1.15
350543.78,6032152.79,-1.15
350544.38,6032152.26,-1.16
350543.18,6032153.3,-1.16
350544.84,6032359.63,-1.37
350544.51,6032358.89,-1.38
350543.85,6032357.3,-1.38
350541.5,6032351.65,-1.39
350542.21,6032353.38,-1.39
350544.19,6032358.12,-1.39
