X,Y,Z
300594,6063273,-22.8822994
300772.109,6063181.72,-22
300950.219,6063090.44,-22
301128.328,6062999.16,-22
301306.437,6062907.88,-22
301484.546,6062816.59,-21.9999943
301662.656,6062725.31,-21
301840.765,6062634.03,-22.1078148
302018.874,6062542.75,-24
302196.984,6062451.47,-24
302375.093,6062360.19,-24
302553.202,6062268.91,-24
302731.312,6062177.63,-23.9152012
302909.421,6062086.35,-24
303087.53,6061995.07,-24
303265.639,6061903.78,-24
303443.749,6061812.5,-23
303621.858,6061721.22,-23
303799.967,6061629.94,-24.2305489
303978.077,6061538.66,-26
304156.186,6061447.38,-26
304334.295,6061356.1,-25
304512.854,6061265.7,-25
304691.469,6061175.41,-24.7999077
304870.084,6061085.13,-25
305048.699,6060994.84,-24.2618637
305227.314,6060904.55,-23.6390076
305405.929,6060814.26,-23.891449
305584.544,6060723.97,-25
305763.158,6060633.69,-25
305941.773,6060543.4,-23.6783276
306120.388,6060453.11,-26.9999638
306299.003,6060362.82,-27
306477.618,6060272.54,-26.3458252
306656.233,6060182.25,-27
306834.848,6060091.96,-25.3344173
307013.463,6060001.67,-26.7132034
307192.077,6059911.39,-26
307370.692,6059821.1,-22.8817406
307549.307,6059730.81,-26
307727.922,6059640.52,-26
307905.701,6059548.62,-24.2461681
308082.666,6059455.14,-25.4747963
308259.631,6059361.66,-28
308436.596,6059268.18,-27.7686062
308613.562,6059174.7,-28
308790.527,6059081.22,-27.9426022
308967.492,6058987.74,-27
309144.457,6058894.26,-27
309321.422,6058800.78,-27
309498.388,6058707.3,-27
309675.353,6058613.82,-27
309852.318,6058520.34,-25.813221
310029.283,6058426.86,-26.0205345
310206.248,6058333.38,-29
310383.213,6058239.9,-28.8603001
310560.179,6058146.42,-26.76791
310737.144,6058052.94,-26
310914.109,6057959.46,-26
311090.806,6057865.49,-25.5706577
311264.994,6057766.93,-26
311439.182,6057668.37,-23.1844139
311613.37,6057569.82,-25.3965034
311787.558,6057471.26,-24
311961.746,6057372.7,-22.305336
312135.933,6057274.14,-27.8727589
312310.121,6057175.58,-28
312484.309,6057077.02,-27.9999962
312658.497,6056978.47,-26
312832.685,6056879.91,-25.148716
313006.873,6056781.35,-26
313181.061,6056682.79,-25.8667011
313355.249,6056584.23,-24.6401501
313529.436,6056485.67,-24
313703.624,6056387.12,-24
313877.812,6056288.56,-24
314052,6056190,-24.6439991
300870.515,6063383.31,-22
300693.538,6063446.23,-22
301015.561,6063241.54,-22
301186.003,6063164.15,-22
301355.838,6063073.99,-22
301530.649,6062987.02,-21.5414009
301705.585,6062896.12,-21
301882.73,6062804.47,-21
302044.173,6062741.95,-21
302195.045,6062645.53,-21.2212963
302404.71,6062560.25,-24
302583.718,6062466.12,-24
302760.275,6062374.8,-24
302935.594,6062285.2,-24
303110.402,6062195.29,-24
303284.639,6062105.4,-24
303458.824,6062015.41,-23
303632.97,6061926.11,-23
303809.207,6061834.34,-23
303974.982,6061744.6,-23
304116.367,6061652.62,-23.550127
304301.794,6061565.13,-25
304494.133,6061486.56,-25
304663.716,6061393.41,-25
304808.693,6061298.1,-25
304980.031,6061216.1,-25
305157.034,6061128.03,-25
305333.413,6061029.23,-25
305514.239,6060935.74,-25
305677.229,6060869.13,-25
305871.504,6060781.54,-25
306026.663,6060676.41,-24.5812092
306197.506,6060591.33,-24
306350.158,6060533.56,-25.1223488
306528.828,6060419.38,-27
306692.696,6060359.32,-27
306896.426,6060253.26,-27
307069.276,6060159.63,-26.1550999
307244.33,6060071.43,-26
307405.666,6060012.79,-26
307575.524,6059920.67,-26
307744.281,6059796.35,-26
307917.734,6059750.21,-25.6704998
308082.516,6059654.86,-25
308254.417,6059566.4,-25.0000973
308423.596,6059480.33,-27.7188587
308594.69,6059387.99,-28
308735.883,6059294.1,-28
308934.465,6059214.8,-27
309110.926,6059122.2,-27
309283.741,6059030.79,-27
309474.156,6058917.4,-27
309621.629,6058821.49,-27
309791.856,6058734.94,-27
309966.5,6058638.86,-27
310127.992,6058570.7,-27
310308.461,6058476.85,-27.0000305
310519.912,6058363.4,-29
310700.459,6058267.47,-26
310872.547,6058176.54,-26
311022.288,6058079.82,-26
311212.912,6058025.44,-26
311368.334,6057891.34,-26
311532.031,6057821.68,-26
311702.462,6057720.32,-24
311875.952,6057622.58,-24
312049.391,6057524.59,-24
312222.911,6057426.52,-24
312396.485,6057328.41,-25.7019806
312570.163,6057230.25,-26.2925034
312743.834,6057132.06,-26
312917.574,6057033.81,-26
313091.369,6056935.47,-26
313265.183,6056837.36,-26
313438.786,6056739.84,-24.9200077
313612.834,6056644.97,-24
313785.473,6056513.75,-24
313998.129,6056508.7,-24
314144.467,6056369.93,-24
300793.077,6063619.46,-22
301104.383,6063413.03,-22
301008.714,6063607.66,-22
301274.148,6063311.16,-22
301443.443,6063226.93,-22
301622.683,6063138.97,-21
301803.627,6063042.56,-21
301980.345,6062954.68,-21
302152.889,6062863.61,-21
302334.663,6062768.07,-21
302532.697,6062683.81,-23.614502
302677.472,6062586.29,-24
302852.457,6062498.45,-24
303025.294,6062410.86,-24
303196.903,6062322,-24
303369.044,6062232.88,-23.1574001
303538.626,6062144.43,-23
303708.719,6062055.42,-23
303881.927,6061968.84,-23
304054.857,6061870.43,-23
304227.387,6061771.92,-22.5739994
304381.029,6061709.02,-22
304568.161,6061655.19,-22.4728889
304720.699,6061527.86,-25
304873.766,6061464.39,-25
305036.093,6061376.89,-25
305192.776,6061316.53,-25
305355.082,6061235.97,-25
305538.855,6061120.06,-25
305731.403,6061014.6,-25
305883.036,6060959.08,-25
306043.605,6060879.15,-24.4117985
306200.003,6060766.14,-24
306372.301,6060712.14,-24
306557.911,6060598.92,-24
306709.032,6060544.04,-24.8077602
306868.948,6060463.37,-27
307030.504,6060376.38,-26.542799
307161.953,6060292.08,-26
307327.105,6060215.53,-26
307492.262,6060133.92,-26
307661.393,6060035.73,-26
307831.889,6059947,-26
308041.672,6059873.93,-25
308188.501,6059778.57,-25
308327.903,6059695.02,-25
308492.762,6059616.64,-25
308650.838,6059528.26,-26.2810001
308819.521,6059433.85,-27.6525993
308988.603,6059343.11,-27
309173.268,6059259.71,-27
309326.605,6059199.02,-27
309469.694,6059105.81,-27
309672.259,6059022.62,-27
309844.631,6058929.2,-27
310026.934,6058810.61,-27
310194.943,6058720.41,-27
310358.384,6058658.17,-27
310530.644,6058565.6,-27
310704.513,6058479.2,-22
310843.328,6058385.35,-25.424509
311014.274,6058295.28,-26
311162.791,6058196.17,-26
311404.04,6058080.22,-26
311291.407,6058298.46,-26
311585.524,6057976.06,-24.0000038
311759.01,6057875.59,-24
311931.907,6057778.29,-24
312104.717,6057680.81,-24
312277.581,6057583.2,-24
312450.649,6057485.51,-24
312623.683,6057387.81,-20.0001602
312797.058,6057289.88,-24.864975
312970.174,6057192.09,-26
313143.233,6057093.96,-26
313316.555,6056996.04,-26
313489.914,6056901.21,-24
313651.269,6056831,-24
313843.669,6056698.3,-24
313843.235,6056919.04,-24
314108.399,6056678.68,-24
313992.066,6056801.34,-24
314236.933,6056549.87,-24
301056.034,6063766.22,-17.2371655
300892.615,6063792.69,-16.8597031
301202.54,6063563.86,-22
301365.643,6063443.03,-22
301215.173,6063772.11,-17
301553.843,6063369.14,-21.3094025
301731.933,6063253.9,-21
301892.558,6063185.5,-21
302070.948,6063095.6,-21
302256.046,6062986.5,-21
302433.887,6062899.04,-21
302606.413,6062815.45,-21
302771.741,6062723.6,-22.4207535
302928.731,6062655,-24
303097.188,6062566.98,-19.9483185
303267.557,6062479.26,-24
303432.606,6062390.95,-23
303604.128,6062301.13,-21.0534325
303763.218,6062215.74,-23
303915.69,6062147.76,-23
304081.706,6062057.85,-23
304274.632,6061944.93,-22.1015034
304428.137,6061842.82,-22
304570.533,6061817.02,-22
304765.424,6061702.88,-22
304733.54,6061871.39,-21.9501991
304933.473,6061620.77,-23.5054951
305085.358,6061542.4,-25
305233.142,6061451.83,-25
305405.999,6061377.48,-25
305553.934,6061319.31,-25
305705.026,6061238.09,-25
305857.826,6061167.61,-25
305987.275,6061083.38,-24.9751015
306142.158,6061005.71,-24
306302.281,6060926.62,-24
306453.476,6060847.96,-24
306616.291,6060766.22,-24
306774.986,6060688.68,-24
306929.373,6060615.1,-24
307082.514,6060528.15,-23.7350693
307236.479,6060449.14,-26
307388.187,6060370.01,-26
307530.134,6060313.3,-26
307688.074,6060230.72,-26
307855.591,6060131.42,-26
308014.629,6060075.42,-25
308184.166,6059977.57,-25
308318.725,6059892,-25
308478.12,6059808.45,-25
308655.78,6059728.87,-25
308812.633,6059650.22,-24.164608
308972.164,6059560.71,-22.5122681
309135.607,6059472.57,-26.9195976
309295.962,6059400.83,-27
309434.742,6059311.24,-27
309607.892,6059223.38,-27
309797.091,6059143.11,-27
309937.936,6059048.31,-27
310106.003,6058962.2,-27
310276.336,6058873.47,-27
310447.314,6058784.72,-27
310619.228,6058695.17,-25.2779121
310788.385,6058605.52,-22
310957.833,6058512.33,-22
311124.883,6058421.27,-23.9879875
311501.658,6058252.65,-25.6625977
311651.231,6058145.11,-24
311369.99,6058492.97,-22
311198.442,6058582.5,-22
311538.411,6058403.01,-23.6452484
311819.908,6058049.78,-24
311991.15,6057953.26,-23.0286674
312163.087,6057856.48,-24
312335.232,6057759.4,-24
312507.586,6057662.23,-20.6485653
312680.585,6057565,-20
312852.774,6057467.91,-20
313025.901,6057369.74,-19.9030037
313199.573,6057272.66,-25.8976784
313369.768,6057178.62,-22.3210335
313533.851,6057086.84,-24
313694.312,6057019.91,-24
313925.281,6057085.75,-24
313771.624,6057179.46,-24
314063.354,6056969.71,-24
314201.35,6056847.36,-24
314329.4,6056729.8,-23.5538998
300992.154,6063965.92,-17
301208.948,6063967.26,-17
301370.417,6063655.69,-22
301539.802,6063552.5,-21.4497833
301375.095,6063898.16,-17
301490.614,6063759.44,-15.6917133
