#Bulk Export - Points as recorded,,,,,
,A4261005,A4261006,A4260526,A4260570,A4260571
,Lake Alexandrina at Goolwa Barrage Daily,Lake Alexandrina at Tauwitchere Barrage Daily,Lake Alexandrina at Mundoo Barrage Daily,Lake Alexandrina at Boundary Creek Barrage Daily,Lake Alexandrina at Ewe Island Barrage Daily
,Discharge.Total Barrage Flow--Daily Totals (ML),Discharge.Total Barrage Flow--Daily Totals (ML),Discharge.Total Barrage Flow--Daily Totals (ML),Discharge.Total Barrage Flow--Daily Total (ML),Discharge.Total Barrage Flow--Daily Totals (ML)
Timestamp (UTC+09:30),Value (m^3/s),Value (m^3/s),Value (m^3/s),Value (m^3/s),Value (m^3/s)
2011-01-02 00:00:00,98.7163,291.7266,100.0045,0,119.5978
2011-01-03 00:00:00,99.6791,316.8876,104.6163,0,127.4748
2011-01-04 00:00:00,102.0528,376.2184,109.4206,0,122.8701
2011-01-05 00:00:00,93.0112,309.7118,100.4205,0.0071,113.2521
2011-01-06 00:00:00,98.2283,426.0941,107.8,0.0073,117.4347
2011-01-07 00:00:00,82.4924,311.0287,95.4772,0.0396,98.3755
2011-01-08 00:00:00,73.302,227.9796,86.0514,0.0446,90.3564
2011-01-09 00:00:00,88.7549,268.223,93.8605,0,104.7396
2011-01-10 00:00:00,88.9013,342.5168,101.2515,0,109.2322
2011-01-11 00:00:00,81.2613,279.7366,89.3249,0,95.5687
2011-01-12 00:00:00,64.5993,300.921,83.0447,0,83.5762
2011-01-13 00:00:00,55.7713,278.6812,84.6213,0,92.526
2011-01-14 00:00:00,52.933,310.2672,87.1831,0,95.3429
2011-01-15 00:00:00,51.6894,311.2681,92.2943,0,98.1871
2011-01-16 00:00:00,39.6166,211.5325,74.4517,0.0194,76.098
2011-01-17 00:00:00,35.9614,184.6966,61.7567,0.0852,68.3211
2011-01-18 00:00:00,47.3078,249.6333,78.9947,0.1098,93.032
2011-01-19 00:00:00,60.2617,285.4598,90.074,0.1015,109.9226
2011-01-20 00:00:00,61.5163,353.7779,96.7677,0.0753,109.1988
2011-01-21 00:00:00,44.3241,142.1267,39.2449,0.1739,77.9553
2011-01-22 00:00:00,56.128,313.9279,33.5069,0.0592,107.7365
2011-01-23 00:00:00,61.3103,339.2249,30.5899,0.0035,105.962
2011-01-24 00:00:00,53.3558,256.963,29.8842,0.0058,93.5096
2011-01-25 00:00:00,58.2847,244.4103,31.0132,0.0025,91.6981
2011-01-26 00:00:00,44.1509,282.0124,30.7212,0.0003,99.6868
2011-01-27 00:00:00,43.6303,275.6098,30.9347,0,100.2024
2011-01-28 00:00:00,43.4369,301.8694,32.799,0,105.312
2011-01-29 00:00:00,49.2104,339.9949,37.5277,0,101.6593
2011-01-30 00:00:00,50.8154,297.3142,49.3126,0.0072,94.5897
2011-01-31 00:00:00,43.1932,263.7717,45.0401,0.0228,89.6751
2011-02-01 00:00:00,30.5886,162.9844,48.9054,0.0537,86.0299
2011-02-02 00:00:00,45.2763,300.6904,52.5487,0.0204,106.6315
2011-02-03 00:00:00,48.0933,275.9244,49.9616,0.0165,103.8272
2011-02-04 00:00:00,35.8381,230.3127,47.5763,0.0266,85.9951
2011-02-05 00:00:00,31.8667,146.5696,44.9841,0.0774,66.7781
2011-02-06 00:00:00,45.6715,218.5309,46.4396,0.0569,101.8439
2011-02-07 00:00:00,59.912,308.5225,53.1365,0,117.0427
2011-02-08 00:00:00,53.1163,297.8912,57.6723,0,91.9166
2011-02-09 00:00:00,50.0882,307.6708,65.8294,0,90.7808
2011-02-10 00:00:00,42.9795,256.9546,64.0702,0,82.8794
2011-02-11 00:00:00,39.4778,106.3259,59.7375,0,64.5194
2011-02-12 00:00:00,59.024,22.6671,69.3681,0,65.2221
2011-02-13 00:00:00,65.8059,28.912,67.9231,0,76.3056
2011-02-14 00:00:00,68.1805,61.4253,61.1031,0,81.784
2011-02-15 00:00:00,71.5452,123.4625,48.0753,0,88.4427
2011-02-16 00:00:00,77.7021,148.346,49.0789,0,106.1139
2011-02-17 00:00:00,67.2965,189.6444,44.1997,0.0425,122.2929
2011-02-18 00:00:00,65.7981,220.7826,44.0293,0,147.0222
2011-02-19 00:00:00,50.148,180.0435,52.3111,0.0735,105.6744
2011-02-20 00:00:00,54.4993,140.4008,40.3879,0.2164,89.457
2011-02-21 00:00:00,91.3129,201.2641,30.4708,0,122.0149
2011-02-22 00:00:00,110.8103,323.3883,55.9715,0,160.8971
2011-02-23 00:00:00,97.396,443.3093,53.0698,0,149.701
2011-02-24 00:00:00,76.0826,425.2327,50.9897,0,134.8648
2011-02-25 00:00:00,76.3029,406.3001,52.7687,0,131.7722
2011-02-26 00:00:00,80.8867,364.4732,52.1392,0,129.6916
2011-02-27 00:00:00,69.9831,239.6792,46.4616,0.0095,121.749
2011-02-28 00:00:00,77.3833,303.8999,58.736,0,122.335
2011-03-01 00:00:00,64.9442,266.1482,48.0873,0,120.0514
2011-03-02 00:00:00,84.7877,422.8511,17.0236,0,140.1413
2011-03-03 00:00:00,62.3692,358.0239,30.2047,0,123.5497
2011-03-04 00:00:00,54.6103,329.5199,24.5934,0,130.0542
2011-03-05 00:00:00,53.003,387.308,23.8241,0,134.1837
2011-03-06 00:00:00,37.1975,418.8914,31.6308,0,121.0493
2011-03-07 00:00:00,33.572,377.117,26.6277,0.0036,117.5368
2011-03-08 00:00:00,33.8277,266.8467,37.1336,0.0891,104.6691
2011-03-09 00:00:00,30.2542,236.2492,48.5561,0.0562,112.7721
2011-03-10 00:00:00,47.4657,299.6141,51.1956,0,130.5904
2011-03-11 00:00:00,46.8039,426.6923,46.7563,0,136.83
2011-03-12 00:00:00,31.7061,410.2026,41.415,0,126.1985
2011-03-13 00:00:00,35.3686,277.9465,48.9827,0,118.9086
2011-03-14 00:00:00,57.9865,372.0591,40.4375,0,144.1229
2011-03-15 00:00:00,39.0881,339.5105,53.6959,0,117.3199
2011-03-16 00:00:00,39.4669,347.3399,43.3598,0,134.6885
2011-03-17 00:00:00,41.0378,384.7031,32.5142,0,134.2324
2011-03-18 00:00:00,40.2717,386.0321,47.9993,0,132.532
2011-03-19 00:00:00,29.991,371.8018,47.8619,0,120.3406
2011-03-20 00:00:00,33.1771,361.4447,51.8864,0,114.2561
2011-03-21 00:00:00,19.3203,170.7851,45.5705,0.1039,90.3763
2011-03-22 00:00:00,21.6004,259.5562,52.2719,0.1233,86.6191
2011-03-23 00:00:00,13.3957,127.7486,25.984,0.2197,45.5517
2011-03-24 00:00:00,27.7193,185.9827,40.1841,0.136,82.3436
2011-03-25 00:00:00,49.3757,361.5727,52.2139,0,134.3516
2011-03-26 00:00:00,63.5025,379.596,51.9262,0,141.0409
2011-03-27 00:00:00,61.4528,440.5609,53.4763,0,137.1825
2011-03-28 00:00:00,53.9553,445.8212,54.5196,0,125.7711
2011-03-29 00:00:00,52.7572,409.3441,54.2643,0,117.878
2011-03-30 00:00:00,33.3765,333.1857,46.0531,0,116.6875
2011-03-31 00:00:00,69.5357,368.1882,39.0865,0,123.8899
2011-04-01 00:00:00,83.8876,377.6366,39.7928,0,117.1783
2011-04-02 00:00:00,127.2724,348.5644,47.5459,0,116.4042
2011-04-03 00:00:00,123.9518,359.2836,52.0897,0,115.9143
2011-04-04 00:00:00,119.3829,346.419,50.724,0,118.4585
2011-04-05 00:00:00,105.6537,390.4319,48.235,0,118.0062
2011-04-06 00:00:00,99.4413,391.5009,51.4695,0,113.1797
2011-04-07 00:00:00,109.2671,387.3934,53.4431,0,109.9
2011-04-08 00:00:00,105.8143,377.9622,51.9534,0.0761,107.7166
2011-04-09 00:00:00,50.0357,179.8594,32.6381,0.2852,60.7204
2011-04-10 00:00:00,61.1561,71.6458,6.2605,0.3249,69.9675
2011-04-11 00:00:00,148.8905,305.1276,38.4929,0,129.119
2011-04-12 00:00:00,155.553,437.6804,48.976,0,131.797
2011-04-13 00:00:00,147.3576,413.0566,54.3679,0,130.4906
2011-04-14 00:00:00,146.5554,349.3838,56.7963,0,125.1767
2011-04-15 00:00:00,153.167,336.3569,52.4725,0,127.6793
2011-04-16 00:00:00,141.1027,327.0588,51.1325,0,131.301
2011-04-17 00:00:00,136.4479,422.36,47.3416,0,123.675
2011-04-18 00:00:00,126.7597,373.4014,40.4279,0.0868,112.8562
2011-04-19 00:00:00,124.2841,316.2176,53.1056,0.1321,104.0427
2011-04-20 00:00:00,123.3805,275.3699,41.3406,0.4061,99.3639
2011-04-21 00:00:00,98.1937,259.958,44.3848,0.5064,86.6453
2011-04-22 00:00:00,125.3009,258.533,49.3528,0.3567,97.7016
2011-04-23 00:00:00,161.881,355.5824,54.5888,0.1162,123.3415
2011-04-24 00:00:00,166.9159,384.1811,48.4992,0,134.4429
2011-04-25 00:00:00,150.4029,379.5054,48.467,0,133.4158
2011-04-26 00:00:00,136.8745,352.5626,26.9002,0,127.8631
2011-04-27 00:00:00,141.3625,398.339,45.0712,0,128.6841
2011-04-28 00:00:00,144.0772,407.6528,31.6996,0,126.1115
2011-04-29 00:00:00,128.8413,342.7688,16.7225,0,102.1472
2011-04-30 00:00:00,140.7448,288.7839,29.6997,0.0121,95.131
2011-05-01 00:00:00,150.2464,229.3398,52.0053,0.0991,89.4017
2011-05-02 00:00:00,153.7002,254.7225,52.815,0.1396,92.2385
2011-05-03 00:00:00,143.3608,281.7236,49.2602,0.1587,97.5338
2011-05-04 00:00:00,132.0966,282.6996,48.2882,0.1291,89.3053
2011-05-05 00:00:00,139.6349,315.7087,50.3222,0.119,83.4533
2011-05-06 00:00:00,140.5871,321.0906,52.494,0.0981,85.6006
2011-05-07 00:00:00,133.7136,295.3484,46.1045,0.1514,78.0072
2011-05-08 00:00:00,145.6507,262.7739,42.9998,0.1604,77.1878
2011-05-09 00:00:00,143.6764,295.4445,28.3586,0.0119,87.908
2011-05-10 00:00:00,98.4733,232.5242,22.2553,0.0668,57.3028
2011-05-11 00:00:00,61.3411,49.3096,25.9679,0.091,24.559
2011-05-12 00:00:00,112.4706,198.2897,46.69,0.0341,57.7016
2011-05-13 00:00:00,136.3778,196.839,49.3843,0.0253,73.9137
2011-05-14 00:00:00,161.5257,302.6393,39.882,0,99.7054
2011-05-15 00:00:00,147.1125,358.3315,34.8107,0,98.0048
2011-05-16 00:00:00,128.9018,345.0536,49.0985,0,82.7893
2011-05-17 00:00:00,124.6955,343.8239,47.7218,0,77.5441
2011-05-18 00:00:00,111.6259,279.909,48.3989,0.1237,64.0473
2011-05-19 00:00:00,98.7623,252.2385,45.6551,0.1296,60.8604
2011-05-20 00:00:00,87.11,211.2765,37.1887,0.1907,51.8396
2011-05-21 00:00:00,101.4057,231.3089,43.1579,0.1321,52.1944
2011-05-22 00:00:00,66.7735,140.4799,30.8287,1.1243,24.8282
2011-05-23 00:00:00,40.4447,36.2381,0,0.5776,22.3044
2011-05-24 00:00:00,157.1302,143.3184,1.2801,0.1992,73.3653
2011-05-25 00:00:00,164.6334,308.9219,23.7851,0,83.7627
