#Bulk Export - Points every 1 day(s),,,,,,
,,A4261005,A4260526,A4260570,A4260571,A4261006
,,Lake Alexandrina at Goolwa Barrage Daily,Lake Alexandrina at Mundoo Barrage Daily,Lake Alexandrina at Boundary Creek Barrage Daily,Lake Alexandrina at Ewe Island Barrage Daily,Lake Alexandrina at Tauwitchere Barrage Daily
,,Discharge.Total Barrage Flow--Daily Totals (ML),Discharge.Total Barrage Flow--Daily Totals (ML),Discharge.Total Barrage Flow--Daily Total (ML),Discharge.Total Barrage Flow--Daily Totals (ML),Discharge.Total Barrage Flow--Daily Totals (ML)
Start of Interval (UTC+09:30),End of Interval (UTC+09:30),Total (m^3),Total (m^3),Total (m^3),Total (m^3),Total (m^3)
2022-01-01 12:00:00,2022-01-02 12:00:00,1153337.2678195057,61053.230478278245,167408.54565840948,68543.4057731494,12278342.421710331
2022-01-02 12:00:00,2022-01-03 12:00:00,1059746.157987407,57544.35670653441,156635.69445887074,64330.65008937877,10119362.257425435
2022-01-03 12:00:00,2022-01-04 12:00:00,1131780.0047464184,58605.110353250406,146773.40309151576,64908.10232898331,11376062.737166576
2022-01-04 12:00:00,2022-01-05 12:00:00,1103325.7240184322,58132.51752072707,124050.68542444942,64464.21914814974,12841499.887851886
2022-01-05 12:00:00,2022-01-06 12:00:00,1064468.1508280975,57486.99637615423,113045.4493947037,64634.2937334714,15144291.09207077
2022-01-06 12:00:00,2022-01-07 12:00:00,1055904.0642641196,57160.773102773615,111928.03015869542,65357.23627826381,15017095.309716173
2022-01-07 12:00:00,2022-01-08 12:00:00,1212868.979033377,60135.80544564505,127686.0647337666,67895.14166476393,12945975.672554668
2022-01-08 12:00:00,2022-01-09 12:00:00,1456230.29341911,66960.71344811027,168815.2443685754,73624.8058798288,17232832.682540327
2022-01-09 12:00:00,2022-01-10 12:00:00,1522993.9303535097,68876.99120125899,188694.59194171906,75530.3208180601,21794356.049400605
2022-01-10 12:00:00,2022-01-11 12:00:00,1515743.388438303,458862.5575794567,195184.1310476377,1317141.474265961,22107691.61136415
2022-01-11 12:00:00,2022-01-12 12:00:00,1434958.2752485396,1117630.3725233474,188137.29897400417,3480099.072844873,20165934.324296676
2022-01-12 12:00:00,2022-01-13 12:00:00,1260793.447644331,1323047.4121942918,153596.38650021222,4153402.3206010233,17079878.22483264
2022-01-13 12:00:00,2022-01-14 12:00:00,1128855.5868529924,988906.5106686573,121374.1124366615,3793713.2370875506,14597509.08277625
2022-01-14 12:00:00,2022-01-15 12:00:00,1202832.5003436636,388828.4626570386,126598.90004989435,3903276.7985342424,15129172.247171367
2022-01-15 12:00:00,2022-01-16 12:00:00,1218632.522393055,58059.78525869787,127731.51952082817,3974577.5674693407,15447007.530386709
2022-01-16 12:00:00,2022-01-17 12:00:00,1093766.7709472817,55505.48263043897,114290.27401642018,3198517.708777935,13971007.021790618
2022-01-17 12:00:00,2022-01-18 12:00:00,1094128.9565948239,55545.09379954732,111256.86610231941,2193034.7162103383,12938719.67732849
2022-01-18 12:00:00,2022-01-19 12:00:00,1245410.4423126692,59312.38953962194,123882.89913304067,2048010.4918970042,15215179.516366739
2022-01-19 12:00:00,2022-01-20 12:00:00,1437506.4739071801,64667.8162114274,153045.11968279694,2494016.005997551,17707346.64043813
2022-01-20 12:00:00,2022-01-21 12:00:00,1526874.9218430778,67103.67365734986,166030.49700731027,2886257.359428558,16519452.262871075
2022-01-21 12:00:00,2022-01-22 12:00:00,1478248.1781695876,66090.6417225918,154802.0886666645,3090865.7920731436,15492918.218718909
2022-01-22 12:00:00,2022-01-23 12:00:00,1385006.610204917,63683.63406819202,141029.42316743432,2966344.3480406124,14959482.265192255
2022-01-23 12:00:00,2022-01-24 12:00:00,1373569.435116303,63276.903871344504,144917.10267585178,2807036.6321796244,14733172.297999024
2022-01-24 12:00:00,2022-01-25 12:00:00,1361406.977135697,63082.98342256897,144793.84396995069,2678288.514774545,14497967.656733025
2022-01-25 12:00:00,2022-01-26 12:00:00,1264686.098438167,60280.85815504605,126579.57947714576,2461395.112059626,14393963.167471144
2022-01-26 12:00:00,2022-01-27 12:00:00,1184500.2935043518,58707.83962185963,126164.07655505894,2332384.896871754,14900545.559517771
2022-01-27 12:00:00,2022-01-28 12:00:00,1111913.8149413858,56542.66033411705,119775.20546546757,2173437.937051803,13762364.342433339
2022-01-28 12:00:00,2022-01-29 12:00:00,1136764.9359570667,55688.96885355663,110510.74100236711,2060699.6941203778,12590892.661019817
2022-01-29 12:00:00,2022-01-30 12:00:00,1268788.7320580604,58746.251934197644,121783.17132648375,2231384.2525613336,14277162.11803621
2022-01-30 12:00:00,2022-01-31 12:00:00,1261162.7090319577,58822.55190163422,119462.9893313286,2340326.979169906,15364547.096213423
2022-01-31 12:00:00,2022-02-01 12:00:00,1039707.6530415431,50324.19723275535,85121.15596537023,2019927.3660023636,11786927.80834392
2022-02-01 12:00:00,2022-02-02 12:00:00,1011432.8881026241,48799.879757830386,83294.43289452192,2001787.8159747669,11022994.865104575
2022-02-02 12:00:00,2022-02-03 12:00:00,1163505.634407423,54563.43965496069,102908.36394600794,2208798.6657866645,13384555.835018191
2022-02-03 12:00:00,2022-02-04 12:00:00,1255296.1328412206,56814.78196112728,107410.58285932368,2313370.160119174,14444010.914003357
2022-02-04 12:00:00,2022-02-05 12:00:00,1328153.0462920468,59036.116944942274,116467.30958200217,2742177.4557809117,16411071.343117349
2022-02-05 12:00:00,2022-02-06 12:00:00,1372067.966979257,60737.16857760992,125355.15961415035,3118645.75271766,18221278.64160325
2022-02-06 12:00:00,2022-02-07 12:00:00,1713095.0383691154,452365.25649761315,134965.9143469933,3265936.13585666,18717605.859498963
2022-02-07 12:00:00,2022-02-08 12:00:00,2104985.5352856545,1064132.8673629223,129156.71494542513,3225162.122838491,16901613.9504299
2022-02-08 12:00:00,2022-02-09 12:00:00,1839714.9488907764,1097126.6639635875,100404.41929470452,2535108.2506740754,12223860.151523747
2022-02-09 12:00:00,2022-02-10 12:00:00,1610164.3536648843,956522.7717705911,83076.38650925888,1981490.4047242256,8915020.72170974
2022-02-10 12:00:00,2022-02-11 12:00:00,1874970.3244773569,1429603.7895287753,92878.15493659905,2263346.9811844476,9462850.686381485
2022-02-11 12:00:00,2022-02-12 12:00:00,2139034.913631269,2147064.215792652,104877.81000739144,2677840.204630907,11258222.784063436
2022-02-12 12:00:00,2022-02-13 12:00:00,2204929.703322402,2408038.3520841477,103594.02235570418,2869455.23332783,12466286.656445442
2022-02-13 12:00:00,2022-02-14 12:00:00,2034556.1598842402,2256038.705269914,86365.81590030342,2745480.932612877,11554680.496755783
2022-02-14 12:00:00,2022-02-15 12:00:00,1925332.6011137748,2138290.347242521,76814.43454943137,2617443.441813397,10603197.896023706
2022-02-15 12:00:00,2022-02-16 12:00:00,1910459.2831980456,2123117.9051030576,75648.2398392518,2620049.859326346,10666098.848477747
2022-02-16 12:00:00,2022-02-17 12:00:00,1747239.0515225772,1969375.8227685527,67885.4847542597,2447106.9001277885,9815529.259197585
2022-02-17 12:00:00,2022-02-18 12:00:00,1483820.8526672546,1680435.1570819416,58756.16096211665,1948135.4198339884,7644728.789224964
2022-02-18 12:00:00,2022-02-19 12:00:00,1496386.5272118826,1618160.0091488983,72614.5311968367,1837383.414656967,7289695.985478572
2022-02-19 12:00:00,2022-02-20 12:00:00,1471924.2425675574,1556442.0266146571,77176.77119905679,1873589.9136539465,7417070.9921506625
2022-02-20 12:00:00,2022-02-21 12:00:00,1431570.1122629151,1494376.887432876,74483.7745784166,1758519.4280669685,6892115.541845089
2022-02-21 12:00:00,2022-02-22 12:00:00,1674593.8406013376,1770219.1686772946,92614.81403596203,1980371.679564993,7779787.915458413
2022-02-22 12:00:00,2022-02-23 12:00:00,1787864.6424054569,2212483.2206307184,95721.81375836514,2149983.206546761,8505572.483039994
2022-02-23 12:00:00,2022-02-24 12:00:00,1750690.8088213443,2370957.1240385156,78622.22843123914,2105395.706388853,7991739.790366659
2022-02-24 12:00:00,2022-02-25 12:00:00,1813734.0874341188,2333848.911260101,76497.00696677304,2165914.470420869,7966080.925255822
2022-02-25 12:00:00,2022-02-26 12:00:00,1956006.1358116805,2803842.966105544,87847.68543995706,2449861.9635166265,9286612.439889673
2022-02-26 12:00:00,2022-02-27 12:00:00,1980221.8089794987,3176709.5485967016,87415.01722129845,2602376.4589214907,9882601.883093098
2022-02-27 12:00:00,2022-02-28 12:00:00,2009989.9820299828,3210053.7625492397,94604.0905894608,2600712.299962853,9791971.352387574
2022-02-28 12:00:00,2022-03-01 12:00:00,2232382.360826577,3482295.708582403,101439.56531617258,2576989.0633338448,9695166.53657417
2022-03-01 12:00:00,2022-03-02 12:00:00,2592958.866879733,4249469.080824231,100635.03380131122,2601760.6388299703,9772829.291473906
2022-03-02 12:00:00,2022-03-03 12:00:00,2855131.385534021,5119821.306115098,107165.53646091298,3506385.268528413,10359822.872141292
2022-03-03 12:00:00,2022-03-04 12:00:00,2626533.0482528256,4731574.511227485,96022.2527028441,3753374.2241657665,9398337.772796592
2022-03-04 12:00:00,2022-03-05 12:00:00,2193954.027519099,3596991.8603595085,66316.98949231007,2798062.486973664,6998253.567227779
2022-03-05 12:00:00,2022-03-06 12:00:00,2412890.733573831,3602503.7886607097,67926.93441306203,2783511.147363985,6193864.1286708675
2022-03-06 12:00:00,2022-03-07 12:00:00,2995133.1420897334,4370503.86614375,80910.20474776524,3281709.1811030214,7433395.450480556
2022-03-07 12:00:00,2022-03-08 12:00:00,3428028.068760437,4665704.112582585,78122.68014605719,3388953.6554304743,8107451.581291771
2022-03-08 12:00:00,2022-03-09 12:00:00,3935241.112955424,5128708.122325854,86929.86843057515,3850559.370946736,9455567.249831885
2022-03-09 12:00:00,2022-03-10 12:00:00,4397569.159219482,5897101.9088635035,99715.34469976122,4800417.970055023,12435458.259108763
2022-03-10 12:00:00,2022-03-11 12:00:00,4321537.1127852965,5715341.175428046,100095.59333362181,5357531.524306525,13684647.0704601
2022-03-11 12:00:00,2022-03-12 12:00:00,3860669.3561799093,4879373.933199109,95680.05119367217,5462736.556556346,12908448.169837642
2022-03-12 12:00:00,2022-03-13 12:00:00,3501652.2286548754,4369470.273781253,93108.14243273744,3667506.0026889825,11433472.009111792
2022-03-13 12:00:00,2022-03-14 12:00:00,3353885.289560491,4216315.1625736095,88621.43878879046,976504.0435443276,10383043.166184932
2022-03-14 12:00:00,2022-03-15 12:00:00,3358562.675458212,4244155.740886608,96976.09149249061,68823.91056259257,10305244.45089208
2022-03-15 12:00:00,2022-03-16 12:00:00,3309541.0820993846,4222454.215194196,107987.62725742495,69064.37008857488,10288855.540208053
2022-03-16 12:00:00,2022-03-17 12:00:00,3086507.913487941,3911556.242526877,87423.71761605334,66602.13912136319,9298898.432430334
2022-03-17 12:00:00,2022-03-18 12:00:00,2785762.834147771,3560045.8451178214,68770.33263137875,63262.149301794685,8033989.29384037
2022-03-18 12:00:00,2022-03-19 12:00:00,2804469.3737547486,3617361.5738216005,78691.17528109983,63879.51234233979,8238980.568351756
2022-03-19 12:00:00,2022-03-20 12:00:00,2732613.022655673,3523301.711872953,71880.2138715128,63246.56823531358,8101998.916915311
2022-03-20 12:00:00,2022-03-21 12:00:00,2460113.774227948,3188808.456209441,58110.22525943421,59549.33917861676,7358301.835869767
2022-03-21 12:00:00,2022-03-22 12:00:00,2439939.0785551895,3190440.081515588,59928.44730954061,59551.102175078035,7452386.775980707
2022-03-22 12:00:00,2022-03-23 12:00:00,2482561.248500933,3288913.6080750427,62883.16837608842,60917.49174837754,7587527.215004374
2022-03-23 12:00:00,2022-03-24 12:00:00,2572280.266576631,3396222.675156798,67061.96520106096,61763.8238706415,7949867.061094441
2022-03-24 12:00:00,2022-03-25 12:00:00,2603329.919445595,3061836.510647704,576276.7956036087,62192.99270908124,7871440.832157711
2022-03-25 12:00:00,2022-03-26 12:00:00,2712617.6859079734,2290762.359199006,1526040.5254178992,62976.66512016297,7989031.692973891
2022-03-26 12:00:00,2022-03-27 12:00:00,2771490.2683589207,1905188.304215991,1949875.56815407,63719.27988377268,8467796.741213027
2022-03-27 12:00:00,2022-03-28 12:00:00,2629214.1433061,2240211.699074628,1433911.2127758663,62627.68880483761,8052851.593039901
2022-03-28 12:00:00,2022-03-29 12:00:00,2546800.1880418295,2949270.9943894353,493722.1404534471,61702.00141887038,7473438.9312481675
2022-03-29 12:00:00,2022-03-30 12:00:00,2461063.8653855766,3213515.417995949,45180.368870582926,60621.66878485403,6827837.486436393
2022-03-30 12:00:00,2022-03-31 12:00:00,2514410.738111237,3192299.2409899915,42557.43800191686,59758.85441971363,6178534.03980366
2022-03-31 12:00:00,2022-04-01 12:00:00,2931145.881943304,3613576.0736353067,51289.05106387292,62877.43361000267,7856817.512310473
2022-04-01 12:00:00,2022-04-02 12:00:00,3231318.881063369,4001940.2124197977,53988.14426787532,66091.94147300051,10853745.913146235
2022-04-02 12:00:00,2022-04-03 12:00:00,3010933.6762678577,3861489.8514049733,45302.05526131642,65049.859401212816,11627537.23924125
2022-04-03 12:00:00,2022-04-04 12:00:00,2431545.677365095,3037106.821910234,38890.516283086836,63003.6145946489,9956452.761678759
2022-04-04 12:00:00,2022-04-05 12:00:00,1798299.4381896984,2086679.4297866374,39585.28702084002,62001.53833284751,8295977.914220912
2022-04-05 12:00:00,2022-04-06 12:00:00,1387999.1061538756,1623448.5599415612,37448.00502594707,57607.29765167109,6987133.135635771
2022-04-06 12:00:00,2022-04-07 12:00:00,1396767.63093587,1603971.2260185254,38023.19957500085,57434.558642219024,6206064.654673952
2022-04-07 12:00:00,2022-04-08 12:00:00,1635517.3994434632,1854093.2499468657,46781.2151534084,62900.034632933006,7133016.456801197
2022-04-08 12:00:00,2022-04-09 12:00:00,1798700.864157931,2029605.8632705077,59888.10291524281,65609.43327387323,8494927.43750346
2022-04-09 12:00:00,2022-04-10 12:00:00,1717206.6332820724,1949610.1292090644,57478.72352711943,64489.65157206432,8363459.852891998
2022-04-10 12:00:00,2022-04-11 12:00:00,1583914.8716499503,1803672.1035684631,49399.596531528376,62178.00485097301,7358703.930568419
2022-04-11 12:00:00,2022-04-12 12:00:00,1863279.509524541,2055332.1942968383,62798.296111220676,65502.68697565398,9323392.962538691
2022-04-12 12:00:00,2022-04-13 12:00:00,2161947.0943657965,2347598.502644057,73873.24243260353,69348.00051234303,12685019.784956673
2022-04-13 12:00:00,2022-04-14 12:00:00,2060260.5523660542,1898123.651082092,68756.66531126335,68727.98670274444,13288050.439155757
2022-04-14 12:00:00,2022-04-15 12:00:00,1752567.8798457128,718869.79301983,59413.388496583895,65188.25272273226,11246504.141479667
2022-04-15 12:00:00,2022-04-16 12:00:00,1578457.8842243627,43923.81625359907,60190.5166479713,62833.51726674229,9546151.750276582
2022-04-16 12:00:00,2022-04-17 12:00:00,1469678.608707442,41725.54131655075,61352.8650105924,59017.441444997035,8857901.838210786
2022-04-17 12:00:00,2022-04-18 12:00:00,1353296.519980356,38370.950009986016,54199.1381291664,55173.4769853843,7752500.76536743
2022-04-18 12:00:00,2022-04-19 12:00:00,1296348.9858492534,36623.377777168396,49022.33498667572,53466.70566768346,7111152.500274139
2022-04-19 12:00:00,2022-04-20 12:00:00,1258896.4877296719,35467.44105571837,48110.59125345981,51230.580358366125,7186955.389275835
2022-04-20 12:00:00,2022-04-21 12:00:00,1318008.4531740043,37487.2299625142,55956.461464737484,208404.47629481604,7498733.708798122
2022-04-21 12:00:00,2022-04-22 12:00:00,1536031.0609334572,1104544.5841911484,70441.16867481529,1420860.5427400598,7928527.846567115
2022-04-22 12:00:00,2022-04-23 12:00:00,1839353.8395502004,3097169.973439367,77789.25268478866,3308857.5844455143,9102738.009588078
2022-04-23 12:00:00,2022-04-24 12:00:00,2066522.8677227912,4220216.00190392,81102.5778687816,4532453.367048919,10986698.623999331
2022-04-24 12:00:00,2022-04-25 12:00:00,2050932.7993975324,4272386.290181602,80232.98840728289,4731795.6018403135,11750910.007572768
2022-04-25 12:00:00,2022-04-26 12:00:00,1952291.813602163,4128063.1242624875,81164.82688433837,4313637.932568806,11438199.05288915
2022-04-26 12:00:00,2022-04-27 12:00:00,1979636.7229803114,4137149.4501834544,87959.14485760304,4118559.927001835,11376376.70159702
2022-04-27 12:00:00,2022-04-28 12:00:00,1929756.7076425492,4032096.1192499306,85243.02874791191,4039587.0605712654,11320217.370163094
2022-04-28 12:00:00,2022-04-29 12:00:00,1427902.7663451275,3257519.4717635093,62528.97075642613,2989028.6771370717,9015471.674708685
2022-04-29 12:00:00,2022-04-30 12:00:00,934862.8580901807,2522106.365060704,40293.89105068912,1762766.7249182528,5728316.424802707
2022-04-30 12:00:00,2022-05-01 12:00:00,1008227.7775211838,2664375.5695577366,42339.227615573924,1776854.4196876667,5286226.968518021
2022-05-01 12:00:00,2022-05-02 12:00:00,1028371.3452341682,3173519.353775518,53550.25900530329,2212299.426593589,6457673.622107929
2022-05-02 12:00:00,2022-05-03 12:00:00,689441.1086542825,3271655.1012323904,54901.10658984612,2189471.6591353025,7100312.1411601165
2022-05-03 12:00:00,2022-05-04 12:00:00,334654.97177933494,2565143.021235874,41076.08059409681,1650329.4744535792,5737402.295685272
2022-05-04 12:00:00,2022-05-05 12:00:00,284997.25383797457,2405687.443501418,38651.171434107506,1499803.160289168,5046356.692272022
2022-05-05 12:00:00,2022-05-06 12:00:00,411578.55017214245,3048840.5455143545,51108.21055901762,1973307.1836580643,6992987.969508519
2022-05-06 12:00:00,2022-05-07 12:00:00,314517.07701085624,3429012.291755162,56542.41541376568,2323217.676903273,10169849.282095103
2022-05-07 12:00:00,2022-05-08 12:00:00,255217.70134131468,3641425.342829858,68998.8795653485,2758877.651956684,12967054.89794025
2022-05-08 12:00:00,2022-05-09 12:00:00,859614.8501690459,4416865.941172396,82232.02994109878,3205359.3717049537,14090156.474422235
2022-05-09 12:00:00,2022-05-10 12:00:00,1593172.2538803725,5040756.794185733,78813.6499354137,3272246.774459383,14149748.9377098
2022-05-10 12:00:00,2022-05-11 12:00:00,1689365.7789805422,4726946.266112821,69841.18377517076,3012731.660499004,13252413.137075838
2022-05-11 12:00:00,2022-05-12 12:00:00,1545952.1253242497,4317271.835172811,65477.71436074392,2687927.082916159,12041459.588705178
2022-05-12 12:00:00,2022-05-13 12:00:00,1332203.7666680398,4384955.973145641,69265.85559104892,2747511.910066321,12321282.772039842
2022-05-13 12:00:00,2022-05-14 12:00:00,711967.2623059666,3692087.0696075847,61850.98878992026,2414715.4997208966,11254217.046160463
2022-05-14 12:00:00,2022-05-15 12:00:00,181415.7349202099,1807814.1578413574,34874.05031701851,1310107.9457236128,6235197.832769127
2022-05-15 12:00:00,2022-05-16 12:00:00,53057.03034328415,481933.5978941942,19895.648375563804,679039.8027766547,2576084.5810992215
2022-05-16 12:00:00,2022-05-17 12:00:00,94225.22738202763,295812.5485478898,30898.195176428337,979026.3078534396,3504695.897088683
2022-05-17 12:00:00,2022-05-18 12:00:00,201607.59879850864,857757.627979995,45627.019948770205,1462139.153197085,5571196.91691513
2022-05-18 12:00:00,2022-05-19 12:00:00,622285.6093826535,2839245.0710946713,65954.24137341797,2182888.0417053225,8183132.010125609
2022-05-19 12:00:00,2022-05-20 12:00:00,1543187.7714315695,4965174.705457072,94580.37468667625,3144762.251733141,11868070.930487473
2022-05-20 12:00:00,2022-05-21 12:00:00,2045018.1418999466,5496310.70565994,98287.00875842353,3530426.4219096825,13792243.836733531
2022-05-21 12:00:00,2022-05-22 12:00:00,1989587.1891067913,5414889.57535205,85294.98325113443,3545242.8530259845,14544947.748946294
2022-05-22 12:00:00,2022-05-23 12:00:00,1984047.7870606305,5424138.400387378,80632.26411194942,3615860.9756686823,15243359.49113274
