Site,WQ_DIAG_SDG_CRS03,WQ_DIAG_SDG_CRS10,WQ_DIAG_SDG_CRS20,WQ_DIAG_SDG_EC15,WQ_DIAG_SDG_PASS03,WQ_DIAG_SDG_PASS10,WQ_DIAG_SDG_PASS20,WQ_DIAG_SDG_PH15,WQ_DIAG_SDG_TFE03,WQ_DIAG_SDG_TFE10,WQ_DIAG_SDG_TFE20,WQ_DIAG_SDG_TN,WQ_DIAG_SDG_TN03,WQ_DIAG_SDG_TN10,WQ_DIAG_SDG_TN20,WQ_DIAG_SDG_TOC,WQ_DIAG_SDG_TOC03,WQ_DIAG_SDG_TOC10,WQ_DIAG_SDG_TOC20,WQ_DIAG_SDG_TP,WQ_DIAG_SDG_TP03,WQ_DIAG_SDG_TP10,WQ_DIAG_SDG_TP20,
Parnka_Point_A,x,x, ,x,x,x, ,x,x,x, ,x,x,x, ,x,x,x, ,x,x,x, ,
Parnka_Point_B,x,x, ,x,x,x, ,x,x,x, ,x,x,x, ,x,x,x, ,x,x,x, ,
Parnka_Point_C,x,x, ,x,x,x, ,x,x,x, ,x,x,x, , ,x,x, ,x,x,x, ,
Parnka_Point_D,x,x, ,x,x,x, ,x,x,x, ,x,x,x, ,x,x,x, ,x,x,x, ,
Parnka_Point_E,x,x, ,x,x,x, ,x,x,x, ,x,x,x, ,x,x,x, ,x,x,x, ,
Policemans_Point_A, , , ,x, , , ,x, , , ,x, , , ,x, , , ,x, , , ,
Policemans_Point_B, , , ,x, , , ,x, , , , , , , , , , , ,x, , , ,
Policemans_Point_C, , , ,x, , , ,x, , , ,x, , , ,x, , , ,x, , , ,
Policemans_Point_D, , , ,x, , , ,x, , , ,x, , , , , , , ,x, , , ,
Policemans_Point_E, , , ,x, , , ,x, , , , , , , , , , , ,x, , , ,
Near_Swan_Island_A, , , ,x, , , ,x, , , ,x, , , , , , , ,x, , , ,
Near_Swan_Island_B, , , ,x, , , ,x, , , ,x, , , , , , , ,x, , , ,
Near_Swan_Island_C, , , ,x, , , ,x, , , ,x, , , ,x, , , ,x, , , ,
Near_Swan_Island_D, , , ,x, , , ,x, , , , , , , , , , , ,x, , , ,
Near_Swan_Island_E, , , ,x, , , ,x, , , ,x, , , ,x, , , ,x, , , ,
South_of_Salt_Creek_A, , , ,x, , , ,x, , , ,x, , , ,x, , , ,x, , , ,
South_of_Salt_Creek_B, , , ,x, , , ,x, , , ,x, , , , , , , ,x, , , ,
South_of_Salt_Creek_C, , , ,x, , , ,x, , , ,x, , , ,x, , , ,x, , , ,
South_of_Salt_Creek_D, , , ,x, , , ,x, , , ,x, , , ,x, , , ,x, , , ,
South_of_Salt_Creek_E, , , ,x, , , ,x, , , ,x, , , ,x, , , ,x, , , ,
Policemans_Point,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x, ,x,x,x, ,x,x,x,
Parnka_Point,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x, ,x,x,x, ,x,x,x,
Villa_de_Yumpa,x, , ,x,x, , ,x,x, , , ,x, , , ,x, , , ,x, , ,
