X,Y,Label,Description
321234,6058552,A4261134,The Coorong at Pelican Point
345913,6038164,A4260572,The Coorong at Robs Point
355214,6025721,A4260633,Coorong at Parnka Point
312929,6062353,A4261043,Coorong Channel near Beacon 1 (Ewe Island Shacks)
333682,6048236,A4261135,The Coorong at Long Point
367468,6013904,A4261209,Coorong near Woods Well
374735,6003080,A4261165,The Coorong NW Snipe Island
