SampleCode,Sampled_Date_Time,Field_ID,Blank1,Depth,Blank2,Matrix_Type,Sample_Type,Parent_Sample,Blank3,SDG,Lab_Name,Lab_SampleID,Lab_Comments,Lab_Report_Number
EM2216763001,30-Aug-22 11:17,"Murray Mouth",,,,WATER,Normal,,01-Sep-22,41793,ALSE-Melbourne,EM2216763001,,EM2216763
EM2216763002,30-Aug-22 12:37,"Mark Point",,,,WATER,Normal,,01-Sep-22,41793,ALSE-Melbourne,EM2216763002,,EM2216763
EM2216763003,31-Aug-22 10:56,"Parnka Point",,,,WATER,Normal,,01-Sep-22,41793,ALSE-Melbourne,EM2216763003,,EM2216763
EM2216763004,31-Aug-22 10:06,"Villa De Yumpa",,,,WATER,Normal,,01-Sep-22,41793,ALSE-Melbourne,EM2216763004,,EM2216763
EM2216763005,31-Aug-22 09:43,"Stoney Well",,,,WATER,Normal,,01-Sep-22,41793,ALSE-Melbourne,EM2216763005,,EM2216763
EM2216763006,31-Aug-22 09:13,"North Jacks Point",,,,WATER,Normal,,01-Sep-22,41793,ALSE-Melbourne,EM2216763006,,EM2216763
EM2216763007,31-Aug-22 08:53,"South Policeman Point",,,,WATER,Normal,,01-Sep-22,41793,ALSE-Melbourne,EM2216763007,,EM2216763
EM2216763008,31-Aug-22 08:37,"Snipe Point",,,,WATER,Normal,,01-Sep-22,41793,ALSE-Melbourne,EM2216763008,,EM2216763
EM2216763009,31-Aug-22 07:59,"Salt Creek Outlet",,,,WATER,Normal,,01-Sep-22,41793,ALSE-Melbourne,EM2216763009,,EM2216763
EM2216763010,31-Aug-22 08:15,"1.8km west of Salt Creek",,,,WATER,Normal,,01-Sep-22,41793,ALSE-Melbourne,EM2216763010,,EM2216763
QC-4556428-002_EM2216763,02-Sep-22 09:24,,,,,WATER,LCS,,,,ALSE-Melbourne,QC-4556428-002,,EM2216763
QC-4556428-006_EM2216763,30-Aug-22 12:37,,,,,WATER,MS,EM2216763002,,,ALSE-Melbourne,QC-4556428-006,,EM2216763,
QC-4556428-016_EM2216763,30-Aug-22 12:07,,,,,WATER,LAB_D,EM2216764001_EM2216763,,,ALSE-Melbourne,QC-4556428-016,,EM2216763,
QC-4556429-006_EM2216763,30-Aug-22 12:37,,,,,WATER,MS,EM2216763002,,,ALSE-Melbourne,QC-4556429-006,,EM2216763,
QC-4556429-015_EM2216763,31-Aug-22 08:15,,,,,WATER,LAB_D,EM2216763010,,,ALSE-Melbourne,QC-4556429-015,,EM2216763,
QC-4556430-007_EM2216763,30-Aug-22 12:37,,,,,WATER,MS,EM2216763002,,,ALSE-Melbourne,QC-4556430-007,,EM2216763,
QC-4556430-015_EM2216763,31-Aug-22 07:59,,,,,WATER,LAB_D,EM2216763009,,,ALSE-Melbourne,QC-4556430-015,,EM2216763,
QC-4557550-001_EM2216763,02-Sep-22 14:31,,,,,WATER,MB,,,,ALSE-Melbourne,QC-4557550-001,,EM2216763
QC-4557550-002_EM2216763,02-Sep-22 14:31,,,,,WATER,LCS,,,,ALSE-Melbourne,QC-4557550-002,,EM2216763
QC-4557550-004_EM2216763,30-Aug-22 11:17,,,,,WATER,LAB_D,EM2216763001,,,ALSE-Melbourne,QC-4557550-004,,EM2216763,
QC-4557550-014_EM2216763,31-Aug-22 08:15,,,,,WATER,LAB_D,EM2216763010,,,ALSE-Melbourne,QC-4557550-014,,EM2216763,
