File Name,File Path,Site Name,Var Name,Units,Date,Val
00104054_S-53.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\AWQC Results\AWQC spreadsheets,EPA - Villa de Yumpa,Phosphorus - Total,mg/L,21/01/2020 11:15:00 AM,0.2330
00104054_S-53.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\AWQC Results\AWQC spreadsheets,EPA - Villa de Yumpa,TKN as Nitrogen,mg/L,21/01/2020 11:15:00 AM,6.3600
00104054_S-53.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\AWQC Results\AWQC spreadsheets,EPA - Villa de Yumpa,Chlorophyll a,µg/L,21/01/2020 11:15:00 AM,65.8000
00104054_S-53.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\AWQC Results\AWQC spreadsheets,EPA - Villa de Yumpa,Phaeophytin a,µg/L,21/01/2020 11:15:00 AM,15.6000
00104054_S-53.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\AWQC Results\AWQC spreadsheets,EPA - Villa de Yumpa,Alkalinity as Calcium Carbonate,mg/L,21/01/2020 11:15:00 AM,214.0000
00104054_S-53.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\AWQC Results\AWQC spreadsheets,EPA - Villa de Yumpa,Bicarbonate,mg/L,21/01/2020 11:15:00 AM,261.0000
00104054_S-53.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\AWQC Results\AWQC spreadsheets,EPA - Villa de Yumpa,Carbonate,mg/L,21/01/2020 11:15:00 AM,0.0000
00104054_S-53.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\AWQC Results\AWQC spreadsheets,EPA - Villa de Yumpa,Hydroxide,mg/L,21/01/2020 11:15:00 AM,0.0000
00104054_S-53.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\AWQC Results\AWQC spreadsheets,EPA - Villa de Yumpa,Chloride,mg/L,21/01/2020 11:15:00 AM,55100.0000
00104054_S-53.csv,C:\Users\00065525\Github\CDM\data\incoming\DEW\wq\WQ_HCHB_Phase1\AWQC Results\AWQC spreadsheets,EPA - Villa de Yumpa,pH,pH units,21/01/2020 11:15:00 AM,7.9000
