Var,1,2,3,4,5,6,7,8,9,10,11,12,
SAL,19.9240,27.4572,0.0000,29.5180,23.3154,26.6473,0.0000,0.0000,89.6096,0.0000,108.8434,63.5137,
TEMP,19.6136,19.5353,0.0000,19.5349,20.1359,19.2159,0.0000,0.0000,18.7600,0.0000,19.4289,19.2945,
TRACE_1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_TRC_AGE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_NCS_SS1,14.3600,0.0000,11.0060,17.0346,12.5110,13.5000,0.0000,11.6510,28.9800,0.0000,23.3900,15.2200,
WQ_OXY_OXY,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
WQ_SIL_RSI,28.8256,0.0000,10.6762,8.6121,6.0498,17.4377,0.0000,0.0000,64.0569,0.0000,11.0320,55.8719,
WQ_NIT_AMM,0.5714,Unknown,0.3571,0.3571,0.4286,1.7143,0.0000,0.0000,0.3571,0.0000,0.3571,0.3571,
WQ_NIT_NIT,1.0714,Unknown,0.4286,0.8143,0.3929,0.9643,0.0000,0.2143,0.2143,0.0000,0.2143,0.2143,
WQ_PHS_FRP,0.0968,Unknown,0.1290,0.1097,0.0968,0.0968,0.0000,0.0000,0.0968,0.0000,0.0968,0.0968,
WQ_PHS_FRP_ADS,0.0097,Unknown,0.0129,0.0110,0.0097,0.0097,0.0000,0.0000,0.0097,0.0000,0.0097,0.0097,
WQ_OGM_DOC,0.0000,Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
WQ_OGM_POC,0.0000,Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
WQ_OGM_DON,39.6789,Unknown,15.1685,36.6908,19.5205,31.1356,0.0000,0.0000,137.3127,0.0000,134.6029,76.8070,
WQ_OGM_PON,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,60.2083,
WQ_OGM_DOP,0.9837,Unknown,0.4761,1.1271,0.5621,0.7550,0.0000,0.0000,3.4400,0.0000,3.4322,2.8450,
WQ_OGM_POP,1.2296,Unknown,0.5951,1.4089,0.7027,0.9438,0.0000,0.0000,4.3000,0.0000,4.2902,3.5562,
WQ_PHY_GRN,45.3542,Unknown,13.3333,40.7333,18.1417,11.5160,0.0000,41.6250,104.9231,0.0000,126.5385,108.4667,
WQ_DIAG_TOT_TN,79.2857,Unknown,32.1429,73.5714,40.0000,67.1429,0.0000,0.0000,278.5714,0.0000,274.2857,271.4286,
WQ_DIAG_TOT_TP,2.5806,Unknown,1.3548,3.0000,1.5484,2.0968,0.0000,0.0000,9.0968,0.0000,9.0645,7.5806,
