Site,Acidity_CACO3,Bicarbonate,Carbonate,Chloride,Conductivity,Fixed_solids,Hydroxide,TEMP,WQ_DIAG_PHY_TCHLA,WQ_DIAG_TOT_TDS,WQ_DIAG_TOT_TKN,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TOC,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TSS,WQ_DIAG_TOT_TURBIDITY,WQ_NIT_AMM,WQ_NIT_NIT,WQ_OGM_DOC,WQ_PHS_FRP,WQ_SIL_RSI,pH,
AWQC_EPA_Villa_de_Yumpa,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
AWQC_EPA_Tauwitchere,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
AWQC_EPA_Long_Point,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
AWQC_EPA_Nth_Jack_Point,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
AWQC_EPA_12_South_Salt_Creek,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
AWQC_EPA_32km_South_Salt_Creek,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
AWQC_EPA_Snipe_Point,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
AWQC_EPA_Seagull_Island,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
AWQC_EPA_18km_West_Salt_Creek,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
AWQC_EPA_Parnka_Point_Boat_Ramp,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
AWQC_EPA_Stoney_Well,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
AWQC_EPA_McGrath_Flat_North,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
AWQC_EPA_Morella_Creek_at_guage,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
AWQC_Tilley_Swamp_Drain_DS_Northern_Outlet,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
ALS_Tilley_Swamp_Drain_US_Morella,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
AWQC_Tilley_Swamp_Watercourse_Outlet_Channel, , , , , , , , , ,x,x,x, ,x, , ,x,x, ,x, , ,
