ISOTime, GHI, cloudsAve, cloudsMedian,cloudsLinear, cloudsMin
01/02/2016 00:00:00,0.0000, 0.0936, 0.0031, 0.0253, 0.0031
01/02/2016 01:00:00,0.0000, 0.0936, 0.0031, 0.0253, 0.0031
01/02/2016 02:00:00,0.0000, 0.0936, 0.0031, 0.0253, 0.0031
01/02/2016 03:00:00,0.0000, 0.0936, 0.0031, 0.0253, 0.0031
01/02/2016 04:00:00,0.0000, 0.0936, 0.0031, 0.0253, 0.0031
01/02/2016 05:00:00,0.0000, 0.0936, 0.0031, 0.0253, 0.0031
01/02/2016 06:00:00,0.0000, 0.0936, 0.0031, 0.0253, 0.0031
01/02/2016 07:00:00,162.0725, 0.1360, 0.1360, 0.1360, 0.1360
01/02/2016 08:00:00,393.1530, 0.4134, 0.4134, 0.4134, 0.4134
01/02/2016 09:00:00,616.5483, 0.0031, 0.0031, 0.0031, 0.0031
01/02/2016 10:00:00,810.8046, 0.0031, 0.0031, 0.0031, 0.0031
01/02/2016 11:00:00,960.0397, 0.0031, 0.0031, 0.0031, 0.0031
01/02/2016 12:00:00,1052.6358, 0.0031, 0.0031, 0.0031, 0.0031
01/02/2016 13:00:00,1081.5275, 0.0031, 0.0031, 0.0031, 0.0031
01/02/2016 14:00:00,1044.5278, 0.0143, 0.0143, 0.0143, 0.0143
01/02/2016 15:00:00,944.4390, 0.0253, 0.0253, 0.0253, 0.0253
01/02/2016 16:00:00,788.9108, 0.0518, 0.0518, 0.0518, 0.0518
01/02/2016 17:00:00,590.0981, 0.0989, 0.0989, 0.0989, 0.0989
01/02/2016 18:00:00,364.4245, 0.1562, 0.1562, 0.1562, 0.1562
01/02/2016 19:00:00,134.5589, 0.6955, 0.6955, 0.6955, 0.6955
01/02/2016 20:00:00,0.0000, 0.4800, 0.6444, 0.6912, 0.0031
01/02/2016 21:00:00,0.0000, 0.4800, 0.6444, 0.6870, 0.0031
