Site,WQ_DIAG_NCS_fs001,WQ_DIAG_NCS_fs002,WQ_DIAG_NCS_fs003,WQ_DIAG_NCS_fs004,WQ_DIAG_NCS_fs005,WQ_DIAG_NCS_fs006,WQ_DIAG_NCS_fs007,
N39E,x,x,x,x,x,x,x,
S06E,x,x,x,x,x,x,x,
S02E,x,x,x,x,x,x,x,
N04E,x,x,x,x,x,x,x,
SC,x,x,x,x,x,x,x,
S21E,x,x,x,x,x,x,x,
N52E,x,x,x,x,x,x,x,
