Site,Latitude,Longitude,OldLat,OldLon
Policeman Point Boat Ramp 1,-36.04998611,139.5788889," 36° 2'59.95""S","139°34'44.11""E"
Policeman Point Boat Ramp 2,-36.050875,139.5777778," 36° 3'3.15""S","139°34'40.25""E"
Villa dei Yumpa,-35.93324167,139.4838889," 35°55'59.67""S","139°29'2.02""E"
