Plot Title: Logger1,,,,,,,,
#,"Date Time, GMT+09:30","DO conc, mg/L (LGR S/N: 20158049, SEN S/N: 20158049, LBL: DOLogger1)","Temp, °C (LGR S/N: 20158049, SEN S/N: 20158049, LBL: TempLogger1)","DO Adj Conc, mg/L (LGR S/N: 20158049)","DO Percent Sat, % (LGR S/N: 20158049)",Coupler Attached (LGR S/N: 20158049),Stopped (LGR S/N: 20158049),End Of File (LGR S/N: 20158049)
1,09/22/21 05:00:00 PM,16.59,16.28,12.85,167.3,,,
2,09/22/21 05:15:00 PM,16.49,16.28,12.78,166.3,,,
3,09/22/21 05:30:00 PM,16.33,16.28,12.65,164.7,,,
4,09/22/21 05:45:00 PM,16.27,16.24,12.6,163.9,,,
5,09/22/21 06:00:00 PM,16.16,16.18,12.52,162.6,,,
6,09/22/21 06:15:00 PM,15.99,16.14,12.38,160.7,,,
7,09/22/21 06:30:00 PM,15.81,16.14,12.25,158.9,,,
8,09/22/21 06:45:00 PM,15.52,16.14,12.02,156,,,
9,09/22/21 07:00:00 PM,15.27,16.16,11.83,153.6,,,
10,09/22/21 07:15:00 PM,15.06,16.16,11.66,151.5,,,
11,09/22/21 07:30:00 PM,14.84,16.18,11.49,149.3,,,
12,09/22/21 07:45:00 PM,14.65,16.18,11.35,147.4,,,
13,09/22/21 08:00:00 PM,14.45,16.16,11.19,145.3,,,
14,09/22/21 08:15:00 PM,14.23,16.1,11.02,142.9,,,
15,09/22/21 08:30:00 PM,14.13,16.06,10.94,141.8,,,
16,09/22/21 08:45:00 PM,13.73,16.02,10.63,137.7,,,
17,09/22/21 09:00:00 PM,13.7,15.96,10.61,137.2,,,
18,09/22/21 09:15:00 PM,13.44,15.88,10.4,134.4,,,
19,09/22/21 09:30:00 PM,13.3,15.84,10.29,132.9,,,
20,09/22/21 09:45:00 PM,13.02,15.84,10.08,130.1,,,
21,09/22/21 10:00:00 PM,12.81,15.78,9.91,127.8,,,
22,09/22/21 10:15:00 PM,12.6,15.74,9.75,125.6,,,
23,09/22/21 10:30:00 PM,12.33,15.72,9.54,122.9,,,
24,09/22/21 10:45:00 PM,12.14,15.7,9.39,120.9,,,
25,09/22/21 11:00:00 PM,11.85,15.68,9.17,118,,,
26,09/22/21 11:15:00 PM,11.55,15.66,8.94,114.9,,,
27,09/22/21 11:30:00 PM,11.31,15.64,8.75,112.5,,,
28,09/22/21 11:45:00 PM,11.12,15.58,8.6,110.5,,,
29,09/23/21 12:00:00 AM,10.77,15.54,8.33,106.9,,,
30,09/23/21 12:15:00 AM,10.69,15.46,8.27,105.9,,,
31,09/23/21 12:30:00 AM,10.53,15.42,8.14,104.2,,,
32,09/23/21 12:45:00 AM,10.29,15.36,7.96,101.7,,,
33,09/23/21 01:00:00 AM,9.98,15.32,7.72,98.6,,,
34,09/23/21 01:15:00 AM,9.8,15.3,7.58,96.8,,,
35,09/23/21 01:30:00 AM,9.51,15.26,7.35,93.8,,,
36,09/23/21 01:45:00 AM,9.23,15.22,7.14,91,,,
37,09/23/21 02:00:00 AM,9.08,15.18,7.02,89.4,,,
38,09/23/21 02:15:00 AM,8.99,15.14,6.95,88.5,,,
39,09/23/21 02:30:00 AM,8.86,15.1,6.85,87.1,,,
40,09/23/21 02:45:00 AM,8.59,15.08,6.64,84.4,,,
41,09/23/21 03:00:00 AM,8.43,15.02,6.51,82.7,,,
42,09/23/21 03:15:00 AM,8.37,14.94,6.47,82,,,
43,09/23/21 03:30:00 AM,8.34,14.88,6.44,81.6,,,
44,09/23/21 03:45:00 AM,8.5,14.8,6.57,83,,,
45,09/23/21 04:00:00 AM,8.79,14.74,6.79,85.8,,,
46,09/23/21 04:15:00 AM,8.92,14.66,6.89,86.9,,,
47,09/23/21 04:30:00 AM,8.86,14.62,6.84,86.2,,,
48,09/23/21 04:45:00 AM,8.79,14.6,6.79,85.5,,,
49,09/23/21 05:00:00 AM,8.89,14.54,6.86,86.4,,,
50,09/23/21 05:15:00 AM,8.6,14.46,6.64,83.4,,,
51,09/23/21 05:30:00 AM,8.55,14.42,6.6,82.8,,,
52,09/23/21 05:45:00 AM,8.45,14.36,6.52,81.8,,,
53,09/23/21 06:00:00 AM,8.48,14.34,6.54,82,,,
54,09/23/21 06:15:00 AM,8.4,14.32,6.48,81.2,,,
55,09/23/21 06:30:00 AM,8.52,14.26,6.57,82.3,,,
56,09/23/21 06:45:00 AM,8.52,14.22,6.57,82.2,,,
57,09/23/21 07:00:00 AM,8.58,14.18,6.62,82.7,,,
58,09/23/21 07:15:00 AM,8.79,14.18,6.78,84.7,,,
59,09/23/21 07:30:00 AM,9.14,14.18,7.05,88.1,,,
60,09/23/21 07:45:00 AM,9.33,14.14,7.2,89.8,,,
61,09/23/21 08:00:00 AM,9.61,14.14,7.41,92.5,,,
62,09/23/21 08:15:00 AM,9.91,14.12,7.64,95.4,,,
63,09/23/21 08:30:00 AM,10.21,14.14,7.88,98.3,,,
64,09/23/21 08:45:00 AM,10.33,14.18,7.97,99.6,,,
65,09/23/21 09:00:00 AM,10.54,14.24,8.13,101.7,,,
66,09/23/21 09:15:00 AM,10.67,14.32,8.23,103.2,,,
67,09/23/21 09:30:00 AM,10.87,14.46,8.39,105.4,,,
68,09/23/21 09:45:00 AM,11.2,14.62,8.65,109,,,
69,09/23/21 10:00:00 AM,11.48,14.8,8.87,112.1,,,
70,09/23/21 10:15:00 AM,11.69,14.96,9.03,114.6,,,
71,09/23/21 10:30:00 AM,11.92,15.1,9.21,117.2,,,
72,09/23/21 10:45:00 AM,12.32,15.28,9.53,121.6,,,
73,09/23/21 11:00:00 AM,12.66,15.46,9.79,125.4,,,
74,09/23/21 11:15:00 AM,12.63,15.66,9.77,125.7,,,
75,09/23/21 11:30:00 AM,13.07,15.86,10.12,130.6,,,
76,09/23/21 11:45:00 AM,13.46,16.06,10.42,135.1,,,
77,09/23/21 12:00:00 PM,13.59,16.26,10.53,137,,,
78,09/23/21 12:15:00 PM,14.22,16.5,11.02,144,,,
79,09/23/21 12:30:00 PM,14.17,16.72,10.99,144.2,,,
80,09/23/21 12:45:00 PM,14.66,16.92,11.37,149.8,,,
81,09/23/21 01:00:00 PM,14.79,17.08,11.48,151.6,,,
82,09/23/21 01:15:00 PM,15.25,17.26,11.84,157,,,
83,09/23/21 01:30:00 PM,15.67,17.46,12.17,161.9,,,
84,09/23/21 01:45:00 PM,16.01,17.66,12.44,166.1,,,
85,09/23/21 02:00:00 PM,16.45,17.84,12.78,171.3,,,
86,09/23/21 02:15:00 PM,16.73,17.96,13.01,174.7,,,
87,09/23/21 02:30:00 PM,16.88,18.08,13.12,176.7,,,
88,09/23/21 02:45:00 PM,17.27,18.2,13.43,181.2,,,
89,09/23/21 03:00:00 PM,17.75,18.34,13.81,186.8,,,
90,09/23/21 03:15:00 PM,18.22,18.44,14.18,192.1,,,
91,09/23/21 03:30:00 PM,18.32,18.52,14.26,193.5,,,
92,09/23/21 03:45:00 PM,18.53,18.6,14.42,196,,,
93,09/23/21 04:00:00 PM,18.67,18.64,14.53,197.7,,,
94,09/23/21 04:15:00 PM,18.88,18.68,14.7,200.1,,,
95,09/23/21 04:30:00 PM,18.68,18.7,14.54,198,,,
96,09/23/21 04:45:00 PM,18.82,18.72,14.65,199.6,,,
97,09/23/21 05:00:00 PM,18.65,18.7,14.52,197.7,,,
98,09/23/21 05:15:00 PM,18.53,18.64,14.42,196.2,,,
99,09/23/21 05:30:00 PM,18.34,18.58,14.27,193.9,,,
100,09/23/21 05:45:00 PM,17.91,18.54,13.94,189.2,,,
101,09/23/21 06:00:00 PM,17.71,18.48,13.78,186.9,,,
102,09/23/21 06:15:00 PM,17.29,18.4,13.45,182.2,,,
103,09/23/21 06:30:00 PM,17.16,18.34,13.35,180.6,,,
104,09/23/21 06:45:00 PM,17.22,18.28,13.39,181,,,
105,09/23/21 07:00:00 PM,16.6,18.24,12.91,174.3,,,
106,09/23/21 07:15:00 PM,16.46,18.2,12.8,172.7,,,
107,09/23/21 07:30:00 PM,16.12,18.16,12.54,169,,,
108,09/23/21 07:45:00 PM,16,18.1,12.44,167.5,,,
109,09/23/21 08:00:00 PM,15.6,18.04,12.13,163.2,,,
110,09/23/21 08:15:00 PM,16.23,17.94,12.62,169.4,,,
111,09/23/21 08:30:00 PM,15.73,17.84,12.22,163.8,,,
112,09/23/21 08:45:00 PM,15.82,17.78,12.29,164.6,,,
113,09/23/21 09:00:00 PM,16.27,17.7,12.64,169,,,
114,09/23/21 09:15:00 PM,16.11,17.64,12.52,167.1,,,
115,09/23/21 09:30:00 PM,15.89,17.56,12.34,164.6,,,
116,09/23/21 09:45:00 PM,15.6,17.48,12.12,161.3,,,
117,09/23/21 10:00:00 PM,15.46,17.4,12,159.6,,,
118,09/23/21 10:15:00 PM,15.24,17.3,11.83,157,,,
119,09/23/21 10:30:00 PM,15.17,17.22,11.78,156,,,
120,09/23/21 10:45:00 PM,14.63,17.2,11.36,150.4,,,
121,09/23/21 11:00:00 PM,14.58,17.18,11.32,149.8,,,
122,09/23/21 11:15:00 PM,14.45,17.08,11.21,148.2,,,
123,09/23/21 11:30:00 PM,14.28,16.96,11.08,146.1,,,
124,09/23/21 11:45:00 PM,14.06,16.98,10.91,143.9,,,
125,09/24/21 12:00:00 AM,13.39,16.96,10.39,136.9,,,
126,09/24/21 12:15:00 AM,13.71,16.9,10.64,140,,,
127,09/24/21 12:30:00 AM,13.86,16.82,10.75,141.3,,,
128,09/24/21 12:45:00 AM,13.82,16.76,10.72,140.8,,,
129,09/24/21 01:00:00 AM,13,16.68,10.08,132.2,,,
130,09/24/21 01:15:00 AM,13.53,16.6,10.49,137.3,,,
131,09/24/21 01:30:00 AM,13.06,16.54,10.12,132.4,,,
132,09/24/21 01:45:00 AM,12.93,16.46,10.02,130.9,,,
133,09/24/21 02:00:00 AM,12.44,16.36,9.64,125.6,,,
134,09/24/21 02:15:00 AM,12.7,16.16,9.84,127.7,,,
135,09/24/21 02:30:00 AM,12.54,16.1,9.71,126,,,
136,09/24/21 02:45:00 AM,12.59,16.06,9.75,126.4,,,
137,09/24/21 03:00:00 AM,11.79,15.96,9.13,118.1,,,
138,09/24/21 03:15:00 AM,11.82,15.86,9.15,118.1,,,
139,09/24/21 03:30:00 AM,11.54,15.78,8.93,115.1,,,
140,09/24/21 03:45:00 AM,12,15.62,9.28,119.3,,,
141,09/24/21 04:00:00 AM,11.71,15.54,9.06,116.2,,,
142,09/24/21 04:15:00 AM,11.64,15.5,9,115.4,,,
143,09/24/21 04:30:00 AM,11.27,15.46,8.72,111.7,,,
144,09/24/21 04:45:00 AM,11.26,15.42,8.71,111.5,,,
145,09/24/21 05:00:00 AM,11.14,15.42,8.62,110.3,,,
146,09/24/21 05:15:00 AM,10.95,15.4,8.47,108.4,,,
147,09/24/21 05:30:00 AM,10.83,15.38,8.38,107.1,,,
148,09/24/21 05:45:00 AM,10.82,15.38,8.37,107,,,
149,09/24/21 06:00:00 AM,10.82,15.38,8.37,107,,,
150,09/24/21 06:15:00 AM,10.51,15.38,8.13,104,,,
151,09/24/21 06:30:00 AM,10.51,15.38,8.13,104,,,
152,09/24/21 06:45:00 AM,10.32,15.38,7.98,102.1,,,
153,09/24/21 07:00:00 AM,10.08,15.4,7.8,99.8,,,
154,09/24/21 07:15:00 AM,10.2,15.42,7.89,101,,,
155,09/24/21 07:30:00 AM,10.39,15.42,8.04,102.9,,,
156,09/24/21 07:45:00 AM,10.61,15.4,8.21,105,,,
157,09/24/21 08:00:00 AM,10.8,15.36,8.35,106.8,,,
